Nome da variável,Descrição da variável,Variable description,unit,target,subsection,data_sample1,data_sample2
V022,Cônjuges ou companheiros(as) de sexo diferente com 31 anos de idade,Spouses or partners of different sex with 31 years of age,family_unit,,Age and Gender,4,4
V023,Cônjuges ou companheiros(as) de sexo diferente com 32 anos de idade,Spouses or partners of different sex with 32 years of age,family_unit,,Age and Gender,5,10
V024,Cônjuges ou companheiros(as) de sexo diferente com 33 anos de idade,Spouses or partners of different sex with 33 years of age,family_unit,,Age and Gender,3,3
V025,Cônjuges ou companheiros(as) de sexo diferente com 34 anos de idade,Spouses or partners of different sex with 34 years of age,family_unit,,Age and Gender,3,11
V026,Cônjuges ou companheiros(as) de sexo diferente com 35 anos de idade,Spouses or partners of different sex with 35 years of age,family_unit,,Age and Gender,3,8
V027,Cônjuges ou companheiros(as) de sexo diferente com 36 anos de idade,Spouses or partners of different sex with 36 years of age,family_unit,,Age and Gender,8,5
V028,Cônjuges ou companheiros(as) de sexo diferente com 37 anos de idade,Spouses or partners of different sex with 37 years of age,family_unit,,Age and Gender,8,5
V029,Cônjuges ou companheiros(as) de sexo diferente com 38 anos de idade,Spouses or partners of different sex with 38 years of age,family_unit,,Age and Gender,6,5
V030,Cônjuges ou companheiros(as) de sexo diferente com 39 anos de idade,Spouses or partners of different sex with 39 years of age,family_unit,,Age and Gender,9,1
V031,Cônjuges ou companheiros(as) de sexo diferente com 40 anos de idade,Spouses or partners of different sex with 40 years of age,family_unit,,Age and Gender,0,6
V032,Cônjuges ou companheiros(as) de sexo diferente com 41 anos de idade,Spouses or partners of different sex with 41 years of age,family_unit,,Age and Gender,6,3
V033,Cônjuges ou companheiros(as) de sexo diferente com 42 anos de idade,Spouses or partners of different sex with 42 years of age,family_unit,,Age and Gender,5,2
V034,Cônjuges ou companheiros(as) de sexo diferente com 43 anos de idade,Spouses or partners of different sex with 43 years of age,family_unit,,Age and Gender,5,2
V035,Cônjuges ou companheiros(as) de sexo diferente com 44 anos de idade,Spouses or partners of different sex with 44 years of age,family_unit,,Age and Gender,7,1
V036,Cônjuges ou companheiros(as) de sexo diferente com 45 anos de idade,Spouses or partners of different sex with 45 years of age,family_unit,,Age and Gender,4,2
V037,Cônjuges ou companheiros(as) de sexo diferente com 46 anos de idade,Spouses or partners of different sex with 46 years of age,family_unit,,Age and Gender,2,2
V038,Cônjuges ou companheiros(as) de sexo diferente com 47 anos de idade,Spouses or partners of different sex with 47 years of age,family_unit,,Age and Gender,3,1
V039,Cônjuges ou companheiros(as) de sexo diferente com 48 anos de idade,Spouses or partners of different sex with 48 years of age,family_unit,,Age and Gender,2,2
V040,Cônjuges ou companheiros(as) de sexo diferente com 49 anos de idade,Spouses or partners of different sex with 49 years of age,family_unit,,Age and Gender,5,2
V041,Cônjuges ou companheiros(as) de sexo diferente com 50 anos de idade,Spouses or partners of different sex with 50 years of age,family_unit,,Age and Gender,5,0
V042,Cônjuges ou companheiros(as) de sexo diferente com 51 anos de idade,Spouses or partners of different sex with 51 years of age,family_unit,,Age and Gender,1,0
V043,Cônjuges ou companheiros(as) de sexo diferente com 52 anos de idade,Spouses or partners of different sex with 52 years of age,family_unit,,Age and Gender,6,0
V044,Cônjuges ou companheiros(as) de sexo diferente com 53 anos de idade,Spouses or partners of different sex with 53 years of age,family_unit,,Age and Gender,4,1
V045,Cônjuges ou companheiros(as) de sexo diferente com 54 anos de idade,Spouses or partners of different sex with 54 years of age,family_unit,,Age and Gender,2,1
V046,Cônjuges ou companheiros(as) de sexo diferente com 55 anos de idade,Spouses or partners of different sex with 55 years of age,family_unit,,Age and Gender,6,6
V047,Cônjuges ou companheiros(as) de sexo diferente com 56 anos de idade,Spouses or partners of different sex with 56 years of age,family_unit,,Age and Gender,3,2
V048,Cônjuges ou companheiros(as) de sexo diferente com 57 anos de idade,Spouses or partners of different sex with 57 years of age,family_unit,,Age and Gender,2,1
V049,Cônjuges ou companheiros(as) de sexo diferente com 58 anos de idade,Spouses or partners of different sex with 58 years of age,family_unit,,Age and Gender,3,0
V050,Cônjuges ou companheiros(as) de sexo diferente com 59 anos de idade,Spouses or partners of different sex with 59 years of age,family_unit,,Age and Gender,2,1
V051,Cônjuges ou companheiros(as) de sexo diferente com 60 anos de idade,Spouses or partners of different sex with 60 years of age,family_unit,,Age and Gender,2,1
V052,Cônjuges ou companheiros(as) de sexo diferente com 61 anos de idade,Spouses or partners of different sex with 61 years of age,family_unit,,Age and Gender,4,0
V053,Cônjuges ou companheiros(as) de sexo diferente com 62 anos de idade,Spouses or partners of different sex with 62 years of age,family_unit,,Age and Gender,1,1
V054,Cônjuges ou companheiros(as) de sexo diferente com 63 anos de idade,Spouses or partners of different sex with 63 years of age,family_unit,,Age and Gender,1,1
V055,Cônjuges ou companheiros(as) de sexo diferente com 64 anos de idade,Spouses or partners of different sex with 64 years of age,family_unit,,Age and Gender,1,0
V056,Cônjuges ou companheiros(as) de sexo diferente com 65 anos de idade,Spouses or partners of different sex with 65 years of age,family_unit,,Age and Gender,0,0
V057,Cônjuges ou companheiros(as) de sexo diferente com 66 anos de idade,Spouses or partners of different sex at 66 years of age,family_unit,,Age and Gender,3,2
V058,Cônjuges ou companheiros(as) de sexo diferente com 67 anos de idade,Spouses or partners of different sex with 67 years of age,family_unit,,Age and Gender,1,1
V059,Cônjuges ou companheiros(as) de sexo diferente com 68 anos de idade,Spouses or partners of different sex at 68 years of age,family_unit,,Age and Gender,1,4
V060,Cônjuges ou companheiros(as) de sexo diferente com 69 anos de idade,Spouses or partners of different sex with 69 years of age,family_unit,,Age and Gender,1,0
V061,Cônjuges ou companheiros(as) de sexo diferente com 70 anos de idade,Spouses or partners of different sex with 70 years of age,family_unit,,Age and Gender,1,0
V062,Cônjuges ou companheiros(as) de sexo diferente com 71 anos de idade,Spouses or partners of different sex with 71 years of age,family_unit,,Age and Gender,0,2
V063,Cônjuges ou companheiros(as) de sexo diferente com 72 anos de idade,Spouses or partners of different sex at 72 years of age,family_unit,,Age and Gender,2,1
V064,Cônjuges ou companheiros(as) de sexo diferente com 73 anos de idade,Spouses or partners of different sex with 73 years of age,family_unit,,Age and Gender,1,1
V065,Cônjuges ou companheiros(as) de sexo diferente com 74 anos de idade,Spouses or partners of different sex with 74 years of age,family_unit,,Age and Gender,1,0
V066,Cônjuges ou companheiros(as) de sexo diferente com 75 anos de idade,Spouses or partners of different sex with 75 years of age,family_unit,,Age and Gender,0,0
V067,Cônjuges ou companheiros(as) de sexo diferente com 76 anos de idade,Spouses or partners of different sex with 76 years of age,family_unit,,Age and Gender,0,0
V068,Cônjuges ou companheiros(as) de sexo diferente com 77 anos de idade,Spouses or partners of different sex with 77 years of age,family_unit,,Age and Gender,0,0
V069,Cônjuges ou companheiros(as) de sexo diferente com 78 anos de idade,Spouses or partners of different sex with 78 years of age,family_unit,,Age and Gender,0,0
V070,Cônjuges ou companheiros(as) de sexo diferente com 79 anos de idade,Spouses or partners of different sex with 79 years of age,family_unit,,Age and Gender,0,1
V071,Cônjuges ou companheiros(as) de sexo diferente com 80 anos ou mais de idade,Spouses or partners of different sex with 80 years of age or over,family_unit,,Age and Gender,0,3
V072,"Homens, cônjuges ou companheiros de sexo diferente com 10 anos de idade","Men, spouses or partners of different sex with 10 years of age",family_unit,V001,Age and Gender,0,0
V073,"Homens, cônjuges ou companheiros de sexo diferente com 11 anos de idade","Men, spouses or partners of different sex with 11 years of age",family_unit,V002,Age and Gender,0,0
V074,"Homens, cônjuges ou companheiros de sexo diferente com 12 anos de idade","Men, spouses or partners of different sex with 12 years of age",family_unit,V003,Age and Gender,0,0
V075,"Homens, cônjuges ou companheiros de sexo diferente com 13 anos de idade","Men, spouses or partners of different sex with 13 years of age",family_unit,V004,Age and Gender,0,0
V076,"Homens, cônjuges ou companheiros de sexo diferente com 14 anos de idade","Men, spouses or partners of different sex with 14 years of age",family_unit,V005,Age and Gender,0,0
V077,"Homens, cônjuges ou companheiros de sexo diferente com 15 anos de idade","Men, spouses or partners of different sex with 15 years of age",family_unit,V006,Age and Gender,0,0
V078,"Homens, cônjuges ou companheiros de sexo diferente com 16 anos de idade","Men, spouses or partners of different sex with 16 years of age",family_unit,V007,Age and Gender,0,0
V079,"Homens, cônjuges ou companheiros de sexo diferente com 17 anos de idade","Men, spouses or partners of different sex with 17 years of age",family_unit,V008,Age and Gender,0,0
V080,"Homens, cônjuges ou companheiros de sexo diferente com 18 anos de idade","Men, spouses or partners of different sex with 18 years of age",family_unit,V009,Age and Gender,0,0
V081,"Homens, cônjuges ou companheiros de sexo diferente com 19 anos de idade","Men, spouses or partners of different sex with 19 years of age",family_unit,V010,Age and Gender,1,0
V082,"Homens, cônjuges ou companheiros de sexo diferente com 20 anos de idade","Men, spouses or partners of different sex with 20 years of age",family_unit,V011,Age and Gender,1,1
V083,"Homens, cônjuges ou companheiros de sexo diferente com 21 anos de idade","Men, spouses or partners of different sex with 21 years of age",family_unit,V012,Age and Gender,0,0
V084,"Homens, cônjuges ou companheiros de sexo diferente com 22 anos de idade","Men, spouses or partners of different sex with 22 years of age",family_unit,V013,Age and Gender,0,1
V085,"Homens, cônjuges ou companheiros de sexo diferente com 23 anos de idade","Men, spouses or partners of different sex with 23 years of age",family_unit,V014,Age and Gender,1,0
V086,"Homens, cônjuges ou companheiros de sexo diferente com 24 anos de idade","Men, spouses or partners of different sex with 24 years of age",family_unit,V015,Age and Gender,0,2
V087,"Homens, cônjuges ou companheiros de sexo diferente com 25 anos de idade","Men, spouses or partners of different sex with 25 years of age",family_unit,V016,Age and Gender,0,1
V088,"Homens, cônjuges ou companheiros de sexo diferente com 26 anos de idade","Men, spouses or partners of different sex at 26 years of age",family_unit,V017,Age and Gender,1,1
V089,"Homens, cônjuges ou companheiros de sexo diferente com 27 anos de idade","Men, spouses or partners of different sex with 27 years of age",family_unit,V018,Age and Gender,0,0
V090,"Homens, cônjuges ou companheiros de sexo diferente com 28 anos de idade","Men, spouses or partners of different sex with 28 years of age",family_unit,V019,Age and Gender,2,0
V091,"Homens, cônjuges ou companheiros de sexo diferente com 29 anos de idade","Men, spouses or partners of different sex with 29 years of age",family_unit,V020,Age and Gender,1,2
V092,"Homens, cônjuges ou companheiros de sexo diferente com 30 anos de idade","Men, spouses or partners of different sex with 30 years of age",family_unit,V021,Age and Gender,0,1
V093,"Homens, cônjuges ou companheiros de sexo diferente com 31 anos de idade","Men, spouses or partners of different sex with 31 years of age",family_unit,V022,Age and Gender,0,0
V094,"Homens, cônjuges ou companheiros de sexo diferente com 32 anos de idade","Men, spouses or partners of different sex with 32 years of age",family_unit,V023,Age and Gender,0,2
V095,"Homens, cônjuges ou companheiros de sexo diferente com 33 anos de idade","Men, spouses or partners of different sex with 33 years of age",family_unit,V024,Age and Gender,0,1
V096,"Homens, cônjuges ou companheiros de sexo diferente com 34 anos de idade","Men, spouses or partners of different sex with 34 years of age",family_unit,V025,Age and Gender,0,3
V097,"Homens, cônjuges ou companheiros de sexo diferente com 35 anos de idade","Men, spouses or partners of different sex with 35 years of age",family_unit,V026,Age and Gender,2,3
V098,"Homens, cônjuges ou companheiros de sexo diferente com 36 anos de idade","Men, spouses or partners of different sex with 36 years of age",family_unit,V027,Age and Gender,2,1
V099,"Homens, cônjuges ou companheiros de sexo diferente com 37 anos de idade","Men, spouses or partners of different sex with 37 years of age",family_unit,V028,Age and Gender,0,0
V100,"Homens, cônjuges ou companheiros de sexo diferente com 38 anos de idade","Men, spouses or partners of different sex with 38 years of age",family_unit,V029,Age and Gender,1,1
V101,"Homens, cônjuges ou companheiros de sexo diferente com 39 anos de idade","Men, spouses or partners of different sex at 39 years of age",family_unit,V030,Age and Gender,3,0
V102,"Homens, cônjuges ou companheiros de sexo diferente com 40 anos de idade","Men, spouses or partners of different sex with 40 years of age",family_unit,V031,Age and Gender,0,1
V103,"Homens, cônjuges ou companheiros de sexo diferente com 41 anos de idade","Men, spouses or partners of different sex with 41 years of age",family_unit,V032,Age and Gender,0,0
V104,"Homens, cônjuges ou companheiros de sexo diferente com 42 anos de idade","Men, spouses or partners of different sex at 42 years of age",family_unit,V033,Age and Gender,1,0
V105,"Homens, cônjuges ou companheiros de sexo diferente com 43 anos de idade","Men, spouses or partners of different sex with 43 years of age",family_unit,V034,Age and Gender,0,0
V106,"Homens, cônjuges ou companheiros de sexo diferente com 44 anos de idade","Men, spouses or partners of different sex with 44 years of age",family_unit,V035,Age and Gender,0,0
V107,"Homens, cônjuges ou companheiros de sexo diferente com 45 anos de idade","Men, spouses or partners of different sex with 45 years of age",family_unit,V036,Age and Gender,0,0
V108,"Homens, cônjuges ou companheiros de sexo diferente com 46 anos de idade","Men, spouses or partners of different sex with 46 years of age",family_unit,V037,Age and Gender,0,1
V109,"Homens, cônjuges ou companheiros de sexo diferente com 47 anos de idade","Men, spouses or partners of different sex with 47 years of age",family_unit,V038,Age and Gender,0,0
V110,"Homens, cônjuges ou companheiros de sexo diferente com 48 anos de idade","Men, spouses or partners of different sex at 48 years of age",family_unit,V039,Age and Gender,0,0
V111,"Homens, cônjuges ou companheiros de sexo diferente com 49 anos de idade","Men, spouses or partners of different sex with 49 years of age",family_unit,V040,Age and Gender,0,0
V112,"Homens, cônjuges ou companheiros de sexo diferente com 50 anos de idade","Men, spouses or partners of different sex with 50 years of age",family_unit,V041,Age and Gender,1,0
V113,"Homens, cônjuges ou companheiros de sexo diferente com 51 anos de idade","Men, spouses or partners of different sex with 51 years of age",family_unit,V042,Age and Gender,0,0
V114,"Homens, cônjuges ou companheiros de sexo diferente com 52 anos de idade","Men, spouses or partners of different sex with 52 years of age",family_unit,V043,Age and Gender,1,0
V115,"Homens, cônjuges ou companheiros de sexo diferente com 53 anos de idade","Men, spouses or partners of different sex with 53 years of age",family_unit,V044,Age and Gender,0,0
V116,"Homens, cônjuges ou companheiros de sexo diferente com 54 anos de idade","Men, spouses or partners of different sex with 54 years of age",family_unit,V045,Age and Gender,0,0
V117,"Homens, cônjuges ou companheiros de sexo diferente com 55 anos de idade","Men, spouses or partners of different sex with 55 years of age",family_unit,V046,Age and Gender,1,0
V118,"Homens, cônjuges ou companheiros de sexo diferente com 56 anos de idade","Men, spouses or partners of different sex with 56 years of age",family_unit,V047,Age and Gender,0,0
V119,"Homens, cônjuges ou companheiros de sexo diferente com 57 anos de idade","Men, spouses or partners of different sex with 57 years of age",family_unit,V048,Age and Gender,0,1
V120,"Homens, cônjuges ou companheiros de sexo diferente com 58 anos de idade","Men, spouses, or partners of different sex with 58 years of age",family_unit,V049,Age and Gender,1,0
V121,"Homens, cônjuges ou companheiros de sexo diferente com 59 anos de idade","Men, spouses or partners of different sex with 59 years of age",family_unit,V050,Age and Gender,0,0
V122,"Homens, cônjuges ou companheiros de sexo diferente com 60 anos de idade","Men, spouses or partners of different sex with 60 years of age",family_unit,V051,Age and Gender,0,0
V123,"Homens, cônjuges ou companheiros de sexo diferente com 61 anos de idade","Men, spouses or partners of different sex with 61 years of age",family_unit,V052,Age and Gender,1,0
V124,"Homens, cônjuges ou companheiros de sexo diferente com 62 anos de idade","Men, spouses or partners of different sex with 62 years of age",family_unit,V053,Age and Gender,1,0
V125,"Homens, cônjuges ou companheiros de sexo diferente com 63 anos de idade","Men, spouses or partners of different sex with 63 years of age",family_unit,V054,Age and Gender,0,0
V126,"Homens, cônjuges ou companheiros de sexo diferente com 64 anos de idade","Men, spouses or partners of different sex with 64 years of age",family_unit,V055,Age and Gender,0,0
V127,"Homens, cônjuges ou companheiros de sexo diferente com 65 anos de idade","Men, spouses or partners of different sex at 65 years of age",family_unit,V056,Age and Gender,0,0
V128,"Homens, cônjuges ou companheiros de sexo diferente com 66 anos de idade","Men, spouses or partners of different sex with 66 years of age",family_unit,V057,Age and Gender,0,0
V129,"Homens, cônjuges ou companheiros de sexo diferente com 67 anos de idade","Men, spouses or partners of different sex with 67 years of age",family_unit,V058,Age and Gender,0,0
V130,"Homens, cônjuges ou companheiros de sexo diferente com 68 anos de idade","Men, spouses or partners of different sex at 68 years of age",family_unit,V059,Age and Gender,0,1
V131,"Homens, cônjuges ou companheiros de sexo diferente com 69 anos de idade","Men, spouses or partners of different sex at 69 years of age",family_unit,V060,Age and Gender,0,0
V132,"Homens, cônjuges ou companheiros de sexo diferente com 70 anos de idade","Men, spouses or partners of different sex with 70 years of age",family_unit,V061,Age and Gender,0,0
V133,"Homens, cônjuges ou companheiros de sexo diferente com 71 anos de idade","Men, spouses or partners of different sex with 71 years of age",family_unit,V062,Age and Gender,0,0
V134,"Homens, cônjuges ou companheiros de sexo diferente com 72 anos de idade","Men, spouses or partners of different sex at 72 years of age",family_unit,V063,Age and Gender,1,0
V135,"Homens, cônjuges ou companheiros de sexo diferente com 73 anos de idade","Men, spouses or partners of different sex with 73 years of age",family_unit,V064,Age and Gender,1,1
V136,"Homens, cônjuges ou companheiros de sexo diferente com 74 anos de idade","Men, spouses or partners of different sex with 74 years of age",family_unit,V065,Age and Gender,0,0
V137,"Homens, cônjuges ou companheiros de sexo diferente com 75 anos de idade","Men, spouses or partners of different sex with 75 years of age",family_unit,V066,Age and Gender,0,0
V138,"Homens, cônjuges ou companheiros de sexo diferente com 76 anos de idade","Men, spouses or partners of different sex with 76 years of age",family_unit,V067,Age and Gender,0,0
V139,"Homens, cônjuges ou companheiros de sexo diferente com 77 anos de idade","Men, spouses or partners of different sex with 77 years of age",family_unit,V068,Age and Gender,0,0
V140,"Homens, cônjuges ou companheiros de sexo diferente com 78 anos de idade","Men, spouses or partners of different sex with 78 years of age",family_unit,V069,Age and Gender,0,0
V141,"Homens, cônjuges ou companheiros de sexo diferente com 79 anos de idade","Men, spouses or partners of different sex with 79 years of age",family_unit,V070,Age and Gender,0,1
V142,"Homens, cônjuges ou companheiros de sexo diferente com 80 anos ou mais de idade","Men, spouses or partners of different sex with 80 years of age or over",family_unit,V071,Age and Gender,0,1
V143,"Mulheres, cônjuges ou companheiras de sexo diferente com 10 anos de idade","Women, spouses or partners of different sex with 10 years of age",family_unit,V001,Age and Gender,0,0
V144,"Mulheres, cônjuges ou companheiras de sexo diferente com 11 anos de idade","Women, spouses or partners of different sex with 11 years of age",family_unit,V002,Age and Gender,0,0
V145,"Mulheres, cônjuges ou companheiras de sexo diferente com 12 anos de idade","Women, spouses or partners of different sex with 12 years of age",family_unit,V003,Age and Gender,0,0
V146,"Mulheres, cônjuges ou companheiras de sexo diferente com 13 anos de idade","Women, spouses or partners of different sex with 13 years of age",family_unit,V004,Age and Gender,0,0
V147,"Mulheres, cônjuges ou companheiras de sexo diferente com 14 anos de idade","Women, spouses or partners of different sex with 14 years of age",family_unit,V005,Age and Gender,0,0
V148,"Mulheres, cônjuges ou companheiras de sexo diferente com 15 anos de idade","Women, spouses or partners of different sex with 15 years of age",family_unit,V006,Age and Gender,0,2
V149,"Mulheres, cônjuges ou companheiras de sexo diferente com 16 anos de idade","Women, spouses or partners of different sex with 16 years of age",family_unit,V007,Age and Gender,0,1
V150,"Mulheres, cônjuges ou companheiras de sexo diferente com 17 anos de idade","Women, spouses or partners of different sex with 17 years of age",family_unit,V008,Age and Gender,0,3
V151,"Mulheres, cônjuges ou companheiras de sexo diferente com 18 anos de idade","Women, spouses or partners of different sex with 18 years of age",family_unit,V009,Age and Gender,3,5
V152,"Mulheres, cônjuges ou companheiras de sexo diferente com 19 anos de idade","Women, spouses or partners of different sex with 19 years of age",family_unit,V010,Age and Gender,2,4
V153,"Mulheres, cônjuges ou companheiras de sexo diferente com 20 anos de idade","Women, spouses or partners of different sex with 20 years of age",family_unit,V011,Age and Gender,1,8
V154,"Mulheres, cônjuges ou companheiras de sexo diferente com 21 anos de idade","Women, spouses or partners of different sex with 21 years of age",family_unit,V012,Age and Gender,5,5
V155,"Mulheres, cônjuges ou companheiras de sexo diferente com 22 anos de idade","Women, spouses or partners of different sex with 22 years of age",family_unit,V013,Age and Gender,2,2
V156,"Mulheres, cônjuges ou companheiras de sexo diferente com 23 anos de idade","Women, spouses or partners of different sex with 23 years of age",family_unit,V014,Age and Gender,2,4
V157,"Mulheres, cônjuges ou companheiras de sexo diferente com 24 anos de idade","Women, spouses or partners of different sex with 24 years of age",family_unit,V015,Age and Gender,2,3
V158,"Mulheres, cônjuges ou companheiras de sexo diferente com 25 anos de idade","Women, spouses or partners of different sex with 25 years of age",family_unit,V016,Age and Gender,4,2
V159,"Mulheres, cônjuges ou companheiras de sexo diferente com 26 anos de idade","Women, spouses or partners of different sex with 26 years of age",family_unit,V017,Age and Gender,3,6
V160,"Mulheres, cônjuges ou companheiras de sexo diferente com 27 anos de idade","Women, spouses or partners of different sex with 27 years of age",family_unit,V018,Age and Gender,6,5
V161,"Mulheres, cônjuges ou companheiras de sexo diferente com 28 anos de idade","Women, spouses or partners of different sex with 28 years of age",family_unit,V019,Age and Gender,7,10
V162,"Mulheres, cônjuges ou companheiras de sexo diferente com 29 anos de idade","Women, spouses or partners of different sex with 29 years of age",family_unit,V020,Age and Gender,3,4
V163,"Mulheres, cônjuges ou companheiras de sexo diferente com 30 anos de idade","Women, spouses or partners of different sex with 30 years of age",family_unit,V021,Age and Gender,8,8
V164,"Mulheres, cônjuges ou companheiras de sexo diferente com 31 anos de idade","Women, spouses or partners of different sex with 31 years of age",family_unit,V022,Age and Gender,4,4
V165,"Mulheres, cônjuges ou companheiras de sexo diferente com 32 anos de idade","Women, spouses or partners of different sex with 32 years of age",family_unit,V023,Age and Gender,5,8
V166,"Mulheres, cônjuges ou companheiras de sexo diferente com 33 anos de idade","Women, spouses or partners of different sex with 33 years of age",family_unit,V024,Age and Gender,3,2
V167,"Mulheres, cônjuges ou companheiras de sexo diferente com 34 anos de idade","Women, spouses or partners of different sex with 34 years of age",family_unit,V025,Age and Gender,3,8
V168,"Mulheres, cônjuges ou companheiras de sexo diferente com 35 anos de idade","Women, spouses or partners of different sex with 35 years of age",family_unit,V026,Age and Gender,1,5
V169,"Mulheres, cônjuges ou companheiras de sexo diferente com 36 anos de idade","Women, spouses or partners of different sex with 36 years of age",family_unit,V027,Age and Gender,6,4
V170,"Mulheres, cônjuges ou companheiras de sexo diferente com 37 anos de idade","Women, spouses or partners of different sex with 37 years of age",family_unit,V028,Age and Gender,8,5
V171,"Mulheres, cônjuges ou companheiras de sexo diferente com 38 anos de idade","Women, spouses, or partners of different sex with 38 years of age",family_unit,V029,Age and Gender,5,4
V172,"Mulheres, cônjuges ou companheiras de sexo diferente com 39 anos de idade","Women, spouses or partners of different sex with 39 years of age",family_unit,V030,Age and Gender,6,1
V173,"Mulheres, cônjuges ou companheiras de sexo diferente com 40 anos de idade","Women, spouses or partners of different sex with 40 years of age",family_unit,V031,Age and Gender,0,5
V174,"Mulheres, cônjuges ou companheiras de sexo diferente com 41 anos de idade","Women, spouses or partners of different sex with 41 years of age",family_unit,V032,Age and Gender,6,3
V175,"Mulheres, cônjuges ou companheiras de sexo diferente com 42 anos de idade","Women, spouses or partners of different sex with 42 years of age",family_unit,V033,Age and Gender,4,2
V176,"Mulheres, cônjuges ou companheiras de sexo diferente com 43 anos de idade","Women, spouses or partners of different sex with 43 years of age",family_unit,V034,Age and Gender,5,2
V177,"Mulheres, cônjuges ou companheiras de sexo diferente com 44 anos de idade","Women, spouses or partners of different sex with 44 years of age",family_unit,V035,Age and Gender,7,1
V178,"Mulheres, cônjuges ou companheiras de sexo diferente com 45 anos de idade","Women, spouses or partners of different sex with 45 years of age",family_unit,V036,Age and Gender,4,2
V179,"Mulheres, cônjuges ou companheiras de sexo diferente com 46 anos de idade","Women, spouses or partners of different sex with 46 years of age",family_unit,V037,Age and Gender,2,1
V180,"Mulheres, cônjuges ou companheiras de sexo diferente com 47 anos de idade","Women, spouses or partners of different sex with 47 years of age",family_unit,V038,Age and Gender,3,1
V181,"Mulheres, cônjuges ou companheiras de sexo diferente com 48 anos de idade","Women, spouses or partners of different sex with 48 years of age",family_unit,V039,Age and Gender,2,2
V182,"Mulheres, cônjuges ou companheiras de sexo diferente com 49 anos de idade","Women, spouses or partners of different sex with 49 years of age",family_unit,V040,Age and Gender,5,2
V183,"Mulheres, cônjuges ou companheiras de sexo diferente com 50 anos de idade","Women, spouses or partners of different sex with 50 years of age",family_unit,V041,Age and Gender,4,0
V184,"Mulheres, cônjuges ou companheiras de sexo diferente com 51 anos de idade","Women, spouses or partners of different sex with 51 years of age",family_unit,V042,Age and Gender,1,0
V185,"Mulheres, cônjuges ou companheiras de sexo diferente com 52 anos de idade","Women, spouses or partners of different sex with 52 years of age",family_unit,V043,Age and Gender,5,0
