Nome da variável,Descrição da variável,Variable description,unit,target,subsection,data_sample1,data_sample2
V050,"Pessoas responsáveis com 58 anos de idade, do sexo feminino","Responsible persons with 58 years of age, female",people,V001,age_gender,1,4
V051,"Pessoas responsáveis com 59 anos de idade, do sexo feminino","Responsible persons with 59 years of age, female",people,V001,age_gender,1,1
V052,"Pessoas responsáveis com 60 anos de idade, do sexo feminino","Responsible persons with 60 years of age, female",people,V001,age_gender,3,0
V053,"Pessoas responsáveis com 61 anos de idade, do sexo feminino","Responsible persons with 61 years of age, female",people,V001,age_gender,2,1
V054,"Pessoas responsáveis com 62 anos de idade, do sexo feminino",Responsible people with 62-year-old female,people,V001,age_gender,1,2
V055,"Pessoas responsáveis com 63 anos de idade, do sexo feminino","Responsible persons with 63 years of age, female",people,V001,age_gender,1,0
V056,"Pessoas responsáveis com 64 anos de idade, do sexo feminino","Responsible persons with 64 years of age, female",people,V001,age_gender,1,1
V057,"Pessoas responsáveis com 65 anos de idade, do sexo feminino","Responsible persons with 65 years of age, female",people,V001,age_gender,4,5
V058,"Pessoas responsáveis com 66 anos de idade, do sexo feminino","Responsible persons 66 years of age, female",people,V001,age_gender,3,1
V059,"Pessoas responsáveis com 67 anos de idade, do sexo feminino","Responsible persons with 67 years of age, female",people,V001,age_gender,0,2
V060,"Pessoas responsáveis com 68 anos de idade, do sexo feminino","Responsible persons with 68 years of age, female",people,V001,age_gender,1,4
V061,"Pessoas responsáveis com 69 anos de idade, do sexo feminino","Responsible persons with 69 years of age, female",people,V001,age_gender,1,1
V062,"Pessoas responsáveis com 70 anos de idade, do sexo feminino","Responsible persons with 70 years of age, female",people,V001,age_gender,2,0
V063,"Pessoas responsáveis com 71 anos de idade, do sexo feminino",Responsible people with a 71 year old female,people,V001,age_gender,0,1
V064,"Pessoas responsáveis com 72 anos de idade, do sexo feminino","Responsible persons with 72 years of age, female",people,V001,age_gender,0,2
V065,"Pessoas responsáveis com 73 anos de idade, do sexo feminino",Responsible persons with 73-year-old female,people,V001,age_gender,0,0
V066,"Pessoas responsáveis com 74 anos de idade, do sexo feminino","Responsible persons with 74 years of age, female",people,V001,age_gender,1,0
V067,"Pessoas responsáveis com 75 anos de idade, do sexo feminino","Responsible persons with 75 years of age, female",people,V001,age_gender,1,0
V068,"Pessoas responsáveis com 76 anos de idade, do sexo feminino","Responsible persons with 76 years of age, female",people,V001,age_gender,1,1
V069,"Pessoas responsáveis com 77 anos de idade, do sexo feminino","Responsible persons with 77 years of age, female",people,V001,age_gender,1,0
V070,"Pessoas responsáveis com 78 anos de idade, do sexo feminino","Responsible persons with 78 years of age, female",people,V001,age_gender,0,0
V071,"Pessoas responsáveis com 79 anos de idade, do sexo feminino","Responsible persons with 79 years of age, female",people,V001,age_gender,0,0
V072,"Pessoas responsáveis com 80 anos de idade, do sexo feminino","Responsible persons with 80 years of age, female",people,V001,age_gender,0,0
V073,"Pessoas responsáveis com 81 anos de idade, do sexo feminino","Responsible persons with 81 years of age, female",people,V001,age_gender,0,1
V074,"Pessoas responsáveis com 82 anos de idade, do sexo feminino","Responsible people with 82 years of age, female",people,V001,age_gender,0,1
V075,"Pessoas responsáveis com 83 anos de idade, do sexo feminino",Responsible people with 83-year-old female,people,V001,age_gender,1,0
V076,"Pessoas responsáveis com 84 anos de idade, do sexo feminino","Responsible persons with 84 years of age, female",people,V001,age_gender,0,0
V077,"Pessoas responsáveis com 85 anos de idade, do sexo feminino","Responsible persons with 85 years of age, female",people,V001,age_gender,0,1
V078,"Pessoas responsáveis com 86 anos de idade, do sexo feminino","Responsible persons with 86 years of age, female",people,V001,age_gender,0,0
V079,"Pessoas responsáveis com 87 anos de idade, do sexo feminino",Responsible people with 87-year-old female,people,V001,age_gender,0,0
V080,"Pessoas responsáveis com 88 anos de idade, do sexo feminino","Responsible persons with 88 years of age, female",people,V001,age_gender,0,1
V081,"Pessoas responsáveis com 89 anos de idade, do sexo feminino","Responsible persons with 89 years of age, female",people,V001,age_gender,0,0
V082,"Pessoas responsáveis com 90 anos de idade, do sexo feminino","Responsible persons with 90 years of age, female",people,V001,age_gender,0,0
V083,"Pessoas responsáveis com 91 anos de idade, do sexo feminino","Responsible persons with 91 years of age, female",people,V001,age_gender,0,0
V084,"Pessoas responsáveis com 92 anos de idade, do sexo feminino","Responsible persons with 92 years of age, female",people,V001,age_gender,0,0
V085,"Pessoas responsáveis com 93 anos de idade, do sexo feminino",Responsible people with 93-year-old female,people,V001,age_gender,0,0
V086,"Pessoas responsáveis com 94 anos de idade, do sexo feminino","Responsible persons with 94 years of age, female",people,V001,age_gender,0,0
V087,"Pessoas responsáveis com 95 anos de idade, do sexo feminino","Responsible persons with 95 years of age, female",people,V001,age_gender,0,0
V088,"Pessoas responsáveis com 96 anos de idade, do sexo feminino","Responsible persons with 96 years of age, female",people,V001,age_gender,0,0
V089,"Pessoas responsáveis com 97 anos de idade, do sexo feminino","Responsible persons with 97 years of age, female",people,V001,age_gender,0,0
V090,"Pessoas responsáveis com 98 anos de idade, do sexo feminino","Responsible persons with 98 years of age, female",people,V001,age_gender,0,0
V091,"Pessoas responsáveis com 99 anos de idade, do sexo feminino","Responsible persons with 99 years of age, female",people,V001,age_gender,0,0
V092,"Pessoas responsáveis com 100 ou mais anos de idade, do sexo feminino","Responsible persons with 100 or more years of age, female",people,V001,age_gender,0,0
V093,"Pessoas alfabetizadas responsáveis, do sexo feminino",Responsible literate female people,people,responsavel02_V093,education,192,155
V094,"Pessoas alfabetizadas responsáveis com 10 a 14 anos de idade, do sexo feminino","Responsible literate persons with 10 to 14 years of age, female",people,V093,education,1,0
V095,"Pessoas alfabetizadas responsáveis com 15 a 19 anos de idade, do sexo feminino","Responsible literate persons with 15 to 19 years of age, female",people,V093,education,12,8
V096,"Pessoas alfabetizadas responsáveis com 20 a 24 anos de idade, do sexo feminino","Responsible literate people aged 20 to 24 years, female",people,V093,education,27,25
V097,"Pessoas alfabetizadas responsáveis com 25 a 29 anos de idade, do sexo feminino","Responsible literate persons 25 to 29 years of age, female",people,V093,education,43,23
V098,"Pessoas alfabetizadas responsáveis com 30 a 34 anos de idade, do sexo feminino","Responsible literate persons aged 30 to 34, female",people,V093,education,28,25
V099,"Pessoas alfabetizadas responsáveis com 35 a 39 anos de idade, do sexo feminino","Responsible literate people with 35 to 39 years of age, female",people,V093,education,21,21
V100,"Pessoas alfabetizadas responsáveis com 40 a 44 anos de idade, do sexo feminino","Responsible literate people aged 40 to 44 years, female",people,V093,education,19,21
V101,"Pessoas alfabetizadas responsáveis com 45 a 49 anos de idade, do sexo feminino","Responsible literate people with 45 to 49 years of age, female",people,V093,education,18,5
V102,"Pessoas alfabetizadas responsáveis com 50 a 54 anos de idade, do sexo feminino","Responsible literate people aged 50 to 54 years, female",people,V093,education,5,6
V103,"Pessoas alfabetizadas responsáveis com 55 a 59 anos de idade, do sexo feminino","Responsible literate persons aged 55 to 59 years, female",people,V093,education,9,7
V104,"Pessoas alfabetizadas responsáveis com 60 a 64 anos de idade, do sexo feminino","Responsible literate people aged 60 to 64, female",people,V093,education,4,3
V105,"Pessoas alfabetizadas responsáveis com 65 a 69 anos de idade, do sexo feminino","Responsible literate people aged 65 to 69 years, female",people,V093,education,4,9
V106,"Pessoas alfabetizadas responsáveis com 70 a 74 anos de idade, do sexo feminino","Responsible literate people aged 70 to 74 years, female",people,V093,education,1,1
V107,"Pessoas alfabetizadas responsáveis com 75 a 79 anos de idade, do sexo feminino","Responsible literate people aged 75 to 79 years, female",people,V093,education,0,0
V108,"Pessoas alfabetizadas responsáveis com 80 ou mais anos de idade, do sexo feminino","Responsible literate people with 80 or more years of age, female",people,V093,education,0,1
