Nome da variável,Descrição da variável,Variable description,unit,denominators,subsection,data_sample1,data_sample2
Cod_seto,Código do setor censitário,Census sector code,,,,120001305000001,120001305000012
Situacao,Código de situação do setor censitário (ver planilha Basico_UF.xls),Code of situation of the census sector (see worksheet Basico_UF.xls),,,,1,1
V016,Filhos somente do responsável com 15 anos de idade,Children only responsible for 15 years of age,people,Pessoa07_V067,families|age_gender,4,2
V017,Filhos somente do responsável com 16 anos de idade,Children only responsible for 16 year old,people,Pessoa07_V068,families|age_gender,4,3
V018,Filhos somente do responsável com 17 anos de idade,Children only responsible for 17 year old,people,Pessoa07_V069,families|age_gender,2,5
V019,Filhos somente do responsável com 18 anos de idade,Children only responsible for 18 year old,people,Pessoa07_V070,families|age_gender,3,2
V020,Filhos somente do responsável com 19 anos de idade,Children only responsible for 19 year old,people,Pessoa07_V071,families|age_gender,2,3
V021,Filhos somente do responsável com 20 anos de idade,Children only responsible for 20 year old,people,Pessoa07_V072,families|age_gender,1,3
V022,Filhos somente do responsável com 21 anos de idade,Children only of the responsible person with 21 years of age,people,Pessoa07_V073,families|age_gender,5,2
V023,Filhos somente do responsável com 22 anos de idade,Only 22-year-old responsible children,people,Pessoa07_V074,families|age_gender,1,1
V024,Filhos somente do responsável com 23 anos de idade,Children only responsible person at 23 years of age,people,Pessoa07_V075,families|age_gender,2,0
V025,Filhos somente do responsável com 24 anos de idade,Children only 24-year-old responsible,people,Pessoa07_V076,families|age_gender,2,0
V026,Filhos somente do responsável com 25 anos de idade,Children only responsible 25 year old,people,Pessoa07_V077,families|age_gender,3,1
V027,Filhos somente do responsável com 26 anos de idade,Only 26-year-old responsible children,people,Pessoa07_V078,families|age_gender,1,0
V028,Filhos somente do responsável com 27 anos de idade,Children only of the responsible at 27 years of age,people,Pessoa07_V079,families|age_gender,1,0
V029,Filhos somente do responsável com 28 anos de idade,Only 28-year-old responsible children,people,Pessoa07_V080,families|age_gender,0,1
V030,Filhos somente do responsável com 29 anos de idade,Children only the responsible 29 year old,people,Pessoa07_V081,families|age_gender,1,1
V031,Filhos somente do responsável com 30 anos de idade,Children only responsible 30 year old,people,Pessoa07_V082,families|age_gender,3,1
V032,Filhos somente do responsável com 31 anos de idade,Only 31-year-old responsible children,people,Pessoa07_V083,families|age_gender,0,1
V033,Filhos somente do responsável com 32 anos de idade,Only 32-year-old responsible children,people,Pessoa07_V084,families|age_gender,2,1
V034,Filhos somente do responsável com 33 anos de idade,Children only the 33 year old responsible,people,Pessoa07_V085,families|age_gender,0,1
V035,Filhos somente do responsável com 34 anos de idade,Only 34-year-old responsible children,people,Pessoa07_V086,families|age_gender,0,0
V036,Filhos somente do responsável com 35 anos de idade,Only 35-year-old responsible children,people,Pessoa07_V087,families|age_gender,0,0
V037,Filhos somente do responsável com 36 anos de idade,Only 36-year-old responsible children,people,Pessoa07_V088,families|age_gender,0,0
V038,Filhos somente do responsável com 37 anos de idade,Only 37-year-old responsible children,people,Pessoa07_V089,families|age_gender,1,0
V039,Filhos somente do responsável com 38 anos de idade,Only 38-year-old responsible children,people,Pessoa07_V090,families|age_gender,0,0
V040,Filhos somente do responsável com 39 anos de idade,Only 39-year-old responsible children,people,Pessoa07_V091,families|age_gender,0,0
V041,Filhos somente do responsável com 40 anos de idade,Children only the 40 year old responsible,people,Pessoa07_V092,families|age_gender,0,0
V042,Filhos somente do responsável com 41 anos de idade,Only 41-year-old responsible children,people,Pessoa07_V093,families|age_gender,0,0
V043,Filhos somente do responsável com 42 anos de idade,Children only the 42-year-old responsible,people,Pessoa07_V094,families|age_gender,0,0
V044,Filhos somente do responsável com 43 anos de idade,Children only the 43-year-old responsible,people,Pessoa07_V095,families|age_gender,1,0
V045,Filhos somente do responsável com 44 anos de idade,Children only the 44-year-old responsible,people,Pessoa07_V096,families|age_gender,0,0
V046,Filhos somente do responsável com 45 anos de idade,Children only of 45 year old responsible,people,Pessoa07_V097,families|age_gender,0,0
V047,Filhos somente do responsável com 46 anos de idade,Only the 46-year-old,people,Pessoa07_V098,families|age_gender,0,0
V048,Filhos somente do responsável com 47 anos de idade,Only the 47-year-old responsible,people,Pessoa07_V099,families|age_gender,0,0
V049,Filhos somente do responsável com 48 anos de idade,Children only of the 48 year old responsible,people,Pessoa07_V100,families|age_gender,0,0
V050,Filhos somente do responsável com 49 anos de idade,Children only the 49 year old responsible,people,Pessoa07_V101,families|age_gender,0,0
V051,Filhos somente do responsável com 50 anos ou mais de idade,Children only responsible person 50 years of age or older,people,Pessoa07_V102,families|age_gender,1,1
V052,Enteados com menos de 1 ano de idade,Stepchildren under 1 year of age,people,Pessoa07_V103,families|age_gender,0,0
V053,Enteados com 1 ano de idade,Stepchildren at 1 year of age,people,Pessoa07_V104,families|age_gender,0,0
V054,Enteados com 2 anos de idade,Stepchildren with 2 years of age,people,Pessoa07_V105,families|age_gender,0,2
V055,Enteados com 3 anos de idade,Stepchildren with 3 years of age,people,Pessoa07_V106,families|age_gender,0,0
V056,Enteados com 4 anos de idade,Stepchildren at 4 years of age,people,Pessoa07_V107,families|age_gender,1,2
V057,Enteados com 5 anos de idade,Stepchildren with 5 years of age,people,Pessoa07_V108,families|age_gender,1,1
V058,Enteados com 6 anos de idade,Stepchildren with 6 years of age,people,Pessoa07_V109,families|age_gender,1,3
V059,Enteados com 7 anos de idade,Stepchildren with 7 years of age,people,Pessoa07_V110,families|age_gender,0,2
V060,Enteados com 8 anos de idade,Stepchildren with 8 years of age,people,Pessoa07_V111,families|age_gender,0,0
V061,Enteados com 9 anos de idade,Stepchildren with 9 years of age,people,Pessoa07_V112,families|age_gender,0,1
V062,Enteados com 10 anos de idade,Stepchildren with 10 years of age,people,Pessoa07_V113,families|age_gender,1,0
V063,Enteados com 11 anos de idade,Stepchildren with 11 years old,people,Pessoa07_V114,families|age_gender,0,1
V064,Enteados com 12 anos de idade,Stepchildren with 12 years of age,people,Pessoa07_V115,families|age_gender,1,1
V065,Enteados com 13 anos de idade,Stepchildren with 13 years of age,people,Pessoa07_V116,families|age_gender,0,2
V066,Enteados com 14 anos de idade,Stepchildren with 14 years of age,people,Pessoa07_V117,families|age_gender,0,0
V067,Enteados com 15 anos de idade,Stepchildren with 15 years of age,people,Pessoa07_V118,families|age_gender,0,2
V068,Enteados com 16 anos de idade,16-year-old stepchildren,people,Pessoa07_V119,families|age_gender,0,0
V069,Enteados com 17 anos de idade,Stepchildren with 17 years of age,people,Pessoa07_V120,families|age_gender,0,0
V070,Enteados com 18 anos de idade,Stepchildren at 18 years of age,people,Pessoa07_V121,families|age_gender,1,1
V071,Enteados com 19 anos de idade,Stepchildren with 19 years of age,people,Pessoa07_V122,families|age_gender,0,0
V072,Enteados com 20 anos de idade,20-year-old stepchildren,people,Pessoa07_V123,families|age_gender,0,1
V073,Enteados com 21 anos de idade,21-year-old stepchildren,people,Pessoa07_V124,families|age_gender,0,0
V074,Enteados com 22 anos de idade,22-year-old stepchildren,people,Pessoa07_V125,families|age_gender,0,1
V075,Enteados com 23 anos de idade,23-year-old stepchildren,people,Pessoa07_V126,families|age_gender,0,0
V076,Enteados com 24 anos de idade,Stepchildren with 24 years of age,people,Pessoa07_V127,families|age_gender,0,0
V077,Enteados com 25 anos de idade,Stepchildren with 25 years of age,people,Pessoa07_V128,families|age_gender,0,0
V078,Enteados com 26 anos de idade,Stepchildren at 26 years of age,people,Pessoa07_V129,families|age_gender,0,0
V079,Enteados com 27 anos de idade,27-year-old stepchildren,people,Pessoa07_V130,families|age_gender,0,0
V080,Enteados com 28 anos de idade,28-year-old stepchildren,people,Pessoa07_V131,families|age_gender,1,0
V081,Enteados com 29 anos de idade,29-year-old stepchildren,people,Pessoa07_V132,families|age_gender,0,0
V082,Enteados com 30 anos de idade,30-year-old stepchildren,people,Pessoa07_V133,families|age_gender,0,0
V083,Enteados com 31 anos de idade,31-year-old stepchildren,people,Pessoa07_V134,families|age_gender,0,0
V084,Enteados com 32 anos de idade,32-year-old stepchildren,people,Pessoa07_V135,families|age_gender,0,0
V085,Enteados com 33 anos de idade,40-year-old stepchildren,people,Pessoa07_V136,families|age_gender,0,0
V086,Enteados com 34 anos de idade,34-year-old stepchildren,people,Pessoa07_V137,families|age_gender,0,0
V087,Enteados com 35 anos de idade,40-year-old stepchildren,people,Pessoa07_V138,families|age_gender,0,0
V088,Enteados com 36 anos de idade,36-year-old stepchildren,people,Pessoa07_V139,families|age_gender,0,0
V089,Enteados com 37 anos de idade,37-year-old stepchildren,people,Pessoa07_V140,families|age_gender,0,0
V090,Enteados com 38 anos de idade,38-year-old stepchildren,people,Pessoa07_V141,families|age_gender,0,0
V091,Enteados com 39 anos de idade,39-year-old stepchildren,people,Pessoa07_V142,families|age_gender,0,0
V092,Enteados com 40 anos de idade,40-year-old stepchildren,people,Pessoa07_V143,families|age_gender,0,0
V093,Enteados com 41 anos de idade,41-year-old stepchildren,people,Pessoa07_V144,families|age_gender,0,0
V094,Enteados com 42 anos de idade,40-year-old stepchildren,people,Pessoa07_V145,families|age_gender,0,0
V095,Enteados com 43 anos de idade,40-year-old stepchildren,people,Pessoa07_V146,families|age_gender,0,0
V096,Enteados com 44 anos de idade,44-year-old step-girls,people,Pessoa07_V147,families|age_gender,0,0
V097,Enteados com 45 anos de idade,40-year-old stepchildren,people,Pessoa07_V148,families|age_gender,0,0
V098,Enteados com 46 anos de idade,40-year-old stepchildren,people,Pessoa07_V149,families|age_gender,0,0
V099,Enteados com 47 anos de idade,Stepchildren at 47 years of age,people,Pessoa07_V150,families|age_gender,0,0
V100,Enteados com 48 anos de idade,48-year-old stepchildren,people,Pessoa07_V151,families|age_gender,0,0
V101,Enteados com 49 anos de idade,49-year-old stepchildren,people,Pessoa07_V152,families|age_gender,0,0
V102,Enteados com 50 ou mais anos de idade,Stepchildren aged 50 or over,people,Pessoa07_V153,families|age_gender,0,0
V103,Filhas do responsável e do cônjuge com menos de 1 ano de idade,Daughters of guardian and spouse under 1 year of age,people,Pessoa07_V001,families|age_gender,2,9
V104,Filhas do responsável e do cônjuge com 1 ano de idade,Daughters of spouse and 1-year-old spouse,people,Pessoa07_V002,families|age_gender,4,7
V105,Filhas do responsável e do cônjuge com 2 anos de idade,Daughters of guardian and spouse 2 years old,people,Pessoa07_V003,families|age_gender,4,7
V106,Filhas do responsável e do cônjuge com 3 anos de idade,Daughters of spouse and 3-year-old spouse,people,Pessoa07_V004,families|age_gender,2,7
V107,Filhas do responsável e do cônjuge com 4 anos de idade,Daughters of spouse and 4-year-old spouse,people,Pessoa07_V005,families|age_gender,3,6
V108,Filhas do responsável e do cônjuge com 5 anos de idade,Daughters of the guardian and the spouse with 5 years of age,people,Pessoa07_V006,families|age_gender,5,3
V109,Filhas do responsável e do cônjuge com 6 anos de idade,Daughters of guardian and spouse 6 years old,people,Pessoa07_V007,families|age_gender,3,4
V110,Filhas do responsável e do cônjuge com 7 anos de idade,Daughters of the guardian and the spouse with 7 years of age,people,Pessoa07_V008,families|age_gender,3,7
V111,Filhas do responsável e do cônjuge com 8 anos de idade,Daughters of guardian and spouse 8 years old,people,Pessoa07_V009,families|age_gender,2,3
V112,Filhas do responsável e do cônjuge com 9 anos de idade,Daughters of spouse and 9-year-old spouse,people,Pessoa07_V010,families|age_gender,5,5
V113,Filhas do responsável e do cônjuge com 10 anos de idade,Daughters of 10-year-old guardian and spouse,people,Pessoa07_V011,families|age_gender,3,1
V114,Filhas do responsável e do cônjuge com 11 anos de idade,Daughters of spouse and 11-year-old spouse,people,Pessoa07_V012,families|age_gender,9,3
V115,Filhas do responsável e do cônjuge com 12 anos de idade,Daughters of guardian and spouse 12 years old,people,Pessoa07_V013,families|age_gender,7,4
V116,Filhas do responsável e do cônjuge com 13 anos de idade,Daughters of the guardian and the spouse with 13 years of age,people,Pessoa07_V014,families|age_gender,9,5
V117,Filhas do responsável e do cônjuge com 14 anos de idade,Daughters of spouse and 14-year-old spouse,people,Pessoa07_V015,families|age_gender,5,4
V118,Filhas do responsável e do cônjuge com 15 anos de idade,Daughters of 15-year-old guardian and spouse,people,Pessoa07_V016,families|age_gender,8,4
V119,Filhas do responsável e do cônjuge com 16 anos de idade,Daughters of 16-year-old guardian and spouse,people,Pessoa07_V017,families|age_gender,3,2
V120,Filhas do responsável e do cônjuge com 17 anos de idade,Daughters of 17-year-old responsible spouse and spouse,people,Pessoa07_V018,families|age_gender,3,1
V121,Filhas do responsável e do cônjuge com 18 anos de idade,Daughters of guardian and spouse 18 years of age,people,Pessoa07_V019,families|age_gender,2,1
V122,Filhas do responsável e do cônjuge com 19 anos de idade,Daughters of spouse and 19-year-old spouse,people,Pessoa07_V020,families|age_gender,4,4
V123,Filhas do responsável e do cônjuge com 20 anos de idade,Daughters of 20-year-old guardian and spouse,people,Pessoa07_V021,families|age_gender,2,0
V124,Filhas do responsável e do cônjuge com 21 anos de idade,Daughters of spouse and 21-year-old spouse,people,Pessoa07_V022,families|age_gender,4,3
V125,Filhas do responsável e do cônjuge com 22 anos de idade,Daughters of 22-year-old guardian and spouse,people,Pessoa07_V023,families|age_gender,3,0
V126,Filhas do responsável e do cônjuge com 23 anos de idade,Daughters of the guardian and spouse at 23 years of age,people,Pessoa07_V024,families|age_gender,1,0
V127,Filhas do responsável e do cônjuge com 24 anos de idade,Daughters of 24-year-old guardian and spouse,people,Pessoa07_V025,families|age_gender,2,0
V128,Filhas do responsável e do cônjuge com 25 anos de idade,Daughters of 25-year-old guardian and spouse,people,Pessoa07_V026,families|age_gender,2,0
V129,Filhas do responsável e do cônjuge com 26 anos de idade,Daughters of 26-year-old guardian and spouse,people,Pessoa07_V027,families|age_gender,4,2
V130,Filhas do responsável e do cônjuge com 27 anos de idade,Daughters of spouse and 27-year-old spouse,people,Pessoa07_V028,families|age_gender,2,1
V131,Filhas do responsável e do cônjuge com 28 anos de idade,Daughters of spouse and 28-year-old spouse,people,Pessoa07_V029,families|age_gender,0,0
V132,Filhas do responsável e do cônjuge com 29 anos de idade,Daughters of 29-year-old guardian and spouse,people,Pessoa07_V030,families|age_gender,1,0
V133,Filhas do responsável e do cônjuge com 30 anos de idade,Daughters of 30-year-old guardian and spouse,people,Pessoa07_V031,families|age_gender,0,0
V134,Filhas do responsável e do cônjuge com 31 anos de idade,Daughters of the spouse and 31-year-old spouse,people,Pessoa07_V032,families|age_gender,0,0
V135,Filhas do responsável e do cônjuge com 32 anos de idade,Daughters of 32-year-old guardian and spouse,people,Pessoa07_V033,families|age_gender,1,1
V136,Filhas do responsável e do cônjuge com 33 anos de idade,Daughters of spouse and 33-year-old spouse,people,Pessoa07_V034,families|age_gender,0,0
V137,Filhas do responsável e do cônjuge com 34 anos de idade,Daughters of 34-year-old guardian and spouse,people,Pessoa07_V035,families|age_gender,0,0
V138,Filhas do responsável e do cônjuge com 35 anos de idade,Daughters of 35-year-old guardian and spouse,people,Pessoa07_V036,families|age_gender,0,0
V139,Filhas do responsável e do cônjuge com 36 anos de idade,Daughters of 36-year-old guardian and spouse,people,Pessoa07_V037,families|age_gender,1,0
V140,Filhas do responsável e do cônjuge com 37 anos de idade,Daughters of spouse and 37-year-old spouse,people,Pessoa07_V038,families|age_gender,0,0
V141,Filhas do responsável e do cônjuge com 38 anos de idade,Daughters of 38-year-old guardian and spouse,people,Pessoa07_V039,families|age_gender,0,1
V142,Filhas do responsável e do cônjuge com 39 anos de idade,Daughters of guardian and spouse at 39 years of age,people,Pessoa07_V040,families|age_gender,0,0
V143,Filhas do responsável e do cônjuge com 40 anos de idade,Daughters of 40-year-old spouse and spouse,people,Pessoa07_V041,families|age_gender,0,0
V144,Filhas do responsável e do cônjuge com 41 anos de idade,Daughters of 41-year-old guardian and spouse,people,Pessoa07_V042,families|age_gender,0,0
V145,Filhas do responsável e do cônjuge com 42 anos de idade,Daughters of 42-year-old guardian and spouse,people,Pessoa07_V043,families|age_gender,1,0
V146,Filhas do responsável e do cônjuge com 43 anos de idade,Daughters of 43-year-old guardian and spouse,people,Pessoa07_V044,families|age_gender,0,0
V147,Filhas do responsável e do cônjuge com 44 anos de idade,Daughters of 44-year-old guardian and spouse,people,Pessoa07_V045,families|age_gender,0,0
V148,Filhas do responsável e do cônjuge com 45 anos de idade,Daughters of 45-year-old guardian and spouse,people,Pessoa07_V046,families|age_gender,0,0
V149,Filhas do responsável e do cônjuge com 46 anos de idade,Daughters of 46-year-old guardian and spouse,people,Pessoa07_V047,families|age_gender,0,1
V150,Filhas do responsável e do cônjuge com 47 anos de idade,Daughters of guardian and spouse at 47 years of age,people,Pessoa07_V048,families|age_gender,0,0
V151,Filhas do responsável e do cônjuge com 48 anos de idade,Daughters of guardian and spouse at 48 years of age,people,Pessoa07_V049,families|age_gender,0,0
V152,Filhas do responsável e do cônjuge com 49 anos de idade,Daughters of 49-year-old guardian and spouse,people,Pessoa07_V050,families|age_gender,0,0
V153,Filhas do responsável e do cônjuge com 50 anos ou mais de idade,Daughters of guardian and spouse aged 50 years or over,people,Pessoa07_V051,families|age_gender,0,0
V154,Filhas somente do responsável com menos de 1 ano de idade,Daughters only responsible person under 1 year of age,people,Pessoa07_V052,families|age_gender,0,0
V155,Filhas somente do responsável com 1 ano de idade,Daughters only of 1 year old responsible,people,Pessoa07_V053,families|age_gender,1,2
V156,Filhas somente do responsável com 2 anos de idade,Daughters only of 2 year old responsible,people,Pessoa07_V054,families|age_gender,1,0
V157,Filhas somente do responsável com 3 anos de idade,Daughters only of 3 year old responsible,people,Pessoa07_V055,families|age_gender,0,3
V158,Filhas somente do responsável com 4 anos de idade,Daughters only of 4 year old responsible,people,Pessoa07_V056,families|age_gender,3,2
V159,Filhas somente do responsável com 5 anos de idade,Daughters only of 5 year old responsible,people,Pessoa07_V057,families|age_gender,2,2
V160,Filhas somente do responsável com 6 anos de idade,Daughters only of 6 year old responsible,people,Pessoa07_V058,families|age_gender,1,3
V161,Filhas somente do responsável com 7 anos de idade,Daughters only of 7 year old responsible,people,Pessoa07_V059,families|age_gender,4,2
V162,Filhas somente do responsável com 8 anos de idade,Only 8-year-old responsible daughters,people,Pessoa07_V060,families|age_gender,4,6
V163,Filhas somente do responsável com 9 anos de idade,Daughters only of 9 year old responsible,people,Pessoa07_V061,families|age_gender,0,3
V164,Filhas somente do responsável com 10 anos de idade,Daughters only of 10 year old responsible,people,Pessoa07_V062,families|age_gender,3,5
V165,Filhas somente do responsável com 11 anos de idade,Daughters only of 11 year old responsible,people,Pessoa07_V063,families|age_gender,4,3
V166,Filhas somente do responsável com 12 anos de idade,Daughters only of 12 year old responsible,people,Pessoa07_V064,families|age_gender,2,1
V167,Filhas somente do responsável com 13 anos de idade,Daughters only of 13 year old responsible,people,Pessoa07_V065,families|age_gender,6,4
V168,Filhas somente do responsável com 14 anos de idade,Daughters only of 14 year old responsible,people,Pessoa07_V066,families|age_gender,2,3
V169,Filhas somente do responsável com 15 anos de idade,Daughters only of 15 year old responsible,people,Pessoa07_V067,families|age_gender,2,4
V170,Filhas somente do responsável com 16 anos de idade,Daughters only of 16 year old responsible,people,Pessoa07_V068,families|age_gender,4,2
V171,Filhas somente do responsável com 17 anos de idade,Daughters only of 17 year old responsible,people,Pessoa07_V069,families|age_gender,2,1
V172,Filhas somente do responsável com 18 anos de idade,Daughters only of the responsible person with 18 years of age,people,Pessoa07_V070,families|age_gender,1,3
V173,Filhas somente do responsável com 19 anos de idade,Daughters only of 19 year old responsible,people,Pessoa07_V071,families|age_gender,0,2
V174,Filhas somente do responsável com 20 anos de idade,Daughters only of 20 year old responsible,people,Pessoa07_V072,families|age_gender,2,1
V175,Filhas somente do responsável com 21 anos de idade,Daughters only of 21 year old responsible,people,Pessoa07_V073,families|age_gender,0,2
V176,Filhas somente do responsável com 22 anos de idade,Daughters only of 22 year old responsible,people,Pessoa07_V074,families|age_gender,0,0
V177,Filhas somente do responsável com 23 anos de idade,Daughters only of 23 year old responsible,people,Pessoa07_V075,families|age_gender,0,0
V178,Filhas somente do responsável com 24 anos de idade,Daughters only of 24 year old responsible,people,Pessoa07_V076,families|age_gender,1,0
V179,Filhas somente do responsável com 25 anos de idade,Daughters only of 25-year-old responsible,people,Pessoa07_V077,families|age_gender,2,4
V180,Filhas somente do responsável com 26 anos de idade,Daughters only of 26 year old responsible,people,Pessoa07_V078,families|age_gender,3,2
V181,Filhas somente do responsável com 27 anos de idade,Daughters only of 27 year old responsible,people,Pessoa07_V079,families|age_gender,0,0
V182,Filhas somente do responsável com 28 anos de idade,Daughters only of 28 year old responsible,people,Pessoa07_V080,families|age_gender,2,0
V183,Filhas somente do responsável com 29 anos de idade,Daughters only of 29 year old responsible,people,Pessoa07_V081,families|age_gender,0,0
V184,Filhas somente do responsável com 30 anos de idade,Daughters only of 30 year old responsible,people,Pessoa07_V082,families|age_gender,1,0
V185,Filhas somente do responsável com 31 anos de idade,Daughters only of the 31 year old responsible,people,Pessoa07_V083,families|age_gender,3,0
V186,Filhas somente do responsável com 32 anos de idade,Daughters only of 32-year-old responsible,people,Pessoa07_V084,families|age_gender,0,0
V187,Filhas somente do responsável com 33 anos de idade,Daughters only of 33 year old responsible,people,Pessoa07_V085,families|age_gender,1,0
V188,Filhas somente do responsável com 34 anos de idade,Daughters only of 34 year old responsible,people,Pessoa07_V086,families|age_gender,1,0
V189,Filhas somente do responsável com 35 anos de idade,Daughters only of 35 year old responsible,people,Pessoa07_V087,families|age_gender,0,0
V190,Filhas somente do responsável com 36 anos de idade,Daughters only of 36 year old responsible,people,Pessoa07_V088,families|age_gender,0,0
V191,Filhas somente do responsável com 37 anos de idade,Daughters only of 37 year old responsible,people,Pessoa07_V089,families|age_gender,0,0
V192,Filhas somente do responsável com 38 anos de idade,Daughters only of 38-year-old responsible,people,Pessoa07_V090,families|age_gender,0,0
V193,Filhas somente do responsável com 39 anos de idade,Daughters only of 39 year old responsible,people,Pessoa07_V091,families|age_gender,2,0
V194,Filhas somente do responsável com 40 anos de idade,Daughters only of 40 year old responsible,people,Pessoa07_V092,families|age_gender,0,1
V195,Filhas somente do responsável com 41 anos de idade,Daughters only of 41-year-old responsible,people,Pessoa07_V093,families|age_gender,0,0
V196,Filhas somente do responsável com 42 anos de idade,Daughters only of 42-year-old responsible,people,Pessoa07_V094,families|age_gender,0,0
V197,Filhas somente do responsável com 43 anos de idade,Daughters only of 43 year old responsible,people,Pessoa07_V095,families|age_gender,0,0
V198,Filhas somente do responsável com 44 anos de idade,Daughters only of 44-year-old responsible,people,Pessoa07_V096,families|age_gender,0,0
V199,Filhas somente do responsável com 45 anos de idade,Daughters only of 45 year old responsible,people,Pessoa07_V097,families|age_gender,0,0
V200,Filhas somente do responsável com 46 anos de idade,Daughters only of 46 year old responsible,people,Pessoa07_V098,families|age_gender,0,0
V201,Filhas somente do responsável com 47 anos de idade,Daughters only of 47 year old responsible,people,Pessoa07_V099,families|age_gender,0,0
V202,Filhas somente do responsável com 48 anos de idade,Daughters only of 48-year-old responsible,people,Pessoa07_V100,families|age_gender,0,0
V203,Filhas somente do responsável com 49 anos de idade,Daughters only of the 49 year old responsible,people,Pessoa07_V101,families|age_gender,0,0
V204,Filhas somente do responsável com 50 anos ou mais de idade,Daughters only responsible person 50 years of age or older,people,Pessoa07_V102,families|age_gender,0,1
V205,Enteadas com menos de 1 ano de idade,Stepchildren under 1 year of age,people,Pessoa07_V103,families|age_gender,0,1
V206,Enteadas com 1 ano de idade,Stepdaughters with 1 year old,people,Pessoa07_V104,families|age_gender,0,0
V207,Enteadas com 2 anos de idade,Stepdaughters with 2 years of age,people,Pessoa07_V105,families|age_gender,0,0
V208,Enteadas com 3 anos de idade,Stepdaughters with 3 years old,people,Pessoa07_V106,families|age_gender,0,0
V209,Enteadas com 4 anos de idade,Stepchildren at 4 years of age,people,Pessoa07_V107,families|age_gender,2,3
V210,Enteadas com 5 anos de idade,Stepdaughters with 5 years old,people,Pessoa07_V108,families|age_gender,1,1
V211,Enteadas com 6 anos de idade,Stepdaughters with 6 years of age,people,Pessoa07_V109,families|age_gender,3,1
V212,Enteadas com 7 anos de idade,Stepdaughters with 7 years of age,people,Pessoa07_V110,families|age_gender,1,0
V213,Enteadas com 8 anos de idade,Stepdaughters with 8 years of age,people,Pessoa07_V111,families|age_gender,2,2
V214,Enteadas com 9 anos de idade,Stepdaughters with 9 years of age,people,Pessoa07_V112,families|age_gender,1,3
V215,Enteadas com 10 anos de idade,Stepdaughters with 10 years of age,people,Pessoa07_V113,families|age_gender,0,2
V216,Enteadas com 11 anos de idade,Stepdaughters with 11 years of age,people,Pessoa07_V114,families|age_gender,1,2
V217,Enteadas com 12 anos de idade,Stepdaughters with 12 years old,people,Pessoa07_V115,families|age_gender,1,0
V218,Enteadas com 13 anos de idade,Stepdaughters with 13 years of age,people,Pessoa07_V116,families|age_gender,0,1
V219,Enteadas com 14 anos de idade,Stepdaughters with 14 years of age,people,Pessoa07_V117,families|age_gender,1,1
V220,Enteadas com 15 anos de idade,Stepdaughters with 15 years of age,people,Pessoa07_V118,families|age_gender,1,0
V221,Enteadas com 16 anos de idade,Stepdaughters with 16 years of age,people,Pessoa07_V119,families|age_gender,1,1
V222,Enteadas com 17 anos de idade,Stepdaughters with 17 years of age,people,Pessoa07_V120,families|age_gender,2,0
V223,Enteadas com 18 anos de idade,Stepdaughters with 18 years of age,people,Pessoa07_V121,families|age_gender,0,1
V224,Enteadas com 19 anos de idade,Stepdaughters with 19 years of age,people,Pessoa07_V122,families|age_gender,0,0
V225,Enteadas com 20 anos de idade,Stepdaughters with 20 years of age,people,Pessoa07_V123,families|age_gender,0,0
V226,Enteadas com 21 anos de idade,Stepdaughters with 21 years of age,people,Pessoa07_V124,families|age_gender,0,0
