Nome da variável,Descrição da variável
V090,"Pessoas alfabetizadas de 10 a 14 anos de idade, do sexo feminino e cor ou raça - indígena"
V091,"Pessoas de15 a 19 anos de idade, do sexo feminino e cor ou raça – branca"
V092,"Pessoas de15 a 19 anos de idade, do sexo feminino e cor ou raça – preta"
V093,"Pessoas alfabetizadas de15 a 19 anos de idade, do sexo feminino e cor ou raça – amarela"
V094,"Pessoas alfabetizadas de15 a 19 anos de idade, do sexo feminino e cor ou raça – parda"
V095,"Pessoas alfabetizadas de15 a 19 anos de idade, do sexo feminino e cor ou raça - indígena"
V096,"Pessoas alfabetizadas de 15 a 17 anos de idade, do sexo feminino e cor ou raça – branca"
V097,"Pessoas alfabetizadas de 15 a 17 anos de idade, do sexo feminino e cor ou raça – preta"
V098,"Pessoas alfabetizadas de 15 a 17 anos de idade, do sexo feminino e cor ou raça – amarela"
V099,"Pessoas alfabetizadas de 15 a 17 anos de idade, do sexo feminino e cor ou raça – parda"
V100,"Pessoas alfabetizadas de 15 a 17 anos de idade, do sexo feminino e cor ou raça - indígena"
V101,"Pessoas alfabetizadas de 18 ou 19 anos de idade, do sexo feminino e cor ou raça – branca"
V102,"Pessoas alfabetizadas de 18 ou 19 anos de idade, do sexo feminino e cor ou raça – preta"
V103,"Pessoas alfabetizadas de 18 ou 19 anos de idade, do sexo feminino e cor ou raça – amarela"
V104,"Pessoas alfabetizadas de 18 ou 19 anos de idade, do sexo feminino e cor ou raça – parda"
V105,"Pessoas alfabetizadas de 18 ou 19 anos de idade, do sexo feminino e cor ou raça - indígena"
V106,"Pessoas alfabetizadas de 20 a 24 anos de idade, do sexo feminino e cor ou raça - branca"
V107,"Pessoas alfabetizadas de 20 a 24 anos de idade, do sexo feminino e cor ou raça - preta"
V108,"Pessoas alfabetizadas de 20 a 24 anos de idade, do sexo feminino e cor ou raça - amarela"
V109,"Pessoas alfabetizadas de 20 a 24 anos de idade, do sexo feminino e cor ou raça - parda"
V110,"Pessoas alfabetizadas de 20 a 24 anos de idade, do sexo feminino e cor ou raça -indígena"
V111,"Pessoas alfabetizadas de 25 a 29 anos de idade, do sexo feminino e cor ou raça – branca"
V112,"Pessoas alfabetizadas de 25 a 29 anos de idade, do sexo feminino e cor ou raça – preta"
V113,"Pessoas alfabetizadas de 25 a 29 anos de idade, do sexo feminino e cor ou raça – amarela"
V114,"Pessoas alfabetizadas de 25 a 29 anos de idade, do sexo feminino e cor ou raça – parda"
V115,"Pessoas alfabetizadas de 25 a 29 anos de idade, do sexo feminino e cor ou raça - indígena"
V116,"Pessoas alfabetizadas de 30 a 34 anos de idade, do sexo feminino e cor ou raça – branca"
V117,"Pessoas alfabetizadas de 30 a 34 anos de idade, do sexo feminino e cor ou raça – preta"
V118,"Pessoas alfabetizadas de 30 a 34 anos de idade, do sexo feminino e cor ou raça – amarela"
V119,"Pessoas alfabetizadas de 30 a 34 anos de idade, do sexo feminino e cor ou raça – parda"
V120,"Pessoas alfabetizadas de 30 a 34 anos de idade, do sexo feminino e cor ou raça - indígena"
V121,"Pessoas alfabetizadas de 35 a 39 anos de idade, do sexo feminino e cor ou raça - branca"
V122,"Pessoas alfabetizadas de 35 a 39 anos de idade, do sexo feminino e cor ou raça – preta"
V123,"Pessoas alfabetizadas de 35 a 39 anos de idade, do sexo feminino e cor ou raça – amarela"
V124,"Pessoas alfabetizadas de 35 a 39 anos de idade, do sexo feminino e cor ou raça – parda"
V125,"Pessoas alfabetizadas de 35 a 39 anos de idade, do sexo feminino e cor ou raça - indígena"
V126,"Pessoas alfabetizadas de 40 a 44 anos de idade, do sexo feminino e cor ou raça – branca"
V127,"Pessoas alfabetizadas de 40 a 44 anos de idade, do sexo feminino e cor ou raça – preta"
V128,"Pessoas alfabetizadas de 40 a 44 anos de idade, do sexo feminino e cor ou raça – amarela"
V129,"Pessoas alfabetizadas de 40 a 44 anos de idade, do sexo feminino e cor ou raça – parda"
V130,"Pessoas alfabetizadas de 40 a 44 anos de idade, do sexo feminino e cor ou raça - indígena"
V131,"Pessoas alfabetizadas de 45 a 49 anos de idade, do sexo feminino e cor ou raça – branca"
V132,"Pessoas alfabetizadas de 45 a 49 anos de idade, do sexo feminino e cor ou raça – preta"
V133,"Pessoas alfabetizadas de 45 a 49 anos de idade, do sexo feminino e cor ou raça – amarela"
V134,"Pessoas alfabetizadas de 45 a 49 anos de idade, do sexo feminino e cor ou raça – parda"
V135,"Pessoas alfabetizadas de 45 a 49 anos de idade, do sexo feminino e cor ou raça – indígena"
V136,"Pessoas alfabetizadas de 50 a 54 anos de idade, do sexo feminino e cor ou raça – branca"
V137,"Pessoas alfabetizadas de 50 a 54 anos de idade, do sexo feminino e cor ou raça – preta"
V138,"Pessoas alfabetizadas de 50 a 54 anos de idade, do sexo feminino e cor ou raça – amarela"
V139,"Pessoas alfabetizadas de 50 a 54 anos de idade, do sexo feminino e cor ou raça – parda"
V140,"Pessoas alfabetizadas de 50 a 54 anos de idade, do sexo feminino e cor ou raça - indígena"
V141,"Pessoas alfabetizadas de 55 a 59 anos de idade,  do sexo feminino e cor ou raça – branca"
V142,"Pessoas alfabetizadas de 55 a 59 anos de idade, do sexo feminino e cor ou raça – preta"
V143,"Pessoas alfabetizadas de 55 a 59 anos de idade, do sexo feminino e cor ou raça – amarela"
V144,"Pessoas alfabetizadas de 55 a 59 anos de idade, do sexo feminino e cor ou raça – parda"
V145,"Pessoas alfabetizadas de 55 a 59 anos de idade, do sexo feminino e cor ou raça - indígena"
V146,"Pessoas alfabetizadas de 60 a 69 anos de idade, do sexo feminino e cor ou raça – branca"
V147,"Pessoas alfabetizadas de 60 a 69 anos de idade, do sexo feminino e cor ou raça – preta"
V148,"Pessoas alfabetizadas de 60 a 69 anos de idade, do sexo feminino e cor ou raça – amarela"
V149,"Pessoas alfabetizadas de 60 a 69 anos de idade, do sexo feminino e cor ou raça – parda"
V150,"Pessoas alfabetizadas de 60 a 69 anos de idade, do sexo feminino e cor ou raça - indígena"
V151,"Pessoas alfabetizadas de 70 anos ou mais de idade, do sexo feminino e cor ou raça – branca"
V152,"Pessoas alfabetizadas de 70 anos ou mais de idade, do sexo feminino e cor ou raça – preta"
V153,"Pessoas alfabetizadas de 70 anos ou mais de idade, do sexo feminino e cor ou raça – amarela"
V154,"Pessoas alfabetizadas de 70 anos ou mais de idade, do sexo feminino e cor ou raça – parda"
V155,"Pessoas alfabetizadas de 70 anos ou mais de idade, do sexo feminino e cor ou raça - indígena"
