Nome da variável,Descrição da variável,Variable description,unit,denominators,subsection,data_sample1,data_sample2
Cod_setor,Código do setor censitário,Census sector code,,,,120001305000001,120001305000012
Situacao,Código de situação do setor censitário (ver planilha Basico_UF.xls),Code of situation of the census sector (see worksheet Basico_UF.xls),,,,1,1
V035,Homens alfabetizados com 38 anos de idade,38-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V036,Homens alfabetizados com 39 anos de idade,39-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,9,12
V037,Homens alfabetizados com 40 anos de idade,40-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,3
V038,Homens alfabetizados com 41 anos de idade,41-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V039,Homens alfabetizados com 42 anos de idade,42-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,15,15
V040,Homens alfabetizados com 43 anos de idade,43-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V041,Homens alfabetizados com 44 anos de idade,44-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,9,11
V042,Homens alfabetizados com 45 anos de idade,45-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,1
V043,Homens alfabetizados com 46 anos de idade,46-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V044,Homens alfabetizados com 47 anos de idade,47-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,24,18
V045,Homens alfabetizados com 48 anos de idade,48-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V046,Homens alfabetizados com 49 anos de idade,49-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,6,4
V047,Homens alfabetizados com 50 anos de idade,50-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,1,4
V048,Homens alfabetizados com 51 anos de idade,51-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V049,Homens alfabetizados com 52 anos de idade,52-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,15,11
V050,Homens alfabetizados com 53 anos de idade,53-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V051,Homens alfabetizados com 54 anos de idade,54-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,6,6
V052,Homens alfabetizados com 55 anos de idade,55-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,3,3
V053,Homens alfabetizados com 56 anos de idade,56-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V054,Homens alfabetizados com 57 anos de idade,57-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,16,7
V055,Homens alfabetizados com 58 anos de idade,58-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V056,Homens alfabetizados com 59 anos de idade,59-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,14,3
V057,Homens alfabetizados com 60 anos de idade,60-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,1,0
V058,Homens alfabetizados com 61 anos de idade,61-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,2,0
V059,Homens alfabetizados com 62 anos de idade,62-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,10,3
V060,Homens alfabetizados com 63 anos de idade,63-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V061,Homens alfabetizados com 64 anos de idade,64-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,9,4
V062,Homens alfabetizados com 65 anos de idade,65-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,2,1
V063,Homens alfabetizados com 66 anos de idade,66-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V064,Homens alfabetizados com 67 anos de idade,67-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,12,3
V065,Homens alfabetizados com 68 anos de idade,68-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V066,Homens alfabetizados com 69 anos de idade,69-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,9,1
V067,Homens alfabetizados com 70 anos de idade,70-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,2,1
V068,Homens alfabetizados com 71 anos de idade,71-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V069,Homens alfabetizados com 72 anos de idade,72-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,10,8
V070,Homens alfabetizados com 73 anos de idade,73-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V071,Homens alfabetizados com 74 anos de idade,74-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,3,1
V072,Homens alfabetizados com 75 anos de idade,75-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V073,Homens alfabetizados com 76 anos de idade,76-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V074,Homens alfabetizados com 77 anos de idade,77-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,5,5
V075,Homens alfabetizados com 78 anos de idade,78-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V076,Homens alfabetizados com 79 anos de idade,79-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,4
V077,Homens alfabetizados com 80 ou mais anos de idade,Men who are literate at least 80 years of age,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V078,Homens responsáveis alfabetizados com 10 ou mais anos de idade em domicílios particulares,Responsible literate men with 10 or more years of age in private households,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V079,"Homens, cônjuges ou companheiros (de sexo diferente e do mesmo sexo da pessoa responsável) alfabetizados com 10 ou mais anos de idade em domicílios particulares","Men, spouses or partners (of different sex and of the same sex as the responsible person) literate with 10 or more years of age in private households",people,Pessoa01_V001,education|age_gender|race_ethnicity,8,3
V080,Filhos ou enteados alfabetizados com 10 ou mais anos de idade em domicílios particulares,Children or literate stepchildren with 10 or more years of age in private households,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V081,Pais ou sogros alfabetizados com 20 ou mais anos de idade em domicílios particulares,Parents or in-laws with 20 or more years of age in private households,people,Pessoa01_V001,education|age_gender|race_ethnicity,6,11
V082,Netos ou bisnetos alfabetizados com 10 ou mais anos de idade em domicílios particulares,Grandchildren or literate grandchildren aged 10 or over in private households,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,2
V083,Irmãos alfabetizados com 10 ou mais anos de idade em domicílios particulares,Literate brothers with 10 or more years of age in private homes,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,1
V084,Outros parentes homens alfabetizados com 10 ou mais anos de idade em domicílios particulares,Other literate male relatives with 10 or more years of age in private households,people,Pessoa01_V001,education|age_gender|race_ethnicity,18,12
V085,Conviventes alfabetizados com 10 ou mais anos de idade em domicílios particulares,Literate cohabitants with 10 or more years of age in private households,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V086,Mulheres alfabetizadas com 5 ou mais anos de idade,Literate women with 5 or more years of age,people,Pessoa01_V001,education|age_gender|race_ethnicity,21,21
V087,Mulheres alfabetizadas com 5 anos de idade,Five-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V088,Mulheres alfabetizadas com 6 anos de idade,6-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,1,2
V089,Mulheres alfabetizadas com 7 anos de idade,Literate women with 7 years of age,people,Pessoa01_V001,education|age_gender|race_ethnicity,39,23
V090,Mulheres alfabetizadas com 8 anos de idade,Literate 8-year-old women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V091,Mulheres alfabetizadas com 9 anos de idade,9-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,15,22
V092,Mulheres alfabetizadas com 10 anos de idade,10-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,1,3
V093,Mulheres alfabetizadas com 11 anos de idade,11-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,1,1
V094,Mulheres alfabetizadas com 12 anos de idade,12-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,32,26
V095,Mulheres alfabetizadas com 13 anos de idade,Women literate at age 13,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V096,Mulheres alfabetizadas com 14 anos de idade,14-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,10,14
V097,Mulheres alfabetizadas com 15 anos de idade,Literate women with 15 years of age,people,Pessoa04_V093,education|age_gender|race_ethnicity,1,2
V098,Mulheres alfabetizadas com 16 anos de idade,16-year-old literate women,people,Pessoa04_V094,education|age_gender|race_ethnicity,0,1
V099,Mulheres alfabetizadas com 17 anos de idade,17-year-old literate women,people,Pessoa04_V095,education|age_gender|race_ethnicity,22,13
V100,Mulheres alfabetizadas com 18 anos de idade,Literate 18-year-old women,people,Pessoa04_V096,education|age_gender|race_ethnicity,0,0
V101,Mulheres alfabetizadas com 19 anos de idade,Women literate at age 19,people,Pessoa04_V093,education|age_gender|race_ethnicity,5,8
V102,Mulheres alfabetizadas com 20 anos de idade,20-year-old literate women,people,Pessoa04_V094,education|age_gender|race_ethnicity,0,1
V103,Mulheres alfabetizadas com 21 anos de idade,21-year-old literate women,people,Pessoa04_V095,education|age_gender|race_ethnicity,1,0
V104,Mulheres alfabetizadas com 22 anos de idade,22-year-old literate women,people,Pessoa04_V096,education|age_gender|race_ethnicity,10,13
V105,Mulheres alfabetizadas com 23 anos de idade,23-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V106,Mulheres alfabetizadas com 24 anos de idade,Women literate at 24 years of age,people,Pessoa01_V001,education|age_gender|race_ethnicity,14,14
V107,Mulheres alfabetizadas com 25 anos de idade,25-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,2
V108,Mulheres alfabetizadas com 26 anos de idade,26-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,3,1
V109,Mulheres alfabetizadas com 27 anos de idade,27-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,21,20
V110,Mulheres alfabetizadas com 28 anos de idade,28-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V111,Mulheres alfabetizadas com 29 anos de idade,29-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,21,10
V112,Mulheres alfabetizadas com 30 anos de idade,Women literate at 30 years old,people,Pessoa01_V001,education|age_gender|race_ethnicity,2,3
V113,Mulheres alfabetizadas com 31 anos de idade,Women literate at 31 years of age,people,Pessoa01_V001,education|age_gender|race_ethnicity,1,1
V114,Mulheres alfabetizadas com 32 anos de idade,32-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,29,30
V115,Mulheres alfabetizadas com 33 anos de idade,33-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V116,Mulheres alfabetizadas com 34 anos de idade,34-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,14,21
V117,Mulheres alfabetizadas com 35 anos de idade,35-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,1,2
V118,Mulheres alfabetizadas com 36 anos de idade,36-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V119,Mulheres alfabetizadas com 37 anos de idade,37-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,26,22
V120,Mulheres alfabetizadas com 38 anos de idade,38-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V121,Mulheres alfabetizadas com 39 anos de idade,Women who are literate at 39 years of age,people,Pessoa01_V001,education|age_gender|race_ethnicity,14,12
V122,Mulheres alfabetizadas com 40 anos de idade,40-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,2,2
V123,Mulheres alfabetizadas com 41 anos de idade,41-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V124,Mulheres alfabetizadas com 42 anos de idade,42-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,25,15
V125,Mulheres alfabetizadas com 43 anos de idade,43-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V126,Mulheres alfabetizadas com 44 anos de idade,44-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,11,5
V127,Mulheres alfabetizadas com 45 anos de idade,45-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,1
V128,Mulheres alfabetizadas com 46 anos de idade,46-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,1
V129,Mulheres alfabetizadas com 47 anos de idade,47-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,14,10
V130,Mulheres alfabetizadas com 48 anos de idade,48-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V131,Mulheres alfabetizadas com 49 anos de idade,49-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,7,3
V132,Mulheres alfabetizadas com 50 anos de idade,50-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,2,1
V133,Mulheres alfabetizadas com 51 anos de idade,51-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,1,0
V134,Mulheres alfabetizadas com 52 anos de idade,52-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,11,7
V135,Mulheres alfabetizadas com 53 anos de idade,53-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V136,Mulheres alfabetizadas com 54 anos de idade,54-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,6,6
V137,Mulheres alfabetizadas com 55 anos de idade,55-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,1
V138,Mulheres alfabetizadas com 56 anos de idade,56-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V139,Mulheres alfabetizadas com 57 anos de idade,57-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,16,4
V140,Mulheres alfabetizadas com 58 anos de idade,58-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V141,Mulheres alfabetizadas com 59 anos de idade,59-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,10,4
V142,Mulheres alfabetizadas com 60 anos de idade,60-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,1,0
V143,Mulheres alfabetizadas com 61 anos de idade,61-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V144,Mulheres alfabetizadas com 62 anos de idade,62-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,4,5
V145,Mulheres alfabetizadas com 63 anos de idade,63-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V146,Mulheres alfabetizadas com 64 anos de idade,64-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,9,5
V147,Mulheres alfabetizadas com 65 anos de idade,65-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V148,Mulheres alfabetizadas com 66 anos de idade,66-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V149,Mulheres alfabetizadas com 67 anos de idade,67-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,2,3
V150,Mulheres alfabetizadas com 68 anos de idade,68-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V151,Mulheres alfabetizadas com 69 anos de idade,69-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,1,2
V152,Mulheres alfabetizadas com 70 anos de idade,70-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V153,Mulheres alfabetizadas com 71 anos de idade,71-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V154,Mulheres alfabetizadas com 72 anos de idade,72-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,2,3
V155,Mulheres alfabetizadas com 73 anos de idade,73-year-old literate women,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V156,Mulheres alfabetizadas com 74 anos de idade,74-year-old literate women,,,,,
V157,Mulheres alfabetizadas com 75 anos de idade,75-year-old literate women,,,,,
V158,Mulheres alfabetizadas com 76 anos de idade,76-year-old literate women,,,,,
V159,Mulheres alfabetizadas com 77 anos de idade,77-year-old literate women,,,,,
V160,Mulheres alfabetizadas com 78 anos de idade,78-year-old literate women,,,,,
V161,Mulheres alfabetizadas com 79 anos de idade,Women with literacy at age 79,,,,,
V162,Mulheres alfabetizadas com 80 ou mais anos de idade ,Women who are literate at least 80 years of age,,,,,
V163,Mulheres responsáveis alfabetizadas com 10 ou mais anos de idade em domicílios particulares,Responsible literate women aged 10 or over in private households,,,,,
V164,"Mulheres, cônjuges ou companheiras (de sexo diferente e do mesmo sexo da pessoa responsável) alfabetizadas com 10 ou mais anos de idade em domicílios particulares","Women, spouses or partners (of different sex and of the same sex as the responsible person) literate with 10 years of age or more in private households",,,,,
V165,Filhas ou enteadas alfabetizadas com 10 ou mais anos de idade em domicílios particulares,Literate daughters or stepchildren with 10 years of age or more in private households,,,,,
V166,Mães ou sogras alfabetizadas com 20 ou mais anos de idade em domicílios particulares,Mothers or mother-in-law literate with 20 years of age or more in private households,,,,,
V167,Netas ou bisnetas alfabetizadas com 10 ou mais anos de idade em domicílios particulares,Literate granddaughters or grandchildren with 10 years of age or more in private households,,,,,
V168,Irmãs alfabetizadas com 10 ou mais anos de idade em domicílios particulares,Literate sisters with 10 or more years of age in private households,,,,,
V169,Outros parentes mulheres alfabetizadas com 10 ou mais anos de idade em domicílios particulares,Other literate female relatives with 10 or more years of age in private households,,,,,
V170,Conviventes alfabetizadas com 10 mais anos de idade em domicílios particulares,Literate cohabitants with 10 more years of age in private households,,,,,
