NOME DA VARIÁVEL,DESCRIÇÃO DA VARIÁVEL,DESCRIPTION OF THE VARIABLE,unit,denominators,subsection,data_sample1,data_sample2
V637,Moradores em domicílios particulares permanentes com moradia semi-adequada – Existe pavimentação,Residents in permanent private households with semi-adequate housing - Paving exists,people,Entorno03_V422,housing,875,303
V638,Moradores em domicílios particulares permanentes com moradia semi-adequada – Não existe pavimentação,Residents in permanent private households with semi-adequate housing - No paving,people,Entorno03_V422,housing,45,554
V639,Moradores em domicílios particulares permanentes com moradia inadequada – Existe pavimentação,Residents in permanent private households with inadequate housing - Paving exists,people,Entorno03_V422,housing,5,14
V640,Moradores em domicílios particulares permanentes com moradia inadequada – Não existe pavimentação,Residents in permanent private households with inadequate housing - No paving,people,Entorno03_V422,housing,0,12
V641,Moradores em domicílios particulares permanentes com moradia adequada – Existe calçada,Residents in permanent private households with adequate housing - Exist sidewalk,people,Entorno03_V422,housing,16,0
V642,Moradores em domicílios particulares permanentes com moradia adequada – Não existe calçada,Residents in permanent private households with adequate housing - No sidewalk,people,Entorno03_V422,housing,16,15
V643,Moradores em domicílios particulares permanentes com moradia semi-adequada – Existe calçada,Residents in permanent private households with semi-adequate housing - Exist sidewalk,people,Entorno03_V422,housing,258,97
V644,Moradores em domicílios particulares permanentes com moradia semi-adequada – Não existe calçada,Residents in permanent private households with semi-adequate housing - There is no sidewalk,people,Entorno03_V422,housing,662,760
V645,Moradores em domicílios particulares permanentes com moradia inadequada – Existe calçada,Residents in permanent private households with inadequate housing - There is a sidewalk,people,Entorno03_V422,housing,0,0
V646,Moradores em domicílios particulares permanentes com moradia inadequada – Não existe calçada,Residents in permanent private households with inadequate housing - No sidewalk,people,Entorno03_V422,housing,5,26
V647,Moradores em domicílios particulares permanentes com moradia adequada – Existe meio-fio/guia,Residents in permanent private households with adequate housing - There is a curb / guide,people,Entorno03_V422,housing,32,3
V648,Moradores em domicílios particulares permanentes com moradia adequada – Não existe meio-fio/guia,Residents in permanent private households with adequate housing - No curb / guide,people,Entorno03_V422,housing,0,12
V649,Moradores em domicílios particulares permanentes com moradia semi-adequada – Existe meio-fio/guia,Residents in permanent private households with semi-adequate housing - There is a curb / guide,people,Entorno03_V422,housing,839,293
V650,Moradores em domicílios particulares permanentes com moradia semi-adequada – Não existe meio-fio/guia,Residents in permanent private households with semi-adequate housing - No curb / guide,people,Entorno03_V422,housing,81,564
V651,Moradores em domicílios particulares permanentes com moradia inadequada – Existe meio-fio/guia,Residents in permanent private households with inadequate housing - There is a curb / guide,people,Entorno03_V422,housing,0,0
V652,Moradores em domicílios particulares permanentes com moradia inadequada – Não existe meio-fio/guia,Residents in permanent private households with inadequate housing - No curb / guide,people,Entorno03_V422,housing,5,26
V653,Moradores em domicílios particulares permanentes com moradia adequada – Existe bueiro/boca-de-lobo,Residents in permanent private dwellings with adequate housing - There is manhole / mouth-of-wolf,people,Entorno03_V422,housing,15,0
V654,Moradores em domicílios particulares permanentes com moradia adequada – Não existe bueiro/boca-de-lobo,Residents in permanent private dwellings with adequate housing - There is no manhole / mouth-of-wolf,people,Entorno03_V422,housing,17,15
V655,Moradores em domicílios particulares permanentes com moradia semi-adequada – Existe bueiro/boca-de-lobo,Residents in permanent private dwellings with semi-adequate housing - There is manhole / mouth-of-wolf,people,Entorno03_V422,housing,419,0
V656,Moradores em domicílios particulares permanentes com moradia semi-adequada – Não existe bueiro/boca-de-lobo,Residents in permanent private dwellings with semi-adequate housing - There is no manhole / mouth-of-wolf,people,Entorno03_V422,housing,501,857
V657,Moradores em domicílios particulares permanentes com moradia inadequada – Existe bueiro/boca-de-lobo,Residents in permanent private dwellings with inadequate housing - There is manhole / mouth-of-wolf,people,Entorno03_V422,housing,0,0
V658,Moradores em domicílios particulares permanentes com moradia inadequada – Não existe bueiro/boca-de-lobo,Residents in permanent private dwellings with inadequate housing - There is no manhole / mouth-of-wolf,people,Entorno03_V422,housing,5,26
V659,Moradores em domicílios particulares permanentes com moradia adequada – Existe rampa para cadeirante,Residents in permanent private households with adequate housing - There is a wheelchair ramp,people,Entorno03_V422,housing,0,0
V660,Moradores em domicílios particulares permanentes com moradia adequada – Não existe rampa para cadeirante,Residents in permanent private households with adequate housing - There is no wheelchair ramp,people,Entorno03_V422,housing,32,15
V661,Moradores em domicílios particulares permanentes com moradia semi-adequada – Existe rampa para cadeirante,Residents in permanent private households with semi-adequate housing - There is a ramp for wheelchair users,people,Entorno03_V422,housing,46,0
V662,Moradores em domicílios particulares permanentes com moradia semi-adequada – Não existe rampa para cadeirante,Residents in permanent private households with semi-adequate housing - There is no wheelchair ramp,people,Entorno03_V422,housing,874,857
V663,Moradores em domicílios particulares permanentes com moradia inadequada – Existe rampa para cadeirante,Residents in permanent private homes with inadequate housing - There is a wheelchair ramp,people,Entorno03_V422,housing,0,0
V664,Moradores em domicílios particulares permanentes com moradia inadequada – Não existe rampa para cadeirante,Residents in permanent private households with inadequate housing - No wheelchair ramp,people,Entorno03_V422,housing,5,26
V665,Moradores em domicílios particulares permanentes com moradia adequada – Existe arborização,Residents in permanent private households with adequate housing - There is afforestation,people,Entorno03_V422,housing,11,0
V666,Moradores em domicílios particulares permanentes com moradia adequada – Não existe arborização,Residents in permanent private households with adequate housing - There is no afforestation,people,Entorno03_V422,housing,21,15
V667,Moradores em domicílios particulares permanentes com moradia semi-adequada – Existe arborização,Residents in permanent private households with semi-adequate housing - There is afforestation,people,Entorno03_V422,housing,376,97
V668,Moradores em domicílios particulares permanentes com moradia semi-adequada – Não existe arborização,Residents in permanent private dwellings with semi-adequate housing - There is no afforestation,people,Entorno03_V422,housing,544,760
V669,Moradores em domicílios particulares permanentes com moradia inadequada – Existe arborização,Residents in permanent private households with inadequate housing - There is afforestation,people,Entorno03_V422,housing,0,0
V670,Moradores em domicílios particulares permanentes com moradia inadequada – Não existe arborização,Residents in permanent private households with inadequate housing - There is no afforestation,people,Entorno03_V422,housing,5,26
V671,Moradores em domicílios particulares permanentes com moradia adequada – Existe esgoto a céu aberto,Residents in permanent private households with adequate housing - There is open sewage,people,Entorno03_V422,housing,4,0
V672,Moradores em domicílios particulares permanentes com moradia adequada – Não existe esgoto a céu aberto,Residents in permanent private households with adequate housing - No open sewage,people,Entorno03_V422,housing,28,15
V673,Moradores em domicílios particulares permanentes com moradia semi-adequada – Existe esgoto a céu aberto,Residents in permanent private households with semi-adequate housing - There is open sewage,people,Entorno03_V422,housing,45,0
V674,Moradores em domicílios particulares permanentes com moradia semi-adequada – Não existe esgoto a céu aberto,Residents in permanent private households with semi-adequate housing - No open sewage,people,Entorno03_V422,housing,875,857
V675,Moradores em domicílios particulares permanentes com moradia inadequada – Existe esgoto a céu aberto,Residents in permanent private households with inadequate housing - There is open sewage,people,Entorno03_V422,housing,0,0
V676,Moradores em domicílios particulares permanentes com moradia inadequada – Não existe esgoto a céu aberto,Residents in permanent private households with inadequate housing - No open sewage,people,Entorno03_V422,housing,5,26
V677,Moradores em domicílios particulares permanentes com moradia adequada – Existe lixo acumulado nos logradouros,Residents in permanent private households with adequate housing - There is accumulated garbage in the streets,people,Entorno03_V422,housing,0,0
V678,Moradores em domicílios particulares permanentes com moradia adequada – Não existe lixo acumulado nos logradouros,Residents in permanent private households with adequate housing - There is no accumulated garbage in the streets,people,Entorno03_V422,housing,32,15
V679,Moradores em domicílios particulares permanentes com moradia semi-adequada – Existe lixo acumulado nos logradouros,Residents in permanent private households with semi-adequate housing - There is accumulated garbage in the streets,people,Entorno03_V422,housing,0,0
V680,Moradores em domicílios particulares permanentes com moradia semi-adequada – Não existe lixo acumulado nos logradouros,Residents in permanent private households with semi-adequate housing - There is no accumulated garbage in the streets,people,Entorno03_V422,housing,920,857
V681,Moradores em domicílios particulares permanentes com moradia inadequada – Existe lixo acumulado nos logradouros,Residents in permanent private households with inadequate housing - There is accumulated garbage in the streets,people,Entorno03_V422,housing,0,0
V682,Moradores em domicílios particulares permanentes com moradia inadequada – Não existe lixo acumulado nos logradouros,Residents in permanent private households with inadequate housing - There is no accumulated garbage in the streets,people,Entorno03_V422,housing,5,26
V683,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita até 1/4 do SM – Existe identificação do logradouro,Residents in permanent private households with nominal monthly household income per capita up to 1/4 of the SM - There is identification of the place,people,Entorno03_V422,household|income,61,109
V684,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita até 1/4 do SM – Não existe identificação do logradouro,Residents in permanent private households with nominal monthly household income per capita up to 1/4 of SM - No street identification,people,Entorno03_V422,household|income,72,86
V685,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/4 a 1/2 SM – Existe identificação do logradouro,Residents in permanent private households with nominal monthly household income per capita of more than 1/4 to 1/2 SM - There is an identification of the place,people,Entorno03_V422,household|income,161,179
V686,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/4 a 1/2 SM – Não existe identificação do logradouro,Residents in permanent private homes with nominal monthly household income per capita of more than 1/4 to 1/2 SM - No street identification,people,Entorno03_V422,household|income,72,107
V687,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/2 a 1 SM – Existe identificação do logradouro,Residents in permanent private homes with a nominal monthly household income per capita of more than 1/2 to 1 SM - There is an identification of the place,people,Entorno03_V422,household|income,194,154
V688,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/2 a 1 SM – Não existe identificação do logradouro,Residents in permanent private homes with nominal household per capita monthly income of more than 1/2 to 1 SM - No street identification,people,Entorno03_V422,household|income,88,115
V689,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1 a 2 SM – Existe identificação do logradouro,Residents in permanent private households with nominal monthly household income per capita of more than 1 to 2 SM - There is identification of the place,people,Entorno03_V422,household|income,105,43
V690,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1 a 2 SM – Não existe identificação do logradouro,Residents in permanent private households with nominal household per capita income of more than 1 to 2 SM - No street identification,people,Entorno03_V422,household|income,55,26
V691,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 2 SM – Existe identificação do logradouro,Residents in permanent private homes with nominal monthly household income per capita of more than 2 SM - There is identification of the public place,people,Entorno03_V422,household|income,69,20
V692,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 2 SM – Não existe identificação do logradouro,Residents in permanent private households with nominal monthly household income per capita of more than 2 SM - No street identification,people,Entorno03_V422,household|income,50,14
V693,Moradores em domicílios particulares permanentes sem rendimento nominal mensal domiciliar per capita - Existe identificação do logradouro,Residents in permanent private households with no monthly nominal household income per capita - There is identification of the public place,people,Entorno03_V422,household|income,19,33
V694,Moradores em domicílios particulares permanentes sem rendimento nominal mensal domiciliar per capita – Não existe identificação do logradouro,Residents in permanent private households with no monthly nominal household income per capita - No street identification,people,Entorno03_V422,household|income,11,12
V695,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita até 1/4 do SM – Existe iluminação pública,Residents in permanent private homes with nominal monthly household income per capita up to 1/4 of SM - Public lighting,people,Entorno03_V422,household|income,133,195
V696,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita até 1/4 do SM – Não existe iluminação pública,Residents in permanent private homes with nominal monthly household income per capita up to 1/4 of SM - No public lighting,people,Entorno03_V422,household|income,0,0
V697,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/4 a 1/2 SM – Existe iluminação pública,Residents in permanent private households with nominal monthly household income per capita of more than 1/4 to 1/2 SM - Public lighting,people,Entorno03_V422,household|income,233,273
V698,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/4 a 1/2 SM – Não existe iluminação pública,Residents in permanent private households with nominal monthly household income per capita of more than 1/4 to 1/2 SM - No public lighting,people,Entorno03_V422,household|income,0,13
V699,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/2 a 1 SM – Existe iluminação pública,Residents in permanent private households with nominal monthly household income per capita of more than 1/2 to 1 SM - Public lighting,people,Entorno03_V422,household|income,282,254
V700,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/2 a 1 SM – Não existe iluminação pública,Residents in permanent private dwellings with nominal monthly household income per capita of more than 1/2 to 1 SM - No public lighting,people,Entorno03_V422,household|income,0,15
V701,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1 a 2 SM – Existe iluminação pública,Residents in permanent private homes with nominal monthly household income per capita of more than 1 to 2 SM - Public lighting,people,Entorno03_V422,household|income,160,52
V702,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1 a 2 SM – Não existe iluminação pública,Residents in permanent private households with nominal household monthly income per capita of more than 1 to 2 SM - No public lighting,people,Entorno03_V422,household|income,0,17
V703,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 2 SM – Existe iluminação pública,Residents in permanent private homes with nominal monthly household income per capita of more than 2 SM - Public lighting,people,Entorno03_V422,household|income,119,34
V704,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 2 SM – Não existe iluminação pública,Residents in permanent private homes with nominal monthly household income per capita of more than 2 SM - No public lighting,people,Entorno03_V422,household|income,0,0
V705,Moradores em domicílios particulares permanentes sem rendimento nominal mensal domiciliar per capita - Existe iluminação pública,Residents in permanent private homes with no monthly nominal household income per capita - Public lighting,people,Entorno03_V422,household|income,30,42
V706,Moradores em domicílios particulares permanentes sem rendimento nominal mensal domiciliar per capita – Não existe iluminação pública,Residents in permanent private households with no monthly nominal household income per capita - No public lighting,people,Entorno03_V422,household|income,0,3
V707,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita até 1/4 do SM – Existe pavimentação,Residents in permanent private households with nominal monthly household income per capita up to 1/4 of SM - There is paving,people,Entorno03_V422,household|income,120,64
V708,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita até 1/4 do SM – Não existe pavimentação,Residents in permanent private households with monthly nominal household income per capita up to 1/4 of SM - There is no paving,people,Entorno03_V422,household|income,13,131
V709,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/4 a 1/2 SM – Existe pavimentação,Residents in permanent private households with nominal household per capita monthly income of more than 1/4 to 1/2 SM - Paving exists,people,Entorno03_V422,household|income,217,95
V710,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/4 a 1/2 SM – Não existe pavimentação,Residents in permanent private homes with nominal monthly household income per capita of more than 1/4 to 1/2 SM - There is no flooring,people,Entorno03_V422,household|income,16,191
V711,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/2 a 1 SM – Existe pavimentação,Residents in permanent private households with nominal monthly household income per capita of more than 1/2 to 1 SM - Paving exists,people,Entorno03_V422,household|income,279,110
V712,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/2 a 1 SM – Não existe pavimentação,Residents in permanent private households with nominal monthly household income per capita of more than 1/2 to 1 SM - There is no flooring,people,Entorno03_V422,household|income,3,159
V713,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1 a 2 SM – Existe pavimentação,Residents in permanent private households with nominal monthly household income per capita of more than 1 to 2 SM - Paving exists,people,Entorno03_V422,household|income,156,27
V714,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1 a 2 SM – Não existe pavimentação,Residents in permanent private homes with nominal household per capita monthly income of more than 1 to 2 SM - There is no flooring,people,Entorno03_V422,household|income,4,42
V715,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 2 SM – Existe pavimentação,Residents in permanent private households with nominal household per capita income of more than 2 SM - Paving exists,people,Entorno03_V422,household|income,116,12
V716,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 2 SM – Não existe pavimentação,Residents in permanent private households with nominal monthly household income per capita of more than 2 SM - There is no flooring,people,Entorno03_V422,household|income,3,22
V717,Moradores em domicílios particulares permanentes sem rendimento nominal mensal domiciliar per capita - Existe pavimentação,Residents in permanent private households with no monthly nominal household income per capita - Paving exists,people,Entorno03_V422,household|income,24,12
V718,Moradores em domicílios particulares permanentes sem rendimento nominal mensal domiciliar per capita – Não existe pavimentação,Residents in permanent private households with no monthly nominal household income per capita - There is no flooring,people,Entorno03_V422,household|income,6,33
V719,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita até 1/4 do SM – Existe calçada,Residents in permanent private households with nominal monthly household income per capita up to 1/4 of SM - There is a sidewalk,people,Entorno03_V422,household|income,48,10
V720,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita até 1/4 do SM – Não existe calçada,Residents in permanent private homes with nominal monthly household income per capita up to 1/4 of SM - No sidewalk,people,Entorno03_V422,household|income,85,185
V721,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/4 a 1/2 SM – Existe calçada,Residents in permanent private homes with a nominal monthly household income per capita of more than 1/4 to 1/2 SM - Exist sidewalk,people,Entorno03_V422,household|income,50,28
V722,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/4 a 1/2 SM – Não existe calçada,Residents in permanent private households with nominal monthly household income per capita of more than 1/4 to 1/2 SM - There is no sidewalk,people,Entorno03_V422,household|income,183,258
V723,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/2 a 1 SM – Existe calçada,Residents in permanent private households with nominal household per capita monthly income of more than 1/2 to 1 SM - Exist sidewalk,people,Entorno03_V422,household|income,105,46
V724,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/2 a 1 SM – Não existe calçada,Residents in permanent private households with nominal monthly household income per capita of more than 1/2 to 1 SM - There is no sidewalk,people,Entorno03_V422,household|income,177,223
V725,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1 a 2 SM – Existe calçada,Residents in permanent private households with nominal household income per capita of more than 1 to 2 SM - Exist sidewalk,people,Entorno03_V422,household|income,40,11
V726,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1 a 2 SM – Não existe calçada,Residents in permanent private homes with nominal household per capita monthly income of more than 1 to 2 SM - There is no sidewalk,people,Entorno03_V422,household|income,120,58
V727,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 2 SM – Existe calçada,Residents in permanent private households with nominal monthly household income per capita of more than 2 SM - Exist sidewalk,people,Entorno03_V422,household|income,18,2
V728,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 2 SM – Não existe calçada,Residents in permanent private households with nominal monthly household income per capita of more than 2 SM - There is no sidewalk,people,Entorno03_V422,household|income,101,32
V729,Moradores em domicílios particulares permanentes sem rendimento nominal mensal domiciliar per capita - Existe calçada,Residents in permanent private homes with no monthly nominal household income per capita - Exist sidewalk,people,Entorno03_V422,household|income,13,0
V730,Moradores em domicílios particulares permanentes sem rendimento nominal mensal domiciliar per capita – Não existe calçada,Residents in permanent private households with no nominal household income per capita - There is no sidewalk,people,Entorno03_V422,household|income,17,45
V731,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita até 1/4 do SM – Existe meio-fio/guia,Residents in permanent private households with monthly nominal household income per capita up to 1/4 of the SM - There is a curb / guide,people,Entorno03_V422,household|income,104,58
V732,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita até 1/4 do SM – Não existe meio-fio/guia,Residents in permanent private households with nominal monthly household income per capita up to 1/4 of SM - No curb / guide,people,Entorno03_V422,household|income,29,137
V733,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/4 a 1/2 SM – Existe meio-fio/guia,Residents in permanent private homes with nominal household per capita monthly income of more than 1/4 to 1/2 SM - There is a curb / guide,people,Entorno03_V422,household|income,202,86
V734,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/4 a 1/2 SM – Não existe meio-fio/guia,Residents in permanent private homes with nominal household per capita monthly income of more than 1/4 to 1/2 SM - No curb / guide,people,Entorno03_V422,household|income,31,200
V735,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/2 a 1 SM – Existe meio-fio/guia,Residents in permanent private households with nominal household per capita monthly income of more than 1/2 to 1 SM - There is a curb / guide,people,Entorno03_V422,household|income,271,110
V736,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/2 a 1 SM – Não existe meio-fio/guia,Residents in permanent private households with nominal household per capita monthly income of more than 1/2 to 1 SM - No curb / guide,people,Entorno03_V422,household|income,11,159
V737,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1 a 2 SM – Existe meio-fio/guia,Residents in permanent private households with nominal monthly household income per capita of more than 1 to 2 SM - There is a curb / guide,people,Entorno03_V422,household|income,154,21
V738,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1 a 2 SM – Não existe meio-fio/guia,Residents in permanent private households with nominal household per capita monthly income of more than 1 to 2 SM - No curb / guide,people,Entorno03_V422,household|income,6,48
V739,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 2 SM – Existe meio-fio/guia,Residents in permanent private homes with nominal monthly household income per capita of more than 2 SM - There is a curb / guide,people,Entorno03_V422,household|income,116,12
V740,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 2 SM – Não existe meio-fio/guia,Residents in permanent private households with nominal monthly household income per capita of more than 2 SM - No curb / guide,people,Entorno03_V422,household|income,3,22
V741,Moradores em domicílios particulares permanentes sem rendimento nominal mensal domiciliar per capita - Existe meio-fio/guia,Residents in permanent private households with no monthly nominal household income per capita - There is a curb / guide,people,Entorno03_V422,household|income,24,9
V742,Moradores em domicílios particulares permanentes sem rendimento nominal mensal domiciliar per capita – Não existe meio-fio/guia,Residents in permanent private homes with no nominal household income per capita - No curb / guide,people,Entorno03_V422,household|income,6,36
V743,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita até 1/4 do SM – Existe bueiro/boca-de-lobo,Residents in permanent private homes with nominal household per capita monthly income up to 1/4 of SM - There is manhole / mouth-of-wolf,people,Entorno03_V422,household|income,55,0
V744,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita até 1/4 do SM – Não existe bueiro/boca-de-lobo,Residents in permanent private households with nominal household monthly income per capita up to 1/4 of SM - There is no manhole / mouth-of-wolf,people,Entorno03_V422,household|income,78,195
V745,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/4 a 1/2 SM – Existe bueiro/boca-de-lobo,Residents in permanent private households with a nominal household per capita monthly income of more than 1/4 to 1/2 SM - There is manhole / mouth-of-wolf,people,Entorno03_V422,household|income,96,0
V746,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/4 a 1/2 SM – Não existe bueiro/boca-de-lobo,Residents in permanent private households with nominal household per capita monthly income of more than 1/4 to 1/2 SM - There is no manhole / mouth-of-wolf,people,Entorno03_V422,household|income,137,286
V747,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/2 a 1 SM – Existe bueiro/boca-de-lobo,Residents in permanent private households with nominal household monthly income per capita of more than 1/2 to 1 SM - There is manhole / mouth-of-wolf,people,Entorno03_V422,household|income,135,0
V748,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1/2 a 1 SM – Não existe bueiro/boca-de-lobo,Residents in permanent private households with nominal household per capita monthly income of more than 1/2 to 1 SM - There is no manhole / mouth-of-wolf,people,Entorno03_V422,household|income,147,269
V749,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1 a 2 SM – Existe bueiro/boca-de-lobo,Residents in permanent private households with a nominal household income per capita of more than 1 to 2 SM - There is manhole / mouth-of-wolf,people,Entorno03_V422,household|income,64,0
V750,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 1 a 2 SM – Não existe bueiro/boca-de-lobo,Residents in permanent private households with nominal household per capita monthly income of more than 1 to 2 SM - There is no manhole / mouth-of-wolf,people,Entorno03_V422,household|income,96,69
V751,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 2 SM – Existe bueiro/boca-de-lobo,Residents in permanent private households with a nominal household income per capita of more than 2 SM - There is manhole / mouth-of-wolf,people,Entorno03_V422,household|income,70,0
V752,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita de mais de 2 SM – Não existe bueiro/boca-de-lobo,Residents in permanent private households with a nominal household income per capita of more than 2 SM - There is no manhole / mouth-of-wolf,people,Entorno03_V422,household|income,49,34
V753,Moradores em domicílios particulares permanentes sem rendimento nominal mensal domiciliar per capita - Existe bueiro/boca-de-lobo,Residents in permanent private households with no nominal household monthly income per capita - There is manhole / mouth-of-wolf,people,Entorno03_V422,household|income,14,0
