Nome da variável,Descrição da variável,Variable description,unit,denominators,subsection,data_sample1,data_sample2
V016,Pessoas Residentes de 5 a 9 anos de idade e cor ou raça - indígena,Residents 5 to 9 years of age and color or race - indigenous,people,Pessoa03_V006,race_ethnicity,0,0
V017,Pessoas Residentes de 10 a 14 anos de idade e cor ou raça – branca,Residents 10 to 14 years of age and color or race - white,people,Pessoa03_V002,race_ethnicity,30,43
V018,Pessoas Residentes de 10 a 14 anos de idade e cor ou raça – preta,Residents 10 to 14 years of age and color or race - black,people,Pessoa03_V003,race_ethnicity,0,1
V019,Pessoas Residentes de 10 a 14 anos de idade e cor ou raça – amarela,Residents 10 to 14 years of age and color or race - yellow,people,Pessoa03_V004,race_ethnicity,2,3
V020,Pessoas Residentes de 10 a 14 anos de idade e cor ou raça – parda,Residents 10 to 14 years of age and color or race - brown,people,Pessoa03_V005,race_ethnicity,69,68
V021,Pessoas Residentes de 10 a 14 anos de idade e cor ou raça - indígena,Residents 10 to 14 years of age and color or race - indigenous,people,Pessoa03_V006,race_ethnicity,0,0
V022,Pessoas Residentes de15 a 19 anos de idade e cor ou raça – branca,Residents 15 to 19 years of age and color or race - white,people,Pessoa03_V002,race_ethnicity,25,37
V023,Pessoas Residentes de15 a 19 anos de idade e cor ou raça – preta,Residents 15 to 19 years old and color or race - black,people,Pessoa03_V003,race_ethnicity,2,4
V024,Pessoas Residentes de15 a 19 anos de idade e cor ou raça – amarela,People Residents 15 to 19 years of age and color or race - yellow,people,Pessoa03_V004,race_ethnicity,2,1
V025,Pessoas Residentes de15 a 19 anos de idade e cor ou raça – parda,People Residents 15 to 19 years of age and color or race - brown,people,Pessoa03_V005,race_ethnicity,61,52
V026,Pessoas Residentes de15 a 19 anos de idade e cor ou raça - indígena,Residents 15 to 19 years of age and color or race - indigenous,people,Pessoa03_V006,race_ethnicity,0,0
V027,Pessoas Residentes de 15 a 17 anos de idade e cor ou raça – branca,Residents 15 to 17 years of age and color or race - white,people,Pessoa03_V022,race_ethnicity,18,22
V028,Pessoas Residentes de 15 a 17 anos de idade e cor ou raça – preta,Residents 15 to 17 years of age and color or race - black,people,Pessoa03_V023,race_ethnicity,2,3
V029,Pessoas Residentes de 15 a 17 anos de idade e cor ou raça – amarela,Residents 15 to 17 years of age and color or race - yellow,people,Pessoa03_V024,race_ethnicity,1,1
V030,Pessoas Residentes de 15 a 17 anos de idade e cor ou raça – parda,Residents 15 to 17 years of age and color or race - brown,people,Pessoa03_V025,race_ethnicity,38,32
V031,Pessoas Residentes de 15 a 17 anos de idade e cor ou raça - indígena,Residents 15 to 17 years of age and color or race - indigenous,people,Pessoa03_V026,race_ethnicity,0,0
V032,Pessoas Residentes de 18 ou 19 anos de idade e cor ou raça – branca,Residents 18 and 19 years old and color or race - white,people,Pessoa03_V022,race_ethnicity,7,15
V033,Pessoas Residentes de 18 ou 19 anos de idade e cor ou raça – preta,Residents 18 and 19 years of age and color or race - black,people,Pessoa03_V023,race_ethnicity,0,1
V034,Pessoas Residentes de 18 ou 19 anos de idade e cor ou raça – amarela,Residents 18 and 19 years of age and color or race - yellow,people,Pessoa03_V024,race_ethnicity,1,0
V035,Pessoas Residentes de 18 ou 19 anos de idade e cor ou raça – parda,Residents 18 and 19 years of age and color or race - brown,people,Pessoa03_V025,race_ethnicity,23,20
V036,Pessoas Residentes de 18 ou 19 anos de idade e cor ou raça - indígena,Residents 18 and 19 years of age and color or race - indigenous,people,Pessoa03_V026,race_ethnicity,0,0
V037,Pessoas Residentes de 20 a 24 anos de idade e cor ou raça - branca,Residents 20-24 years of age and color or race - white,people,Pessoa03_V002,race_ethnicity,27,37
V038,Pessoas Residentes de 20 a 24 anos de idade e cor ou raça - preta,Residents 20 to 24 years of age and color or race - black,people,Pessoa03_V003,race_ethnicity,2,6
V039,Pessoas Residentes de 20 a 24 anos de idade e cor ou raça - amarela,Residents 20 to 24 years of age and color or race - yellow,people,Pessoa03_V004,race_ethnicity,4,1
V040,Pessoas Residentes de 20 a 24 anos de idade e cor ou raça - parda,Residents 20 to 24 years of age and color or race - brown,people,Pessoa03_V005,race_ethnicity,50,41
V041,Pessoas Residentes de 20 a 24 anos de idade e cor ou raça - indígena,Residents 20 to 24 years of age and color or race - indigenous,people,Pessoa03_V006,race_ethnicity,0,0
V042,Pessoas Residentes de 25 a 29 anos de idade e cor ou raça – branca,Residents aged 25-29 years and color or race - white,people,Pessoa03_V002,race_ethnicity,32,26
V043,Pessoas Residentes de 25 a 29 anos de idade e cor ou raça – preta,Residents 25-29 years of age and color or race - black,people,Pessoa03_V003,race_ethnicity,2,6
V044,Pessoas Residentes de 25 a 29 anos de idade e cor ou raça – amarela,Resident People 25-29 years and color or race - yellow,people,Pessoa03_V004,race_ethnicity,1,2
V045,Pessoas Residentes de 25 a 29 anos de idade e cor ou raça – parda,Resident People 25 to 29 years of age and color or race - brown,people,Pessoa03_V005,race_ethnicity,60,51
V046,Pessoas Residentes de 25 a 29 anos de idade e cor ou raça - indígena,Residents 25-29 years of age and color or race - indigenous,people,Pessoa03_V006,race_ethnicity,0,0
V047,Pessoas Residentes de 30 a 34 anos de idade e cor ou raça – branca,Resident Persons 30 to 34 years of age and color or race - white,people,Pessoa03_V002,race_ethnicity,23,36
V048,Pessoas Residentes de 30 a 34 anos de idade e cor ou raça – preta,Residents 30 to 34 years of age and color or race - black,people,Pessoa03_V003,race_ethnicity,1,6
V049,Pessoas Residentes de 30 a 34 anos de idade e cor ou raça – amarela,Resident People 30 to 34 years of age and color or race - yellow,people,Pessoa03_V004,race_ethnicity,0,0
V050,Pessoas Residentes de 30 a 34 anos de idade e cor ou raça – parda,Resident People 30 to 34 years of age and color or race - brown,people,Pessoa03_V005,race_ethnicity,45,40
V051,Pessoas Residentes de 30 a 34 anos de idade e cor ou raça - indígena,Residents 30 to 34 years of age and color or race - indigenous,people,Pessoa03_V006,race_ethnicity,0,0
V052,Pessoas Residentes de 35 a 39 anos de idade e cor ou raça - branca,Residents 35-39 years of age and color or race - white,people,Pessoa03_V002,race_ethnicity,24,25
V053,Pessoas Residentes de 35 a 39 anos de idade e cor ou raça – preta,Residents 35-39 years of age and color or race - black,people,Pessoa03_V003,race_ethnicity,2,3
V054,Pessoas Residentes de 35 a 39 anos de idade e cor ou raça – amarela,Resident Persons aged 35 to 39 years and color or race - yellow,people,Pessoa03_V004,race_ethnicity,0,0
V055,Pessoas Residentes de 35 a 39 anos de idade e cor ou raça – parda,Resident Persons 35 to 39 years of age and color or race - brown,people,Pessoa03_V005,race_ethnicity,50,34
V056,Pessoas Residentes de 35 a 39 anos de idade e cor ou raça - indígena,Residents 35-39 years of age and color or race - indigenous,people,Pessoa03_V006,race_ethnicity,0,0
V057,Pessoas Residentes de 40 a 44 anos de idade e cor ou raça – branca,Residents 40-44 years of age and color or race - white,people,Pessoa03_V002,race_ethnicity,19,10
V058,Pessoas Residentes de 40 a 44 anos de idade e cor ou raça – preta,Residents 40-44 years of age and color or race - black,people,Pessoa03_V003,race_ethnicity,1,6
V059,Pessoas Residentes de 40 a 44 anos de idade e cor ou raça – amarela,Residents 40-44 years of age and color or race - yellow,people,Pessoa03_V004,race_ethnicity,0,1
V060,Pessoas Residentes de 40 a 44 anos de idade e cor ou raça – parda,Residents 40-44 years of age and color or race - brown,people,Pessoa03_V005,race_ethnicity,32,26
V061,Pessoas Residentes de 40 a 44 anos de idade e cor ou raça - indígena,Residents 40-44 years of age and color or race - indigenous,people,Pessoa03_V006,race_ethnicity,0,0
V062,Pessoas Residentes de 45 a 49 anos de idade e cor ou raça – branca,Resident Persons 45 to 49 years of age and color or race - white,people,Pessoa03_V002,race_ethnicity,14,10
V063,Pessoas Residentes de 45 a 49 anos de idade e cor ou raça – preta,Residents aged 45 to 49 years and color or race - black,people,Pessoa03_V003,race_ethnicity,5,4
V064,Pessoas Residentes de 45 a 49 anos de idade e cor ou raça – amarela,Residents aged 45 to 49 years and color or race - yellow,people,Pessoa03_V004,race_ethnicity,1,0
V065,Pessoas Residentes de 45 a 49 anos de idade e cor ou raça – parda,Resident Persons 45 to 49 years of age and color or race - brown,people,Pessoa03_V005,race_ethnicity,31,16
V066,Pessoas Residentes de 45 a 49 anos de idade e cor ou raça – indígena,Residents 45 to 49 years of age and color or race - indigenous,people,Pessoa03_V006,race_ethnicity,0,0
V067,Pessoas Residentes de 50 a 54 anos de idade e cor ou raça – branca,Residents 50-54 years of age and color or race - white,people,Pessoa03_V002,race_ethnicity,20,10
V068,Pessoas Residentes de 50 a 54 anos de idade e cor ou raça – preta,Residents 50-54 years of age and color or race - black,people,Pessoa03_V003,race_ethnicity,1,1
V069,Pessoas Residentes de 50 a 54 anos de idade e cor ou raça – amarela,Residents 50-54 years of age and color or race - yellow,people,Pessoa03_V004,race_ethnicity,2,0
V070,Pessoas Residentes de 50 a 54 anos de idade e cor ou raça – parda,Resident People 50-54 years old and color or race - brown,people,Pessoa03_V005,race_ethnicity,27,7
V071,Pessoas Residentes de 50 a 54 anos de idade e cor ou raça - indígena,Residents 50-54 years of age and color or race - indigenous,people,Pessoa03_V006,race_ethnicity,0,0
V072,Pessoas Residentes de 55 a 59 anos de idade e cor ou raça – branca,Residents 55-59 years of age and color or race - white,people,Pessoa03_V002,race_ethnicity,21,12
V073,Pessoas Residentes de 55 a 59 anos de idade e cor ou raça – preta,Residents 55-59 years of age and color or race - black,people,Pessoa03_V003,race_ethnicity,3,1
V074,Pessoas Residentes de 55 a 59 anos de idade e cor ou raça – amarela,Residents 55-59 years of age and color or race - yellow,people,Pessoa03_V004,race_ethnicity,0,0
V075,Pessoas Residentes de 55 a 59 anos de idade e cor ou raça – parda,Residents 55-59 years of age and color or race - brown,people,Pessoa03_V005,race_ethnicity,22,12
V076,Pessoas Residentes de 55 a 59 anos de idade e cor ou raça - indígena,Residents 55-59 years of age and color or race - indigenous,people,Pessoa03_V006,race_ethnicity,0,0
V077,Pessoas Residentes de 60 a 69 anos de idade e cor ou raça – branca,Residents 60-69 years of age and color or race - white,people,Pessoa03_V002,race_ethnicity,22,9
V078,Pessoas Residentes de 60 a 69 anos de idade e cor ou raça – preta,Residents 60-69 years of age and color or race - black,people,Pessoa03_V003,race_ethnicity,5,1
V079,Pessoas Residentes de 60 a 69 anos de idade e cor ou raça – amarela,Residents 60-69 years of age and color or race - yellow,people,Pessoa03_V004,race_ethnicity,0,0
V080,Pessoas Residentes de 60 a 69 anos de idade e cor ou raça – parda,Residents 60-69 years of age and color or race - brown,people,Pessoa03_V005,race_ethnicity,25,21
V081,Pessoas Residentes de 60 a 69 anos de idade e cor ou raça - indígena,Residents 60-69 years of age and color or race - indigenous,people,Pessoa03_V006,race_ethnicity,0,0
V082,Pessoas Residentes de 70 anos ou mais de idade e cor ou raça – branca,Residents 70 years of age and older and color or race - white,people,Pessoa03_V002,race_ethnicity,8,7
V083,Pessoas Residentes de 70 anos ou mais de idade e cor ou raça – preta,Residents 70 years of age or older and color or race - black,people,Pessoa03_V003,race_ethnicity,3,3
V084,Pessoas Residentes de 70 anos ou mais de idade e cor ou raça – amarela,Residents 70 years of age and older and color or race - yellow,people,Pessoa03_V004,race_ethnicity,1,0
V085,Pessoas Residentes de 70 anos ou mais de idade e cor ou raça – parda,People Residents 70 years of age and older and color or race - brown,people,Pessoa03_V005,race_ethnicity,17,20
V086,Pessoas Residentes de 70 anos ou mais de idade e cor ou raça - indígena,Residents 70 years of age or older and color or race - indigenous,people,Pessoa03_V006,race_ethnicity,0,0
V087,"Pessoas de 5 ou 6 anos de idade, do sexo masculino e cor ou raça - branca","Persons 5 or 6 years old, male and color or race - white",people,Pessoa03_V001,race_ethnicity|age_gender,15,5
V088,"Pessoas de 5 ou 6 anos de idade, do sexo masculino e cor ou raça - preta","Persons of 5 or 6 years of age, male and color or race - black",people,Pessoa03_V001,race_ethnicity|age_gender,0,1
V089,"Pessoas de 5 ou 6 anos de idade, do sexo masculino e cor ou raça - amarela","Persons 5 or 6 years of age, male and color or race - yellow",people,Pessoa03_V001,race_ethnicity|age_gender,0,0
V090,"Pessoas de 5 ou 6 anos de idade, do sexo masculino e cor ou raça - parda","Persons 5 and 6 years old, male and color or race - brown",people,Pessoa03_V001,race_ethnicity|age_gender,8,15
V091,"Pessoas de 5 ou 6 anos de idade, do sexo masculino e cor ou raça - indígena","Persons 5 or 6 years of age, male and color or race - indigenous",people,Pessoa03_V001,race_ethnicity|age_gender,0,0
V092,"Pessoas de 7 a 9 anos de idade, do sexo masculino e cor ou raça - branca","People 7 to 9 years old, male and color or race - white",people,Pessoa03_V001,race_ethnicity|age_gender,8,10
V093,"Pessoas de 7 a 9 anos de idade, do sexo masculino e cor ou raça - preta","Persons 7 to 9 years of age, male and color or race - black",people,Pessoa03_V001,race_ethnicity|age_gender,0,0
V094,"Pessoas de 7  a 9 anos de idade, do sexo masculino e cor ou raça - amarela","Persons 7 to 9 years of age, male and color or race - yellow",people,Pessoa03_V001,race_ethnicity|age_gender,0,0
V095,"Pessoas de 7  a 9 anos de idade, do sexo masculino e cor ou raça - parda","Persons 7 to 9 years old, male and color or race - brown",people,Pessoa03_V001,race_ethnicity|age_gender,16,18
V096,"Pessoas de 7  a 9 anos de idade, do sexo masculino e cor ou raça - indígena","Persons 7 to 9 years of age, male and color or race - indigenous",people,Pessoa03_V001,race_ethnicity|age_gender,0,0
V097,"Pessoas de 10 a 14 anos de idade, do sexo masculino e cor ou raça – branca","Persons 10 to 14 years of age, male and color or race - white",people,Pessoa03_V001,race_ethnicity|age_gender,9,21
V098,"Pessoas de 10 a 14 anos de idade, do sexo masculino e cor ou raça – preta","Persons 10 to 14 years of age, male and color or race - black",people,Pessoa03_V001,race_ethnicity|age_gender,0,1
V099,"Pessoas de 10 a 14 anos de idade, do sexo masculino e cor ou raça – amarela","Persons 10 to 14 years of age, male and color or race - yellow",people,Pessoa03_V001,race_ethnicity|age_gender,1,1
V100,"Pessoas de 10 a 14 anos de idade, do sexo masculino e cor ou raça – parda","Persons 10 to 14 years of age, male and color or race - brown",people,Pessoa03_V001,race_ethnicity|age_gender,30,43
V101,"Pessoas de 10 a 14 anos de idade, do sexo masculino e cor ou raça - indígena","Persons 10 to 14 years of age, male and color or race - indigenous",people,Pessoa03_V001,race_ethnicity|age_gender,0,0
V102,"Pessoas de 15 a 19 anos de idade, do sexo masculino e cor ou raça – branca","Persons 15 to 19 years of age, male and color or race - white",people,Pessoa03_V001,race_ethnicity|age_gender,10,15
V103,"Pessoas de 15 a 19 anos de idade, do sexo masculino e cor ou raça – preta","Persons 15 to 19 years of age, male and color or race - black",people,Pessoa03_V001,race_ethnicity|age_gender,1,1
V104,"Pessoas de 15 a 19 anos de idade, do sexo masculino e cor ou raça – amarela","Persons 15 to 19 years of age, male and color or race - yellow",people,Pessoa03_V001,race_ethnicity|age_gender,1,0
V105,"Pessoas de 15 a 19 anos de idade, do sexo masculino e cor ou raça – parda","Persons 15 to 19 years old, male and color or race - brown",people,Pessoa03_V001,race_ethnicity|age_gender,29,26
V106,"Pessoas de 15 a 19 anos de idade, do sexo masculino e cor ou raça - indígena","Persons 15 to 19 years of age, male and color or race - indigenous",people,Pessoa03_V001,race_ethnicity|age_gender,0,0
V107,"Pessoas de 15 a 17 anos de idade, do sexo masculino e cor ou raça – branca","Persons 15 to 17 years old, male and color or race - white",people,Pessoa03_V102,race_ethnicity|age_gender,8,8
V108,"Pessoas de 15 a 17 anos de idade, do sexo masculino e cor ou raça – preta","Persons 15 to 17 years of age, male and color or race - black",people,Pessoa03_V103,race_ethnicity|age_gender,1,1
V109,"Pessoas de 15 a 17 anos de idade, do sexo masculino e cor ou raça – amarela","Persons 15 to 17 years of age, male and color or race - yellow",people,Pessoa03_V104,race_ethnicity|age_gender,1,0
V110,"Pessoas de 15 a 17 anos de idade, do sexo masculino e cor ou raça – parda","Persons 15 to 17 years old, male and color or race - brown",people,Pessoa03_V105,race_ethnicity|age_gender,16,19
V111,"Pessoas de 15 a 17 anos de idade, do sexo masculino e cor ou raça - indígena","Persons 15 to 17 years of age, male and color or race - indigenous",people,Pessoa03_V106,race_ethnicity|age_gender,0,0
V112,"Pessoas de 18 ou 19 anos de idade, do sexo masculino e cor ou raça – branca","Persons 18 or 19 years old, male and color or race - white",people,Pessoa03_V102,race_ethnicity|age_gender,2,7
V113,"Pessoas de 18 ou 19 anos de idade, do sexo masculino e cor ou raça – preta","Persons 18 or 19 years of age, male and black or color",people,Pessoa03_V103,race_ethnicity|age_gender,0,0
V114,"Pessoas de 18 ou 19 anos de idade, do sexo masculino e cor ou raça – amarela","Persons 18 or 19 years old, male and color or race - yellow",people,Pessoa03_V104,race_ethnicity|age_gender,0,0
V115,"Pessoas de 18 ou 19 anos de idade, do sexo masculino e cor ou raça – parda","Persons 18 and 19 years old, male and color or race - brown",people,Pessoa03_V105,race_ethnicity|age_gender,13,7
V116,"Pessoas de 18 ou 19 anos de idade, do sexo masculino e cor ou raça - indígena","Persons 18 or 19 years of age, male and color or race - indigenous",people,Pessoa03_V106,race_ethnicity|age_gender,0,0
V117,"Pessoas de 20 a 24 anos de idade, do sexo masculino e cor ou raça - branca","Persons 20 to 24 years of age, male and color or race - white",people,Pessoa03_V001,race_ethnicity|age_gender,13,23
V118,"Pessoas de 20 a 24 anos de idade, do sexo masculino e cor ou raça - preta","Persons 20 to 24 years of age, male and color or race - black",people,Pessoa03_V001,race_ethnicity|age_gender,2,4
V119,"Pessoas de 20 a 24 anos de idade, do sexo masculino e cor ou raça - amarela","Persons 20 to 24 years of age, male and color or race - yellow",people,Pessoa03_V001,race_ethnicity|age_gender,1,0
V120,"Pessoas de 20 a 24 anos de idade, do sexo masculino e cor ou raça - parda","Persons 20 to 24 years of age, male and color or race - brown",people,Pessoa03_V001,race_ethnicity|age_gender,29,19
V121,"Pessoas de 20 a 24 anos de idade, do sexo masculino e cor ou raça - indígena","Persons 20 to 24 years of age, male and color or race - indigenous",people,Pessoa03_V001,race_ethnicity|age_gender,0,0
V122,"Pessoas de 25 a 29 anos de idade, do sexo masculino e cor ou raça – branca","Persons 25 to 29 years of age, male and color or race - white",people,Pessoa03_V001,race_ethnicity|age_gender,11,16
V123,"Pessoas de 25 a 29 anos de idade, do sexo masculino e cor ou raça – preta","Persons 25 to 29 years of age, male and color or race - black",people,Pessoa03_V001,race_ethnicity|age_gender,0,3
V124,"Pessoas de 25 a 29 anos de idade, do sexo masculino e cor ou raça – amarela","Persons 25 to 29 years of age, male and color or race - yellow",people,Pessoa03_V001,race_ethnicity|age_gender,0,1
V125,"Pessoas de 25 a 29 anos de idade, do sexo masculino e cor ou raça – parda","Persons 25 to 29 years old, male and color or race - brown",people,Pessoa03_V001,race_ethnicity|age_gender,30,20
V126,"Pessoas de 25 a 29 anos de idade, do sexo masculino e cor ou raça - indígena","Persons 25 to 29 years of age, male and color or race - indigenous",people,Pessoa03_V001,race_ethnicity|age_gender,0,0
V127,"Pessoas de 30 a 34 anos de idade, do sexo masculino e cor ou raça – branca","Persons 30 to 34 years of age, male and color or race - white",people,Pessoa03_V001,race_ethnicity|age_gender,9,14
V128,"Pessoas de 30 a 34 anos de idade, do sexo masculino e cor ou raça – preta","Persons 30 to 34 years of age, male and color or race - black",people,Pessoa03_V001,race_ethnicity|age_gender,0,3
V129,"Pessoas de 30 a 34 anos de idade, do sexo masculino e cor ou raça – amarela","Persons 30 to 34 years of age, male and color or race - yellow",people,Pessoa03_V001,race_ethnicity|age_gender,0,0
V130,"Pessoas de 30 a 34 anos de idade, do sexo masculino e cor ou raça – parda","Persons 30 to 34 years old, male and color or race - brown",people,Pessoa03_V001,race_ethnicity|age_gender,18,16
V131,"Pessoas de 30 a 34 anos de idade, do sexo masculino e cor ou raça - indígena","Persons 30 to 34 years of age, male and color or race - indigenous",people,Pessoa03_V001,race_ethnicity|age_gender,0,0
V132,"Pessoas de 35 a 39 anos de idade, do sexo masculino e cor ou raça - branca","Persons 35 to 39 years of age, male and color or race - white",people,Pessoa03_V001,race_ethnicity|age_gender,9,13
V133,"Pessoas de 35 a 39 anos de idade, do sexo masculino e cor ou raça – preta","Persons 35 to 39 years of age, male and color or race - black",people,Pessoa03_V001,race_ethnicity|age_gender,0,1
V134,"Pessoas de 35 a 39 anos de idade, do sexo masculino e cor ou raça – amarela","Persons 35 to 39 years of age, male and color or race - yellow",people,Pessoa03_V001,race_ethnicity|age_gender,0,0
V135,"Pessoas de 35 a 39 anos de idade, do sexo masculino e cor ou raça – parda","Persons 35 to 39 years old, male and color or race - brown",people,Pessoa03_V001,race_ethnicity|age_gender,25,18
V136,"Pessoas de 35 a 39 anos de idade, do sexo masculino e cor ou raça - indígena","Persons aged 35 to 39 years, male and color or race - indigenous",people,Pessoa03_V001,race_ethnicity|age_gender,0,0
V137,"Pessoas de 40 a 44 anos de idade, do sexo masculino e cor ou raça – branca","Persons 40-44 years of age, male and color or race - white",people,Pessoa03_V001,race_ethnicity|age_gender,8,4
V138,"Pessoas de 40 a 44 anos de idade, do sexo masculino e cor ou raça – preta","Persons 40 to 44 years of age, male and color or race - black",people,Pessoa03_V001,race_ethnicity|age_gender,1,5
V139,"Pessoas de 40 a 44 anos de idade, do sexo masculino e cor ou raça – amarela","Persons 40 to 44 years of age, male and color or race - yellow",people,Pessoa03_V001,race_ethnicity|age_gender,0,0
V140,"Pessoas de 40 a 44 anos de idade, do sexo masculino e cor ou raça – parda","Persons 40 to 44 years of age, male and color or race - brown",people,Pessoa03_V001,race_ethnicity|age_gender,16,15
V141,"Pessoas de 40 a 44 anos de idade, do sexo masculino e cor ou raça - indígena","Persons 40-44 years of age, male and color or race - indigenous",people,Pessoa03_V001,race_ethnicity|age_gender,0,0
V142,"Pessoas de 45 a 49 anos de idade, do sexo masculino e cor ou raça – branca","Persons 45 to 49 years of age, male and color or race - white",people,Pessoa03_V001,race_ethnicity|age_gender,7,6
V143,"Pessoas de 45 a 49 anos de idade, do sexo masculino e cor ou raça – preta","Persons 45 to 49 years of age, male and color or race - black",people,Pessoa03_V001,race_ethnicity|age_gender,3,3
V144,"Pessoas de 45 a 49 anos de idade, do sexo masculino e cor ou raça – amarela","Persons 45-49 years of age, male and color or race - yellow",people,Pessoa03_V001,race_ethnicity|age_gender,0,0
V145,"Pessoas de 45 a 49 anos de idade, do sexo masculino e cor ou raça – parda","Persons 45 to 49 years old, male and color or race - brown",people,Pessoa03_V001,race_ethnicity|age_gender,20,7
V146,"Pessoas de 45 a 49 anos de idade, do sexo masculino e cor ou raça – indígena","Persons between 45 and 49 years of age, male and color or race - indigenous",people,Pessoa03_V001,race_ethnicity|age_gender,0,0
V147,"Pessoas de 50 a 54 anos de idade, do sexo masculino e cor ou raça – branca","Persons 50-54 years of age, male and color or race - white",people,Pessoa03_V001,race_ethnicity|age_gender,14,4
V148,"Pessoas de 50 a 54 anos de idade, do sexo masculino e cor ou raça – preta","Persons 50-54 years old, male and color or race - black",people,Pessoa03_V001,race_ethnicity|age_gender,1,0
V149,"Pessoas de 50 a 54 anos de idade, do sexo masculino e cor ou raça – amarela","Persons 50 to 54 years of age, male and color or race - yellow",people,Pessoa03_V001,race_ethnicity|age_gender,2,0
V150,"Pessoas de 50 a 54 anos de idade, do sexo masculino e cor ou raça – parda","Persons 50-54 years old, male and color or race - brown",people,Pessoa03_V001,race_ethnicity|age_gender,10,3
V151,"Pessoas de 50 a 54 anos de idade, do sexo masculino e cor ou raça - indígena","Persons 50-54 years of age, male and color or race - indigenous",people,Pessoa03_V001,race_ethnicity|age_gender,0,0
V152,"Pessoas de 55 a 59 anos de idade, do sexo masculino e cor ou raça – branca","Persons 55-59 years of age, male and color or race - white",people,Pessoa03_V001,race_ethnicity|age_gender,10,5
V153,"Pessoas de 55 a 59 anos de idade, do sexo masculino e cor ou raça – preta","Persons 55-59 years old, male and color or race - black",people,Pessoa03_V001,race_ethnicity|age_gender,2,1
V154,"Pessoas de 55 a 59 anos de idade, do sexo masculino e cor ou raça – amarela","Persons 55-59 years of age, male and color or race - yellow",people,Pessoa03_V001,race_ethnicity|age_gender,0,0
V155,"Pessoas de 55 a 59 anos de idade, do sexo masculino e cor ou raça – parda","Persons 55-59 years of age, male and color or race - brown",people,Pessoa03_V001,race_ethnicity|age_gender,14,4
V156,"Pessoas de 55 a 59 anos de idade, do sexo masculino e cor ou raça - indígena","Persons 55-59 years of age, male and color or race - indigenous",people,Pessoa03_V001,race_ethnicity|age_gender,0,0
V157,"Pessoas de 60 a 69 anos de idade, do sexo masculino e cor ou raça – branca","Persons 60-69 years of age, male and color or race - white",people,Pessoa03_V001,race_ethnicity|age_gender,11,3
V158,"Pessoas de 60 a 69 anos de idade, do sexo masculino e cor ou raça – preta","Persons 60 to 69 years of age, male and color or race - black",people,Pessoa03_V001,race_ethnicity|age_gender,3,1
V159,"Pessoas de 60 a 69 anos de idade, do sexo masculino e cor ou raça – amarela","Persons 60-69 years of age, male and color or race - yellow",people,Pessoa03_V001,race_ethnicity|age_gender,0,0
V160,"Pessoas de 60 a 69 anos de idade, do sexo masculino e cor ou raça – parda","Persons 60 to 69 years of age, male and color or race - brown",people,Pessoa03_V001,race_ethnicity|age_gender,16,13
V161,"Pessoas de 60 a 69 anos de idade, do sexo masculino e cor ou raça - indígena","Persons 60-69 years of age, male and color or race - indigenous",people,Pessoa03_V001,race_ethnicity|age_gender,0,0
