Nome da variável,Descrição da variável,Variable description,unit,denominators,subsection,data_sample1,data_sample2
V043,Moradores em domicílios particulares permanentes com energia elétrica de companhia distribuidora e com medidor comum a mais de um domicílio,Residents in permanent private households with electricity distribution company and with meter common to more than one household,housing_units,Domicilio02_V038,housing,29,35
V044,Moradores em domicílios particulares permanentes com energia elétrica de companhia distribuidora e sem medidor,Residents in permanent private households with electricity from distributing company and without meter,housing_units,Domicilio02_V038,housing,3,0
V045,Homens moradores em domicílios particulares e domicílios coletivos,Men living in private homes and collective households,housing_units,Domicilio02_V002,age_gender|housing,455,645
V046,Homens moradores em domicílios particulares permanentes,Men living in permanent private households,housing_units,Domicilio02_V045,age_gender|housing,455,645
V047,Homens moradores em domicílios particulares permanentes do tipo casa,Men living in private households,housing_units,Domicilio02_V046,age_gender|housing,449,638
V048,Homens moradores em domicílios particulares permanentes do tipo casa de vila ou em condomínio,Men living in private dwellings of the type of village house or condominium,housing_units,Domicilio02_V046,age_gender|housing,0,3
V049,Homens moradores em domicílios particulares permanentes do tipo apartamento,Men living in private dwellings of the apartment type,housing_units,Domicilio02_V046,age_gender|housing,6,4
V050,Homens moradores em domicílios particulares permanentes próprios e quitados,Men living in their own private households,housing_units,Domicilio02_V046,age_gender|housing,336,562
V051,Homens moradores em domicílios particulares permanentes próprios e em aquisição,Men living in private households own,housing_units,Domicilio02_V046,age_gender|housing,0,0
V052,Homens moradores em domicílios particulares permanentes alugados,Men living in private households permanently rented,housing_units,Domicilio02_V046,age_gender|housing,70,0
V053,Homens moradores em domicílios particulares permanentes cedidos por empregador,Men living in permanent private households provided by employer,housing_units,Domicilio02_V046,age_gender|housing,14,32
V054,Homens moradores em domicílios particulares permanentes cedidos de outra forma,Men living in permanent private households otherwise provided,housing_units,Domicilio02_V046,age_gender|housing,35,51
V055,"Homens moradores em domicílios particulares permanentes com outra condição de ocupação (não são próprios, alugados, nem cedidos)","Men living in permanent private households with other occupancy conditions (they are not owned, rented, or sold)",housing_units,Domicilio02_V046,age_gender|housing,0,0
V056,Homens moradores em domicílios particulares permanentes com abastecimento de água da rede geral,Men living in private permanent homes with water supply from the general network,housing_units,Domicilio02_V046,age_gender|housing,246,0
V057,Homens moradores em domicílios particulares permanentes com abastecimento de água de poço ou nascente na propriedade,Men living in private permanent homes with water supply from well or spring on the property,housing_units,Domicilio02_V046,age_gender|housing,196,462
V058,Homens moradores em domicílios particulares permanentes com abastecimento de água de chuva armazenada em cisterna,Men living in private permanent homes with rainwater supply stored in cistern,housing_units,Domicilio02_V046,age_gender|housing,0,0
V059,Homens moradores em domicílios particulares permanentes com outra forma de abastecimento de água,Men living in permanent private households with another form of water supply,housing_units,Domicilio02_V046,age_gender|housing,13,183
V060,Homens moradores em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores ou sanitário,Men living in private permanent homes with bathrooms exclusively for residents or sanitary,housing_units,Domicilio02_V046,age_gender|housing,455,301
V061,Homens moradores em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores ou sanitário e esgotamento sanitário via rede geral de esgoto ou pluvial,Male residents in permanent private households with bathrooms exclusively for residents or sanitary and sewage via general sewage or rainwater network,housing_units,Domicilio02_V060,age_gender|housing,4,0
V062,Homens moradores em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores ou sanitário e esgotamento sanitário via fossa séptica,Male residents in permanent private households with bathrooms exclusively for residents or sanitary and sewage via septic tank,housing_units,Domicilio02_V060,age_gender|housing,4,91
V063,Homens moradores em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores ou sanitário e esgotamento sanitário via fossa rudimentar,Men living in private permanent homes with bathrooms for the exclusive use of the residents or sanitary and sanitary sewage via the rudimentary fossa,housing_units,Domicilio02_V060,age_gender|housing,415,15
V064,Homens moradores em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores ou sanitário e esgotamento sanitário via vala,Male residents in permanent private households with bathrooms exclusively for residents or sanitary and sanitary sewage via ditch,housing_units,Domicilio02_V060,age_gender|housing,3,185
V065,"Homens moradores em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores ou sanitário e esgotamento sanitário via rio, lago ou mar","Men living in private permanent homes with bathrooms for the exclusive use of residents or sanitary and sanitary sewage via river, lake or sea",housing_units,Domicilio02_V060,age_gender|housing,0,4
V066,Homens moradores em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores ou sanitário e esgotamento sanitário via outro escoadouro,Male residents in permanent private households with bathrooms for the exclusive use of the residents or sanitary and sewage through another sewer,housing_units,Domicilio02_V060,age_gender|housing,29,6
V067,Homens moradores em domicílios particulares permanentes sem banheiro de uso exclusivo dos moradores e nem sanitário,Men living in private permanent households without a bathroom for the exclusive use of the residents and neither sanitary,housing_units,Domicilio02_V046,age_gender|housing,0,344
V068,Homens moradores em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores,Men living in private permanent homes with bathrooms exclusively for residents,housing_units,Domicilio02_V045,age_gender|housing,427,105
V069,Homens moradores em domicílios particulares permanentes com 1 banheiro de uso exclusivo dos moradores,Men living in permanent private households with 1 bathroom exclusively for residents,housing_units,Domicilio02_V068,age_gender|housing,388,95
V070,Homens moradores em domicílios particulares permanentes com 2 banheiros de uso exclusivo dos moradores,Men living in private permanent homes with 2 bathrooms exclusively for residents,housing_units,Domicilio02_V068,age_gender|housing,33,6
V071,Homens moradores em domicílios particulares permanentes com 3 banheiros de uso exclusivo dos moradores,Men living in permanent private households with 3 bathrooms exclusively for residents,housing_units,Domicilio02_V068,age_gender|housing,1,4
V072,Homens moradores em domicílios particulares permanentes com 4 ou mais  banheiros de uso exclusivo dos moradores,Men living in permanent private households with 4 or more bathrooms exclusively for residents,housing_units,Domicilio02_V068,age_gender|housing,5,0
V073,Homens moradores em domicílios particulares permanentes sem banheiro de uso exclusivo dos moradores,Men living in private households without a bathroom for the exclusive use of residents,housing_units,Domicilio02_V045,age_gender|housing,28,540
V074,Homens moradores em domicílios particulares permanentes com lixo coletado,Men living in private households with garbage collected,housing_units,Domicilio02_V046,age_gender|housing,437,0
V075,Homens moradores em domicílios particulares permanentes com lixo coletado por serviço de limpeza,Men living in permanent private households with garbage collected by cleaning service,housing_units,Domicilio02_V074,age_gender|housing,437,0
V076,Homens moradores em domicílios particulares permanentes com lixo coletado em caçamba de serviço de limpeza,Male residents in permanent private households with garbage collected in a cleaning service bucket,housing_units,Domicilio02_V074,age_gender|housing,0,0
V077,Homens moradores em domicílios particulares permanentes com lixo queimado na propriedade,Men living in private households with burned garbage on the property,housing_units,Domicilio02_V046,age_gender|housing,18,539
V078,Homens moradores em domicílios particulares permanentes com lixo enterrado na propriedade,Men living in private households with rubbish buried in the property,housing_units,Domicilio02_V046,age_gender|housing,0,41
V079,Homens moradores em domicílios particulares permanentes com lixo jogado em terreno baldio ou logradouro,Men living in private households with garbage permanently dumped on wasteland or public land,housing_units,Domicilio02_V046,age_gender|housing,0,65
V080,"Homens moradores em domicílios particulares permanentes com lixo jogado em rio, lago ou mar","Men living in private permanent homes with garbage thrown in river, lake or sea",housing_units,Domicilio02_V046,age_gender|housing,0,0
V081,Homens moradores em domicílios particulares permanentes com outro destino do lixo,Men living in permanent private households with another garbage destination,housing_units,Domicilio02_V046,age_gender|housing,0,0
V082,Homens moradores em domicílios particulares permanentes com energia elétrica,Men living in private permanent households with electricity,housing_units,Domicilio02_V046,age_gender|housing,455,455
V083,Homens moradores em domicílios particulares permanentes com energia elétrica de companhia distribuidora,Men living in permanent private households with electricity from a distribution company,housing_units,Domicilio02_V082,age_gender|housing,455,455
V084,Homens moradores em domicílios particulares permanentes com energia elétrica de outras fontes,Men living in private permanent households with electricity from other sources,housing_units,Domicilio02_V082,age_gender|housing,0,0
V085,Homens moradores em domicílios particulares permanentes sem energia elétrica,Men living in private permanent households without electricity,housing_units,Domicilio02_V046,age_gender|housing,0,190
V086,Homens moradores em domicílios particulares permanentes com energia elétrica de companhia distribuidora e com medidor de uso exclusivo,Men living in permanent private households with electricity distribution company and with meter of exclusive use,housing_units,Domicilio02_V083,age_gender|housing,435,436
V087,Homens moradores em domicílios particulares permanentes com energia elétrica de companhia distribuidora e com medidor comum a mais de um domicílio,Men living in private permanent households with electricity from a distribution company and with a meter common to more than one household,housing_units,Domicilio02_V083,age_gender|housing,18,19
V088,Homens moradores em domicílios particulares permanentes com energia elétrica de companhia distribuidora e sem medidor,Men living in private permanent households with electricity from a distribution company and without a meter,housing_units,Domicilio02_V083,age_gender|housing,2,0
V089,Mulheres moradoras em domicílios particulares e domicílios coletivos,Women living in private homes and collective households,housing_units,Domicilio02_V002,age_gender|housing,459,508
V090,Mulheres moradoras em domicílios particulares permanentes,Women living in permanent private households,housing_units,Domicilio02_V089,age_gender|housing,459,508
V091,Mulheres moradoras em domicílios particulares permanentes do tipo casa,Women living in private households,housing_units,Domicilio02_V090,age_gender|housing,455,505
V092,Mulheres moradoras em domicílios particulares permanentes do tipo casa de vila ou em condomínio,"Women living in private dwellings, such as a village house or a condominium",housing_units,Domicilio02_V090,age_gender|housing,0,2
V093,Mulheres moradoras em domicílios particulares permanentes do tipo apartamento,Women living in private dwellings of the apartment type,housing_units,Domicilio02_V090,age_gender|housing,4,1
V094,Mulheres moradoras em domicílios particulares permanentes próprios e quitados,Women living in private homes permanently owned and removed,housing_units,Domicilio02_V090,age_gender|housing,352,443
V095,Mulheres moradoras em domicílios particulares permanentes próprios e em aquisição,Women living in private households own,housing_units,Domicilio02_V090,age_gender|housing,0,0
V096,Mulheres moradoras em domicílios particulares permanentes alugados,Women living in private households permanently rented,housing_units,Domicilio02_V090,age_gender|housing,65,0
V097,Mulheres moradoras em domicílios particulares permanentes cedidos por empregador,Women living in permanent private households provided by employer,housing_units,Domicilio02_V090,age_gender|housing,15,22
V098,Mulheres moradoras em domicílios particulares permanentes cedidos de outra forma,Women living in permanent private households otherwise provided,housing_units,Domicilio02_V090,age_gender|housing,27,43
V099,"Mulheres moradoras em domicílios particulares permanentes com outra condição de ocupação (não são próprios, alugados, nem cedidos)","Women living in permanent private households with other occupancy conditions (they are not owned, rented, or sold)",housing_units,Domicilio02_V090,age_gender|housing,0,0
V100,Mulheres moradoras em domicílios particulares permanentes com abastecimento de água da rede geral,Women living in permanent private households with water supply in the general network,housing_units,Domicilio02_V090,age_gender|housing,242,0
V101,Mulheres moradoras em domicílios particulares permanentes com abastecimento de água de poço ou nascente na propriedade,Women living in private permanent homes with water supply from well or spring on the property,housing_units,Domicilio02_V090,age_gender|housing,207,356
V102,Mulheres moradoras em domicílios particulares permanentes com abastecimento de água de chuva armazenada em cisterna,Women living in private dwellings with rainwater supply stored in cistern,housing_units,Domicilio02_V090,age_gender|housing,0,0
V103,Mulheres moradoras em domicílios particulares permanentes com outra forma de abastecimento de água,Women living in permanent private households with another form of water supply,housing_units,Domicilio02_V090,age_gender|housing,10,152
V104,Mulheres moradoras em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores ou sanitário,Women living in private permanent homes with bathrooms exclusively for residents or sanitary,housing_units,Domicilio02_V090,age_gender|housing,459,251
V105,Mulheres moradoras em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores ou sanitário e esgotamento sanitário via rede geral de esgoto ou pluvial,Women living in permanent private households with bathrooms for the exclusive use of residents or sanitary and sanitary sewage via general sewage or rainwater network,housing_units,Domicilio02_V104,age_gender|housing,2,0
V106,Mulheres moradoras em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores ou sanitário e esgotamento sanitário via fossa séptica,Women living in private permanent homes with bathrooms for the exclusive use of the residents or sanitary and sanitary sewage via the septic tank,housing_units,Domicilio02_V104,age_gender|housing,7,81
V107,Mulheres moradoras em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores ou sanitário e esgotamento sanitário via fossa rudimentar,Women living in permanent private households with bathrooms exclusively for the residents or sanitary and sanitary sewage via the rudimentary fossa,housing_units,Domicilio02_V104,age_gender|housing,410,8
V108,Mulheres moradoras em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores ou sanitário e esgotamento sanitário via vala,Women living in private permanent homes with bathrooms for the exclusive use of residents or sanitary and sanitary sewage via ditch,housing_units,Domicilio02_V104,age_gender|housing,4,159
V109,"Mulheres moradoras em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores ou sanitário e esgotamento sanitário via rio, lago ou mar","Women living in permanent private households with bathrooms exclusively for residents or sanitary and sanitary sewage via river, lake or sea",housing_units,Domicilio02_V104,age_gender|housing,0,1
V110,Mulheres moradoras em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores ou sanitário e esgotamento sanitário via outro escoadouro,Women living in permanent private households with bathrooms for the exclusive use of the residents or sanitary and sewage through another sewer,housing_units,Domicilio02_V104,age_gender|housing,36,2
V111,Mulheres moradoras em domicílios particulares permanentes sem banheiro de uso exclusivo dos moradores e nem sanitário,Women living in private households with no bathroom for the exclusive use of the residents and no sanitary,housing_units,Domicilio02_V090,age_gender|housing,0,257
V112,Mulheres moradoras em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores,Women living in private permanent homes with bathrooms exclusively for residents,housing_units,Domicilio02_V089,age_gender|housing,422,84
V113,Mulheres moradoras em domicílios particulares permanentes com 1 banheiro de uso exclusivo dos moradores,Women living in permanent private households with 1 bathroom exclusively for residents,housing_units,Domicilio02_V112,age_gender|housing,385,76
V114,Mulheres moradoras em domicílios particulares permanentes com 2 banheiros de uso exclusivo dos moradores,Women living in permanent private households with 2 bathrooms exclusively for residents,housing_units,Domicilio02_V112,age_gender|housing,32,6
V115,Mulheres moradoras em domicílios particulares permanentes com 3 banheiros de uso exclusivo dos moradores,Women living in private permanent homes with 3 bathrooms exclusively for residents,housing_units,Domicilio02_V112,age_gender|housing,2,2
V116,Mulheres moradoras em domicílios particulares permanentes com 4 ou mais banheiros de uso exclusivo dos moradores,Women living in private households with 4 or more bathrooms exclusively for residents,housing_units,Domicilio02_V112,age_gender|housing,3,0
V117,Mulheres moradoras em domicílios particulares permanentes sem banheiro de uso exclusivo dos moradores,Women living in private households with no bathroom exclusively for residents,housing_units,Domicilio02_V089,age_gender|housing,37,424
V118,Mulheres moradoras em domicílios particulares permanentes com lixo coletado,Women living in private households with garbage collected,housing_units,Domicilio02_V090,age_gender|housing,448,0
V119,Mulheres moradoras em domicílios particulares permanentes com lixo coletado por serviço de limpeza,Women living in permanent private households with garbage collected by cleaning service,housing_units,Domicilio02_V118,age_gender|housing,448,0
V120,Mulheres moradoras em domicílios particulares permanentes com lixo coletado em caçamba de serviço de limpeza,Women living in private households with garbage collected in a cleaning service bucket,housing_units,Domicilio02_V118,age_gender|housing,0,0
V121,Mulheres moradoras em domicílios particulares permanentes com lixo queimado na propriedade,Women living in private households with burned garbage on the property,housing_units,Domicilio02_V090,age_gender|housing,11,423
V122,Mulheres moradoras em domicílios particulares permanentes com lixo enterrado na propriedade,Women living in private households with rubbish buried in the property,housing_units,Domicilio02_V090,age_gender|housing,0,31
V123,Mulheres moradoras em domicílios particulares permanentes com lixo jogado em terreno baldio ou logradouro,Women living in private households with garbage permanently dumped on land or public land,housing_units,Domicilio02_V090,age_gender|housing,0,54
V124,"Mulheres moradoras em domicílios particulares permanentes com lixo jogado em rio, lago ou mar","Women living in private households with garbage strewn in river, lake or sea",housing_units,Domicilio02_V090,age_gender|housing,0,0
V125,Mulheres moradoras em domicílios particulares permanentes com outro destino do lixo,Women living in permanent private households with another garbage destination,housing_units,Domicilio02_V090,age_gender|housing,0,0
V126,Mulheres moradoras em domicílios particulares permanentes com energia elétrica,Women living in permanent private households with electricity,housing_units,Domicilio02_V090,age_gender|housing,459,367
V127,Mulheres moradoras em domicílios particulares permanentes com energia elétrica de companhia distribuidora,Women living in permanent private households with electricity from a distribution company,housing_units,Domicilio02_V126,age_gender|housing,459,367
V128,Mulheres moradoras em domicílios particulares permanentes com energia elétrica de outras fontes,Women living in private permanent households with electricity from other sources,housing_units,Domicilio02_V126,age_gender|housing,0,0
V129,Mulheres moradoras em domicílios particulares permanentes sem energia elétrica,Women living in private households without electricity,housing_units,Domicilio02_V090,age_gender|housing,0,141
V130,Mulheres moradoras em domicílios particulares permanentes com energia elétrica de companhia distribuidora  e com medidor de uso exclusivo,Women living in permanent private households with electricity distribution company and with meter of exclusive use,housing_units,Domicilio02_V127,age_gender|housing,447,351
V131,Mulheres moradoras em domicílios particulares permanentes com energia elétrica de companhia distribuidora e com medidor comum a mais de um domicílio,Women living in permanent private households with electricity from a distribution company and with a meter common to more than one household,housing_units,Domicilio02_V127,age_gender|housing,11,16
V132,Mulheres moradoras em domicílios particulares permanentes com energia elétrica de companhia distribuidora e sem medidor,Women living in permanent private households with electricity distribution company and without meter,housing_units,Domicilio02_V127,age_gender|housing,1,0
