NOME DA VARIÁVEL,DESCRIÇÃO DA VARIÁVEL,DESCRIPTION OF THE VARIABLE,unit,denominators,subsection,data_sample1,data_sample2
Cod_setor,Código do setor,Industry code,,,,120001305000001,120001305000012
Situação do setor,Código de situação do setor,Sector status code,,,,1,1
V876,Moradores em domicílios particulares permanentes de 15 a 59 anos de idade – Não existe pavimentação,Residents in permanent private homes from 15 to 59 years of age - No paving,people,Entorno03_V422,housing|age_gender,29,321
V877,Moradores em domicílios particulares permanentes de 60 anos ou mais de idade – Existe pavimentação,Residents in permanent private households 60 years of age or older - Paving exists,people,Entorno03_V422,housing|age_gender,81,20
V878,Moradores em domicílios particulares permanentes de 60 anos ou mais de idade – Não existe pavimentação,Residents in permanent private households 60 years of age or older - No flooring,people,Entorno03_V422,housing|age_gender,0,39
V879,Moradores em domicílios particulares permanentes com menos de 1 ano de idade – Existe calçada,Residents in permanent private households less than 1 year old - There is a sidewalk,people,Entorno03_V422,housing|age_gender,2,2
V880,Moradores em domicílios particulares permanentes com menos de 1 ano de idade – Não existe calçada,Residents in permanent private households under 1 year of age - No sidewalk,people,Entorno03_V422,housing|age_gender,6,17
V881,Moradores em domicílios particulares permanentes de 1 a 4 anos de idade – Existe calçada,Residents in permanent private households from 1 to 4 years old - There is a sidewalk,people,Entorno03_V422,housing|age_gender,12,9
V882,Moradores em domicílios particulares permanentes de 1 a 4 anos de idade – Não existe calçada,Residents in permanent private households from 1 to 4 years old - There is no sidewalk,people,Entorno03_V422,housing|age_gender,51,77
V883,Moradores em domicílios particulares permanentes de 5 a 9 anos de idade – Existe calçada,Residents in permanent private homes from 5 to 9 years old - There is a sidewalk,people,Entorno03_V422,housing|age_gender,28,7
V884,Moradores em domicílios particulares permanentes de 5 a 9 anos de idade – Não existe calçada,Residents in permanent private homes from 5 to 9 years of age - No sidewalk,people,Entorno03_V422,housing|age_gender,64,98
V885,Moradores em domicílios particulares permanentes de 10 a 14 anos de idade – Existe calçada,Residents in permanent private households from 10 to 14 years old - There is a sidewalk,people,Entorno03_V422,housing|age_gender,30,15
V886,Moradores em domicílios particulares permanentes de 10 a 14 anos de idade – Não existe calçada,Residents in permanent private households from 10 to 14 years of age - No sidewalk,people,Entorno03_V422,housing|age_gender,71,98
V887,Moradores em domicílios particulares permanentes de 15 a 59 anos de idade – Existe calçada,Residents in permanent private households from 15 to 59 years old - There is a sidewalk,people,Entorno03_V422,housing|age_gender,172,60
V888,Moradores em domicílios particulares permanentes de 15 a 59 anos de idade – Não existe calçada,Residents in permanent private households from 15 to 59 years of age - No sidewalk,people,Entorno03_V422,housing|age_gender,440,456
V889,Moradores em domicílios particulares permanentes de 60 anos ou mais de idade – Existe calçada,Residents in permanent private households 60 years of age or older - Exist sidewalk,people,Entorno03_V422,housing|age_gender,30,4
V890,Moradores em domicílios particulares permanentes de 60 anos ou mais de idade – Não existe calçada,Residents in permanent private households 60 years of age or older - No sidewalk,people,Entorno03_V422,housing|age_gender,51,55
V891,Moradores em domicílios particulares permanentes com menos de 1 ano de idade – Existe meio-fio/guia,Residents in permanent private households less than 1 year old - There is a curb / guide,people,Entorno03_V422,housing|age_gender,8,5
V892,Moradores em domicílios particulares permanentes com menos de 1 ano de idade – Não existe meio-fio/guia,Residents in permanent private households under 1 year of age - No curb / guide,people,Entorno03_V422,housing|age_gender,0,14
V893,Moradores em domicílios particulares permanentes de 1 a 4 anos de idade – Existe meio-fio/guia,Residents in permanent private households from 1 to 4 years old - There is a curb / guide,people,Entorno03_V422,housing|age_gender,60,22
V894,Moradores em domicílios particulares permanentes de 1 a 4 anos de idade – Não existe meio-fio/guia,Residents in permanent private households from 1 to 4 years old - No curb / guide,people,Entorno03_V422,housing|age_gender,3,64
V895,Moradores em domicílios particulares permanentes de 5 a 9 anos de idade – Existe meio-fio/guia,Residents in permanent private homes from 5 to 9 years old - There is a curb / guide,people,Entorno03_V422,housing|age_gender,80,37
V896,Moradores em domicílios particulares permanentes de 5 a 9 anos de idade – Não existe meio-fio/guia,Residents in permanent private households from 5 to 9 years of age - No curb / guide,people,Entorno03_V422,housing|age_gender,12,68
V897,Moradores em domicílios particulares permanentes de 10 a 14 anos de idade – Existe meio-fio/guia,Residents in permanent private households from 10 to 14 years old - There is a curb / guide,people,Entorno03_V422,housing|age_gender,90,35
V898,Moradores em domicílios particulares permanentes de 10 a 14 anos de idade – Não existe meio-fio/guia,Residents in permanent private households from 10 to 14 years of age - No curb / guide,people,Entorno03_V422,housing|age_gender,11,78
V899,Moradores em domicílios particulares permanentes de 15 a 59 anos de idade – Existe meio-fio/guia,Residents in permanent private homes from 15 to 59 years old - There is a curb / guide,people,Entorno03_V422,housing|age_gender,554,180
V900,Moradores em domicílios particulares permanentes de 15 a 59 anos de idade – Não existe meio-fio/guia,Residents in permanent private homes from 15 to 59 years of age - No curb / guide,people,Entorno03_V422,housing|age_gender,58,336
V901,Moradores em domicílios particulares permanentes de 60 anos ou mais de idade – Existe meio-fio/guia,Residents in permanent private households 60 years of age or older - There is a curb / guide,people,Entorno03_V422,housing|age_gender,79,17
V902,Moradores em domicílios particulares permanentes de 60 anos ou mais de idade – Não existe meio-fio/guia,Residents in permanent private households 60 years of age or older - No curb / guide,people,Entorno03_V422,housing|age_gender,2,42
V903,Moradores em domicílios particulares permanentes com menos de 1 ano de idade – Existe bueiro/boca-de-lobo,Residents in permanent private households less than 1 year old - There is manhole / mouth-of-wolf,people,Entorno03_V422,housing|age_gender,4,0
V904,Moradores em domicílios particulares permanentes com menos de 1 ano de idade – Não existe bueiro/boca-de-lobo,Residents in permanent private households under 1 year of age - There is no manhole / mouth-of-wolf,people,Entorno03_V422,housing|age_gender,4,19
V905,Moradores em domicílios particulares permanentes de 1 a 4 anos de idade – Existe bueiro/boca-de-lobo,Residents in permanent private households from 1 to 4 years old - There is manhole / mouth-of-wolf,people,Entorno03_V422,housing|age_gender,21,0
V906,Moradores em domicílios particulares permanentes de 1 a 4 anos de idade – Não existe bueiro/boca-de-lobo,Residents in permanent private households from 1 to 4 years of age - There is no manhole / mouth-of-wolf,people,Entorno03_V422,housing|age_gender,42,86
V907,Moradores em domicílios particulares permanentes de 5 a 9 anos de idade – Existe bueiro/boca-de-lobo,Residents in permanent private households from 5 to 9 years old - There is manhole / mouth-of-wolf,people,Entorno03_V422,housing|age_gender,32,0
V908,Moradores em domicílios particulares permanentes de 5 a 9 anos de idade – Não existe bueiro/boca-de-lobo,Residents in permanent private households from 5 to 9 years of age - There is no manhole / mouth-of-wolf,people,Entorno03_V422,housing|age_gender,60,105
V909,Moradores em domicílios particulares permanentes de 10 a 14 anos de idade – Existe bueiro/boca-de-lobo,Residents in permanent private households from 10 to 14 years old - There is manhole / mouth-of-wolf,people,Entorno03_V422,housing|age_gender,53,0
V910,Moradores em domicílios particulares permanentes de 10 a 14 anos de idade – Não existe bueiro/boca-de-lobo,Residents in permanent private dwellings from 10 to 14 years of age - There is no manhole / mouth-of-wolf,people,Entorno03_V422,housing|age_gender,48,113
V911,Moradores em domicílios particulares permanentes de 15 a 59 anos de idade – Existe bueiro/boca-de-lobo,Residents in permanent private homes from 15 to 59 years of age - There is manhole / mouth-of-wolf,people,Entorno03_V422,housing|age_gender,280,0
V912,Moradores em domicílios particulares permanentes de 15 a 59 anos de idade – Não existe bueiro/boca-de-lobo,Residents in permanent private households from 15 to 59 years of age - There is no manhole / mouth-of-wolf,people,Entorno03_V422,housing|age_gender,332,516
V913,Moradores em domicílios particulares permanentes de 60 anos ou mais de idade – Existe bueiro/boca-de-lobo,Residents in permanent private households 60 years of age or older - There is manhole / mouth-watering,people,Entorno03_V422,housing|age_gender,44,0
V914,Moradores em domicílios particulares permanentes de 60 anos ou mais de idade – Não existe bueiro/boca-de-lobo,Residents in permanent private households of 60 years of age or older - There is no manhole / mouth-of-wolf,people,Entorno03_V422,housing|age_gender,37,59
V915,Moradores em domicílios particulares permanentes com menos de 1 ano de idade – Existe rampa para cadeirante,Residents in permanent private households less than 1 year old - There is a wheelchair ramp,people,Entorno03_V422,housing|age_gender,0,0
V916,Moradores em domicílios particulares permanentes com menos de 1 ano de idade – Não existe rampa para cadeirante,Residents in permanent private households under 1 year of age - No wheelchair ramp,people,Entorno03_V422,housing|age_gender,8,19
V917,Moradores em domicílios particulares permanentes de 1 a 4 anos de idade – Existe rampa para cadeirante,Residents in permanent private households from 1 to 4 years old - There is a wheelchair ramp,people,Entorno03_V422,housing|age_gender,5,0
V918,Moradores em domicílios particulares permanentes de 1 a 4 anos de idade – Não existe rampa para cadeirante,Residents in permanent private households from 1 to 4 years old - There is no wheelchair ramp,people,Entorno03_V422,housing|age_gender,58,86
V919,Moradores em domicílios particulares permanentes de 5 a 9 anos de idade – Existe rampa para cadeirante,Residents in permanent private households from 5 to 9 years old - There is a wheelchair ramp,people,Entorno03_V422,housing|age_gender,6,0
V920,Moradores em domicílios particulares permanentes de 5 a 9 anos de idade – Não existe rampa para cadeirante,Residents in permanent private households from 5 to 9 years of age - There is no wheelchair ramp,people,Entorno03_V422,housing|age_gender,86,105
V921,Moradores em domicílios particulares permanentes de 10 a 14 anos de idade – Existe rampa para cadeirante,Residents in permanent private households from 10 to 14 years of age - There is a wheelchair ramp,people,Entorno03_V422,housing|age_gender,1,0
V922,Moradores em domicílios particulares permanentes de 10 a 14 anos de idade – Não existe rampa para cadeirante,Residents in permanent private households from 10 to 14 years of age - There is no wheelchair ramp,people,Entorno03_V422,housing|age_gender,100,113
V923,Moradores em domicílios particulares permanentes de 15 a 59 anos de idade – Existe rampa para cadeirante,Residents in permanent private households from 15 to 59 years of age - There is a wheelchair ramp,people,Entorno03_V422,housing|age_gender,33,0
V924,Moradores em domicílios particulares permanentes de 15 a 59 anos de idade – Não existe rampa para cadeirante,Residents in permanent private homes from 15 to 59 years of age - There is no wheelchair ramp,people,Entorno03_V422,housing|age_gender,579,516
V925,Moradores em domicílios particulares permanentes de 60 anos ou mais de idade – Existe rampa para cadeirante,Residents in permanent private households 60 years of age or older - There is a wheelchair ramp,people,Entorno03_V422,housing|age_gender,1,0
V926,Moradores em domicílios particulares permanentes de 60 anos ou mais de idade – Não existe rampa para cadeirante,Residents in permanent private households 60 years of age or older - No wheelchair ramp,people,Entorno03_V422,housing|age_gender,80,59
V927,Moradores em domicílios particulares permanentes com menos de 1 ano de idade – Existe arborização,Residents in permanent private households less than 1 year old - There is afforestation,people,Entorno03_V422,housing|age_gender,2,2
V928,Moradores em domicílios particulares permanentes com menos de 1 ano de idade – Não existe arborização,Residents in permanent private households under 1 year of age - There is no afforestation,people,Entorno03_V422,housing|age_gender,6,17
V929,Moradores em domicílios particulares permanentes de 1 a 4 anos de idade – Existe arborização,Residents in permanent private households from 1 to 4 years old - There is afforestation,people,Entorno03_V422,housing|age_gender,18,9
V930,Moradores em domicílios particulares permanentes de 1 a 4 anos de idade – Não existe arborização,Residents in permanent private households from 1 to 4 years old - There is no afforestation,people,Entorno03_V422,housing|age_gender,45,77
V931,Moradores em domicílios particulares permanentes de 5 a 9 anos de idade – Existe arborização,Residents in permanent private homes from 5 to 9 years old - There is afforestation,people,Entorno03_V422,housing|age_gender,33,7
V932,Moradores em domicílios particulares permanentes de 5 a 9 anos de idade – Não existe arborização,Residents in permanent private households from 5 to 9 years old - There is no afforestation,people,Entorno03_V422,housing|age_gender,59,98
V933,Moradores em domicílios particulares permanentes de 10 a 14 anos de idade – Existe arborização,Residents in permanent private households from 10 to 14 years of age - There is afforestation,people,Entorno03_V422,housing|age_gender,38,15
V934,Moradores em domicílios particulares permanentes de 10 a 14 anos de idade – Não existe arborização,Residents in permanent private households from 10 to 14 years of age - There is no afforestation,people,Entorno03_V422,housing|age_gender,63,98
V935,Moradores em domicílios particulares permanentes de 15 a 59 anos de idade – Existe arborização,Residents in permanent private households from 15 to 59 years of age - There is afforestation,people,Entorno03_V422,housing|age_gender,256,60
V936,Moradores em domicílios particulares permanentes de 15 a 59 anos de idade – Não existe arborização,Residents in permanent private households from 15 to 59 years of age - There is no afforestation,people,Entorno03_V422,housing|age_gender,356,456
V937,Moradores em domicílios particulares permanentes de 60 anos ou mais de idade – Existe arborização,Residents in permanent private households 60 years of age or older - There is afforestation,people,Entorno03_V422,housing|age_gender,40,4
V938,Moradores em domicílios particulares permanentes de 60 anos ou mais de idade – Não existe arborização,Residents in permanent private households 60 years of age or older - There is no afforestation,people,Entorno03_V422,housing|age_gender,41,55
V939,Moradores em domicílios particulares permanentes com menos de 1 ano de idade – Existe esgoto a céu aberto,Residents in permanent private households less than 1 year old - There is open sewage,people,Entorno03_V422,housing|age_gender,1,0
V940,Moradores em domicílios particulares permanentes com menos de 1 ano de idade – Não existe esgoto a céu aberto,Residents in permanent private households under 1 year of age - No open sewage,people,Entorno03_V422,housing|age_gender,7,19
V941,Moradores em domicílios particulares permanentes de 1 a 4 anos de idade – Existe esgoto a céu aberto,Residents in permanent private households from 1 to 4 years old - There is open sewage,people,Entorno03_V422,housing|age_gender,2,0
V942,Moradores em domicílios particulares permanentes de 1 a 4 anos de idade – Não existe esgoto a céu aberto,Residents in permanent private households from 1 to 4 years old - No open sewage,people,Entorno03_V422,housing|age_gender,61,86
V943,Moradores em domicílios particulares permanentes de 5 a 9 anos de idade – Existe esgoto a céu aberto,Residents in permanent private households from 5 to 9 years old - There is open sewage,people,Entorno03_V422,housing|age_gender,7,0
V944,Moradores em domicílios particulares permanentes de 5 a 9 anos de idade – Não existe esgoto a céu aberto,Residents in permanent private households from 5 to 9 years of age - No open sewage,people,Entorno03_V422,housing|age_gender,85,105
V945,Moradores em domicílios particulares permanentes de 10 a 14 anos de idade – Existe esgoto a céu aberto,Residents in permanent private households from 10 to 14 years old - There is open sewage,people,Entorno03_V422,housing|age_gender,9,0
V946,Moradores em domicílios particulares permanentes de 10 a 14 anos de idade – Não existe esgoto a céu aberto,Residents in permanent private households from 10 to 14 years of age - No open sewage,people,Entorno03_V422,housing|age_gender,92,113
V947,Moradores em domicílios particulares permanentes de 15 a 59 anos de idade – Existe esgoto a céu aberto,Residents in permanent private homes from 15 to 59 years old - There is open sewage,people,Entorno03_V422,housing|age_gender,28,0
V948,Moradores em domicílios particulares permanentes de 15 a 59 anos de idade – Não existe esgoto a céu aberto,Residents in permanent private households from 15 to 59 years of age - No open sewage,people,Entorno03_V422,housing|age_gender,584,516
V949,Moradores em domicílios particulares permanentes de 60 anos ou mais de idade – Existe esgoto a céu aberto,Residents in permanent private households 60 years of age or older - There is open sewage,people,Entorno03_V422,housing|age_gender,2,0
V950,Moradores em domicílios particulares permanentes de 60 anos ou mais de idade – Não existe esgoto a céu aberto,Residents in permanent private households 60 years of age or older - No open sewage,people,Entorno03_V422,housing|age_gender,79,59
V951,Moradores em domicílios particulares permanentes com menos de 1 ano de idade – Existe lixo acumulado nos logradouros,Residents in permanent private households with less than 1 year of age - There is accumulated garbage in the streets,people,Entorno03_V422,housing|age_gender,0,0
V952,Moradores em domicílios particulares permanentes com menos de 1 ano de idade – Não existe lixo acumulado nos logradouros,Residents in permanent private households with less than 1 year of age - There is no accumulated garbage in the public places,people,Entorno03_V422,housing|age_gender,8,19
V953,Moradores em domicílios particulares permanentes de 1 a 4 anos de idade – Existe lixo acumulado nos logradouros,Residents in permanent private households from 1 to 4 years old - There is accumulated garbage in the street,people,Entorno03_V422,housing|age_gender,0,0
V954,Moradores em domicílios particulares permanentes de 1 a 4 anos de idade – Não existe lixo acumulado nos logradouros,Residents in permanent private households from 1 to 4 years old - There is no accumulated garbage in the public places,people,Entorno03_V422,housing|age_gender,63,86
V955,Moradores em domicílios particulares permanentes de 5 a 9 anos de idade – Existe lixo acumulado nos logradouros,Residents in permanent private homes from 5 to 9 years old - There is accumulated garbage in the streets,people,Entorno03_V422,housing|age_gender,0,0
V956,Moradores em domicílios particulares permanentes de 5 a 9 anos de idade – Não existe lixo acumulado nos logradouros,Residents in permanent private homes from 5 to 9 years old - There is no accumulated garbage in the streets,people,Entorno03_V422,housing|age_gender,92,105
V957,Moradores em domicílios particulares permanentes de 10 a 14 anos de idade – Existe lixo acumulado nos logradouros,Residents in permanent private households from 10 to 14 years old - There is accumulated garbage in the public places,people,Entorno03_V422,housing|age_gender,0,0
V958,Moradores em domicílios particulares permanentes de 10 a 14 anos de idade – Não existe lixo acumulado nos logradouros,Residents in permanent private households from 10 to 14 years of age - There is no accumulated garbage in the street,people,Entorno03_V422,housing|age_gender,101,113
V959,Moradores em domicílios particulares permanentes de 15 a 59 anos de idade – Existe lixo acumulado nos logradouros,Residents in permanent private homes from 15 to 59 years of age - There is accumulated garbage in the streets,people,Entorno03_V422,housing|age_gender,0,0
V960,Moradores em domicílios particulares permanentes de 15 a 59 anos de idade – Não existe lixo acumulado nos logradouros,Residents in permanent private homes from 15 to 59 years of age - There is no accumulated garbage in the street,people,Entorno03_V422,housing|age_gender,612,516
V961,Moradores em domicílios particulares permanentes de 60 anos ou mais de idade – Existe lixo acumulado nos logradouros,Residents in permanent private households 60 years of age or older - There is accumulated garbage in the street,people,Entorno03_V422,housing|age_gender,0,0
V962,Moradores em domicílios particulares permanentes de 60 anos ou mais de idade – Não existe lixo acumulado nos logradouros,Residents in permanent private households 60 years of age or older - There is no accumulated garbage in the street,people,Entorno03_V422,housing|age_gender,81,59
V963,Moradores em domicílios particulares permanentes de cor ou raça branca – Existe identificação do logradouro,Residents in permanent private households of color or white race - There is identification of the public place,people,Entorno03_V422,housing|race_ethnicity,219,213
V964,Moradores em domicílios particulares permanentes de cor ou raça branca – Não existe identificação do logradouro,Residents in permanent private households of color or white race - No street identification,people,Entorno03_V422,housing|race_ethnicity,118,136
V965,Moradores em domicílios particulares permanentes de cor ou raça preta – Existe identificação do logradouro,Residents in permanent private households of color or black race - There is an identification of the public place,people,Entorno03_V422,housing|race_ethnicity,22,33
V966,Moradores em domicílios particulares permanentes de cor ou raça preta – Não existe identificação do logradouro,Residents in permanent private households of color or black race - No street identification,people,Entorno03_V422,housing|race_ethnicity,5,13
V967,Moradores em domicílios particulares permanentes de cor ou raça amarela – Existe identificação do logradouro,Residents in permanent private households of color or yellow race - There is identification of the public place,people,Entorno03_V422,housing|race_ethnicity,7,4
V968,Moradores em domicílios particulares permanentes de cor ou raça amarela – Não existe identificação do logradouro,Residents in permanent private households of color or yellow race - No street id,people,Entorno03_V422,housing|race_ethnicity,7,5
V969,Moradores em domicílios particulares permanentes de cor ou raça parda – Existe identificação do logradouro,Residents in permanent private households of color or brown breed - There is identification of the place,people,Entorno03_V422,housing|race_ethnicity,361,288
V970,Moradores em domicílios particulares permanentes de cor ou raça parda – Não existe identificação do logradouro,Residents in permanent private households of color or brown breed - No street identification,people,Entorno03_V422,housing|race_ethnicity,218,206
V971,Moradores em domicílios particulares permanentes de cor ou raça indígena – Existe identificação do logradouro,Residents in permanent private households of color or indigenous race - There is identification of the public place,people,Entorno03_V422,housing|race_ethnicity,0,0
V972,Moradores em domicílios particulares permanentes de cor ou raça indígena – Não existe identificação do logradouro,Residents in permanent private households of color or indigenous race - There is no identification of the public place,people,Entorno03_V422,housing|race_ethnicity,0,0
V973,Moradores em domicílios particulares permanentes de cor ou raça branca – Existe iluminação pública,Residents in permanent private households of color or white race - Public lighting,people,Entorno03_V422,housing|race_ethnicity,337,331
V974,Moradores em domicílios particulares permanentes de cor ou raça branca – Não existe iluminação pública,Residents in permanent private households of color or white race - No public lighting,people,Entorno03_V422,housing|race_ethnicity,0,18
V975,Moradores em domicílios particulares permanentes de cor ou raça preta – Existe iluminação pública,Residents in permanent private households of color or black race - Public lighting,people,Entorno03_V422,housing|race_ethnicity,27,46
V976,Moradores em domicílios particulares permanentes de cor ou raça preta – Não existe iluminação pública,Residents in permanent private households of color or black race - No public lighting,people,Entorno03_V422,housing|race_ethnicity,0,0
V977,Moradores em domicílios particulares permanentes de cor ou raça amarela – Existe iluminação pública,Residents in permanent private households of color or yellow race - Public lighting,people,Entorno03_V422,housing|race_ethnicity,14,7
V978,Moradores em domicílios particulares permanentes de cor ou raça amarela – Não existe iluminação pública,Residents in permanent private households of color or yellow race - No public lighting,people,Entorno03_V422,housing|race_ethnicity,0,2
V979,Moradores em domicílios particulares permanentes de cor ou raça parda – Existe iluminação pública,Residents in permanent private households of color or brown breed - Public lighting,people,Entorno03_V422,housing|race_ethnicity,579,466
V980,Moradores em domicílios particulares permanentes de cor ou raça parda – Não existe iluminação pública,Residents in permanent private households of color or brown breed - No public lighting,people,Entorno03_V422,housing|race_ethnicity,0,28
V981,Moradores em domicílios particulares permanentes de cor ou raça indígena – Existe iluminação pública,Residents in permanent private dwellings of color or indigenous race - There is public lighting,people,Entorno03_V422,housing|race_ethnicity,0,0
V982,Moradores em domicílios particulares permanentes de cor ou raça indígena – Não existe iluminação pública,Residents in permanent private households of color or indigenous race - No public lighting,people,Entorno03_V422,housing|race_ethnicity,0,0
V983,Moradores em domicílios particulares permanentes de cor ou raça branca – Existe pavimentação,Residents in permanent private households of color or white race - Paving exists,people,Entorno03_V422,housing|race_ethnicity,326,107
V984,Moradores em domicílios particulares permanentes de cor ou raça branca – Não existe pavimentação,Residents in permanent private households of color or white race - There is no flooring,people,Entorno03_V422,housing|race_ethnicity,11,242
V985,Moradores em domicílios particulares permanentes de cor ou raça preta – Existe pavimentação,Residents in permanent private households of color or black race - Paving exists,people,Entorno03_V422,housing|race_ethnicity,27,13
