NOME DA VARIÁVEL,DESCRIÇÃO DA VARIÁVEL,DESCRIPTION OF THE VARIABLE,unit,denominators,subsection,data_sample1,data_sample2
V028,Domicílios particulares permanentes alugados – Existe meio-fio/guia,Permanent Private Residence Housed - There is a curb / guide,housing_units,Entorno01_V001,housing,48,11
V029,Domicílios particulares permanentes alugados – Não existe meio-fio/guia,Permanent private households rented - No curb / guide,housing_units,Entorno01_V001,housing,5,22
V030,Domicílios particulares permanentes cedidos – Existe meio-fio/guia,Private permanent homes ceded - There is a curb / guide,housing_units,Entorno01_V001,housing,20,16
V031,Domicílios particulares permanentes cedidos – Não existe meio-fio/guia,Permanent private households assigned - There is no curb / guide,housing_units,Entorno01_V001,housing,1,30
V032,Domicílios particulares permanentes próprios – Existe bueiro/boca-de-lobo,Own permanent private homes - There is manhole / mouth-of-wolf,housing_units,Entorno01_V001,housing,102,5
V033,Domicílios particulares permanentes próprios – Não existe bueiro/boca-de-lobo,Private permanent private dwellings - There is no manhole / mouth-of-wolf,housing_units,Entorno01_V001,housing,106,172
V034,Domicílios particulares permanentes alugados – Existe bueiro/boca-de-lobo,Private permanent residence hired - There is manhole / mouth-of-wolf,housing_units,Entorno01_V001,housing,21,0
V035,Domicílios particulares permanentes alugados – Não existe bueiro/boca-de-lobo,Household permanent private households - There is no manhole / mouth-of-wolf,housing_units,Entorno01_V001,housing,32,33
V036,Domicílios particulares permanentes cedidos – Existe bueiro/boca-de-lobo,Permanent private dwellings ceded - There is a manhole / mouth-of-wolf,housing_units,Entorno01_V001,housing,6,0
V037,Domicílios particulares permanentes cedidos – Não existe bueiro/boca-de-lobo,Permanent private households ceded - There is no manhole / mouth-of-wolf,housing_units,Entorno01_V001,housing,15,46
V038,Domicílios particulares permanentes próprios – Existe rampa para cadeirante,Private permanent private homes - There is a wheelchair ramp,housing_units,Entorno01_V001,housing,8,33
V039,Domicílios particulares permanentes próprios – Não existe rampa para cadeirante,Private permanent private homes - There is no wheelchair ramp,housing_units,Entorno01_V001,housing,200,144
V040,Domicílios particulares permanentes alugados – Existe rampa para cadeirante,Private permanent residence hired - There is a wheelchair ramp,housing_units,Entorno01_V001,housing,3,4
V041,Domicílios particulares permanentes alugados – Não existe rampa para cadeirante,Private permanent residence hired - No wheelchair ramp,housing_units,Entorno01_V001,housing,50,29
V042,Domicílios particulares permanentes cedidos – Existe rampa para cadeirante,Permanent private homes ceded - There is a wheelchair ramp,housing_units,Entorno01_V001,housing,2,6
V043,Domicílios particulares permanentes cedidos – Não existe rampa para cadeirante,Private permanent homes ceded - There is no wheelchair ramp,housing_units,Entorno01_V001,housing,19,40
V044,Domicílios particulares permanentes próprios – Existe arborização,Particular private permanent homes - There is afforestation,housing_units,Entorno01_V001,housing,85,39
V045,Domicílios particulares permanentes próprios – Não existe arborização,Private permanent private homes - There is no afforestation,housing_units,Entorno01_V001,housing,123,138
V046,Domicílios particulares permanentes alugados – Existe arborização,Permanent private households rented - There is afforestation,housing_units,Entorno01_V001,housing,21,5
V047,Domicílios particulares permanentes alugados – Não existe arborização,Permanent private households rented - There is no afforestation,housing_units,Entorno01_V001,housing,32,28
V048,Domicílios particulares permanentes cedidos – Existe arborização,Permanent private households ceded - There is afforestation,housing_units,Entorno01_V001,housing,9,5
V049,Domicílios particulares permanentes cedidos – Não existe arborização,Permanent private households ceded - There is no afforestation,housing_units,Entorno01_V001,housing,12,41
V050,Domicílios particulares permanentes próprios – Existe esgoto a céu aberto,Private permanent private homes - There is open sewage,housing_units,Entorno01_V001,housing,11,58
V051,Domicílios particulares permanentes próprios – Não existe esgoto a céu aberto,Private permanent private homes - There is no open sewage,housing_units,Entorno01_V001,housing,197,119
V052,Domicílios particulares permanentes alugados – Existe esgoto a céu aberto,Permanent private households leased - There is open sewage,housing_units,Entorno01_V001,housing,1,17
V053,Domicílios particulares permanentes alugados – Não existe esgoto a céu aberto,Permanent private households rented - No open sewage,housing_units,Entorno01_V001,housing,52,16
V054,Domicílios particulares permanentes cedidos – Existe esgoto a céu aberto,Permanent private households ceded - There is open sewage,housing_units,Entorno01_V001,housing,1,20
V055,Domicílios particulares permanentes cedidos – Não existe esgoto a céu aberto,Permanent private households ceded - There is no open sewage,housing_units,Entorno01_V001,housing,20,26
V056,Domicílios particulares permanentes próprios – Existe lixo acumulado nos logradouros,Own permanent private homes - There is accumulated garbage in the,housing_units,Entorno01_V001,housing,0,0
V057,Domicílios particulares permanentes próprios – Não existe lixo acumulado nos logradouros,Own permanent private homes - There is no accumulated garbage in the,housing_units,Entorno01_V001,housing,208,177
V058,Domicílios particulares permanentes alugados – Existe lixo acumulado nos logradouros,Permanent private households rented - There is accumulated garbage in the streets,housing_units,Entorno01_V001,housing,0,0
V059,Domicílios particulares permanentes alugados – Não existe lixo acumulado nos logradouros,Permanent private households rented - There is no accumulated garbage in the streets,housing_units,Entorno01_V001,housing,53,33
V060,Domicílios particulares permanentes cedidos – Existe lixo acumulado nos logradouros,Permanent private households ceded - There is accumulated garbage in the streets,housing_units,Entorno01_V001,housing,0,0
V061,Domicílios particulares permanentes cedidos – Não existe lixo acumulado nos logradouros,Permanent private households ceded - There is no accumulated garbage in the streets,housing_units,Entorno01_V001,housing,21,46
V062,Domicílios particulares permanentes com rede geral de distribuição de água  – Existe identificação do logradouro,Permanent private households with general water distribution network - There is an identification of the public place,housing_units,Entorno01_V001,housing,92,201
V063,Domicílios particulares permanentes com rede geral de distribuição de água  – Não existe identificação do logradouro,Permanent private households with general water distribution network - No street identification,housing_units,Entorno01_V001,housing,43,12
V064,Domicílios particulares permanentes com poço ou nascente na propriedade – Existe identificação do logradouro,Permanent private dwellings with well or spring in the property - There is identification of the public place,housing_units,Entorno01_V001,housing,90,32
V065,Domicílios particulares permanentes com poço ou nascente na propriedade – Não existe identificação do logradouro,Permanent private dwellings with well or spring on the property - No street id,housing_units,Entorno01_V001,housing,57,2
V066,Domicílios particulares permanentes com rede geral de distribuição de água  – Existe iluminação pública,Permanent private households with a general water distribution network - Public lighting,housing_units,Entorno01_V001,housing,135,213
V067,Domicílios particulares permanentes com rede geral de distribuição de água  – Não existe iluminação pública,Permanent private households with general water distribution network - No public lighting,housing_units,Entorno01_V001,housing,0,0
V068,Domicílios particulares permanentes com poço ou nascente na propriedade – Existe iluminação pública,Permanent private dwellings with well or spring on the property - There is public lighting,housing_units,Entorno01_V001,housing,147,34
V069,Domicílios particulares permanentes com poço ou nascente na propriedade – Não existe iluminação pública,Permanent private dwellings with well or spring on the property - No public lighting,housing_units,Entorno01_V001,housing,0,0
V070,Domicílios particulares permanentes com rede geral de distribuição de água  – Existe pavimentação,Private permanent households with general water distribution network - Paving exists,housing_units,Entorno01_V001,housing,131,89
V071,Domicílios particulares permanentes com rede geral de distribuição de água  – Não existe pavimentação,Permanent private households with general water distribution network - No paving,housing_units,Entorno01_V001,housing,4,124
V072,Domicílios particulares permanentes com poço ou nascente na propriedade – Existe pavimentação,Permanent private dwellings with well or spring on the property - There is paving,housing_units,Entorno01_V001,housing,139,13
V073,Domicílios particulares permanentes com poço ou nascente na propriedade – Não existe pavimentação,Permanent private dwellings with well or spring on the property - There is no flooring,housing_units,Entorno01_V001,housing,8,21
V074,Domicílios particulares permanentes com rede geral de distribuição de água  – Existe calçada,Permanent private households with a general water distribution network - There is a sidewalk,housing_units,Entorno01_V001,housing,44,31
V075,Domicílios particulares permanentes com rede geral de distribuição de água  – Não existe calçada,Permanent private households with a general water distribution network - There is no sidewalk,housing_units,Entorno01_V001,housing,91,182
V076,Domicílios particulares permanentes com poço ou nascente na propriedade – Existe calçada,Permanent private dwellings with well or spring on the property - Exist sidewalk,housing_units,Entorno01_V001,housing,41,1
V077,Domicílios particulares permanentes com poço ou nascente na propriedade – Não existe calçada,Permanent private dwellings with well or spring on the property - There is no sidewalk,housing_units,Entorno01_V001,housing,106,33
V078,Domicílios particulares permanentes com rede geral de distribuição de água  – Existe meio-fio/guia,Permanent private households with a general water distribution network - There is a curb / guide,housing_units,Entorno01_V001,housing,127,91
V079,Domicílios particulares permanentes com rede geral de distribuição de água  – Não existe meio-fio/guia,Permanent private households with general water distribution network - No curb / guide,housing_units,Entorno01_V001,housing,8,122
V080,Domicílios particulares permanentes com poço ou nascente na propriedade – Existe meio-fio/guia,Permanent private dwellings with well or spring on the property - There is a curb / guide,housing_units,Entorno01_V001,housing,130,13
V081,Domicílios particulares permanentes com poço ou nascente na propriedade – Não existe meio-fio/guia,Permanent private dwellings with well or spring on the property - No curb / guide,housing_units,Entorno01_V001,housing,17,21
V082,Domicílios particulares permanentes com rede geral de distribuição de água  – Existe bueiro/boca-de-lobo,Private permanent households with a general water distribution network - There is a manhole / mouth-of-wolf,housing_units,Entorno01_V001,housing,56,4
V083,Domicílios particulares permanentes com rede geral de distribuição de água  – Não existe bueiro/boca-de-lobo,Permanent private households with a general water distribution network - There is no manhole / mouth-watering,housing_units,Entorno01_V001,housing,79,209
V084,Domicílios particulares permanentes com poço ou nascente na propriedade – Existe bueiro/boca-de-lobo,Permanent private dwellings with well or spring in the property - There is manhole / mouth-of-wolf,housing_units,Entorno01_V001,housing,73,1
V085,Domicílios particulares permanentes com poço ou nascente na propriedade – Não existe bueiro/boca-de-lobo,Permanent private dwellings with well or spring on the property - There is no manhole / mouth-of-wolf,housing_units,Entorno01_V001,housing,74,33
V086,Domicílios particulares permanentes com rede geral de distribuição de água  – Existe rampa para cadeirante,Permanent private households with general water distribution network - There is a wheelchair ramp,housing_units,Entorno01_V001,housing,12,41
V087,Domicílios particulares permanentes com rede geral de distribuição de água  – Não existe rampa para cadeirante,Permanent private households with general water distribution network - No wheelchair ramp,housing_units,Entorno01_V001,housing,123,172
V088,Domicílios particulares permanentes com poço ou nascente na propriedade – Existe rampa para cadeirante,Private permanent homes with well or spring on the property - There is a wheelchair ramp,housing_units,Entorno01_V001,housing,1,2
V089,Domicílios particulares permanentes com poço ou nascente na propriedade – Não existe rampa para cadeirante,Permanent private dwellings with well or spring on the property - There is no wheelchair ramp,housing_units,Entorno01_V001,housing,146,32
V090,Domicílios particulares permanentes com rede geral de distribuição de água  – Existe arborização,Permanent permanent households with general water distribution network - There is afforestation,housing_units,Entorno01_V001,housing,65,37
V091,Domicílios particulares permanentes com rede geral de distribuição de água  – Não existe arborização,Permanent private households with general water distribution network - There is no afforestation,housing_units,Entorno01_V001,housing,70,176
V092,Domicílios particulares permanentes com poço ou nascente na propriedade – Existe arborização,Permanent private households with well or spring on the property - There is afforestation,housing_units,Entorno01_V001,housing,50,11
V093,Domicílios particulares permanentes com poço ou nascente na propriedade – Não existe arborização,Permanent private dwellings with well or spring on the property - There is no afforestation,housing_units,Entorno01_V001,housing,97,23
V094,Domicílios particulares permanentes com rede geral de distribuição de água  – Existe esgoto a céu aberto,Permanent private households with a general water distribution network - Open sewage is available,housing_units,Entorno01_V001,housing,7,73
V095,Domicílios particulares permanentes com rede geral de distribuição de água  – Não existe esgoto a céu aberto,Private permanent households with general water distribution network - No open sewage,housing_units,Entorno01_V001,housing,128,140
V096,Domicílios particulares permanentes com poço ou nascente na propriedade – Existe esgoto a céu aberto,Permanent private dwellings with well or spring on the property - There is open sewage,housing_units,Entorno01_V001,housing,6,15
V097,Domicílios particulares permanentes com poço ou nascente na propriedade – Não existe esgoto a céu aberto,Permanent private dwellings with well or spring on the property - There is no open sewage,housing_units,Entorno01_V001,housing,141,19
V098,Domicílios particulares permanentes com rede geral de distribuição de água  – Existe lixo acumulado nos logradouros,Permanent private households with a general water distribution network - There is accumulated garbage in the,housing_units,Entorno01_V001,housing,0,0
V099,Domicílios particulares permanentes com rede geral de distribuição de água  – Não existe lixo acumulado nos logradouros,Permanent private households with a general water distribution network - There is no accumulated garbage in the public places,housing_units,Entorno01_V001,housing,135,213
V100,Domicílios particulares permanentes com poço ou nascente na propriedade – Existe lixo acumulado nos logradouros,Permanent private dwellings with well or spring on the property - There is accumulated garbage in the streets,housing_units,Entorno01_V001,housing,0,0
V101,Domicílios particulares permanentes com poço ou nascente na propriedade – Não existe lixo acumulado nos logradouros,Permanent private dwellings with well or spring on the property - There is no accumulated garbage in the street,housing_units,Entorno01_V001,housing,147,34
V102,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário da rede geral de esgoto ou rede pluvial – Existe identificação do logradouro,Permanent private households with bathrooms or sanitary facilities and sanitary sewage from the general sewage network or rainwater network - There is an identification of the public place,housing_units,Entorno01_V001,housing,5,24
V103,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário da rede geral de esgoto ou rede pluvial – Não existe identificação do logradouro,Permanent private households that had a toilet or sewage system and sewage from the general sewage network or rainwater network - There is no street identification,housing_units,Entorno01_V001,housing,1,0
V104,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário de fossa séptica – Existe identificação do logradouro,Permanent private households with bathrooms or toilets and septic tank sewage - There is an identification of the public place,housing_units,Entorno01_V001,housing,12,132
V105,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário de fossa séptica – Não existe identificação do logradouro,Permanent private dwellings that had a bathroom or sanitary and septic tank sewage - There is no identification of the public place,housing_units,Entorno01_V001,housing,5,8
V106,Domicílios particulares permanentes que não tinham banheiro ou sanitário – Existe identificação do logradouro,Permanent private households that did not have a bathroom or toilet - There is an identification of the public place,housing_units,Entorno01_V001,housing,0,11
V107,Domicílios particulares permanentes que não tinham banheiro ou sanitário – Não existe identificação do logradouro,Permanent private households that did not have a bathroom or toilet - No street identification,housing_units,Entorno01_V001,housing,0,12
V108,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário da rede geral de esgoto ou rede pluvial – Existe iluminação pública,Permanent private households that had a bathroom or sanitary sewer and the general sewage network or rainwater network - There is public lighting,housing_units,Entorno01_V001,housing,6,24
V109,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário da rede geral de esgoto ou rede pluvial – Não existe iluminação pública,Permanent private households that had a toilet or sewage system and sewage from the general sewage network or rainwater network - No public lighting,housing_units,Entorno01_V001,housing,0,0
V110,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário de fossa séptica – Existe iluminação pública,Private permanent households that had a bathroom or sanitary and septic tank sewage - Public lighting,housing_units,Entorno01_V001,housing,17,140
V111,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário de fossa séptica – Não existe iluminação pública,Private permanent households that had a bathroom or sanitary and septic tank sewage - No public lighting,housing_units,Entorno01_V001,housing,0,0
V112,Domicílios particulares permanentes que não tinham banheiro ou sanitário – Existe iluminação pública,Permanent private households that did not have a bathroom or toilet - Public lighting,housing_units,Entorno01_V001,housing,0,23
V113,Domicílios particulares permanentes que não tinham banheiro ou sanitário – Não existe iluminação pública,Permanent private households that did not have a bathroom or toilet - No public lighting,housing_units,Entorno01_V001,housing,0,0
V114,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário da rede geral de esgoto ou rede pluvial – Existe pavimentação,Permanent private households that had a toilet or sewage system and sewage from the general sewage network or rainwater network - There is paving,housing_units,Entorno01_V001,housing,6,16
V115,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário da rede geral de esgoto ou rede pluvial – Não existe pavimentação,Permanent private households that had a toilet or sewage system and sewage from the general sewage network or rainwater network - There is no paving,housing_units,Entorno01_V001,housing,0,8
V116,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário de fossa séptica – Existe pavimentação,Permanent private households that had a bathroom or toilet and septic tank sewage - There is paving,housing_units,Entorno01_V001,housing,16,43
V117,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário de fossa séptica – Não existe pavimentação,Private permanent households that had a bathroom or sanitary and septic tank sewage - There is no flooring,housing_units,Entorno01_V001,housing,1,97
V118,Domicílios particulares permanentes que não tinham banheiro ou sanitário – Existe pavimentação,Permanent private households that did not have a bathroom or toilet - Paving exists,housing_units,Entorno01_V001,housing,0,4
V119,Domicílios particulares permanentes que não tinham banheiro ou sanitário – Não existe pavimentação,Permanent private households that did not have a bathroom or toilet - There is no flooring,housing_units,Entorno01_V001,housing,0,19
V120,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário da rede geral de esgoto ou rede pluvial – Existe calçada,Permanent private households that had a toilet or sewage system and sewage from the general sewage network or rainwater network - There is a sidewalk,housing_units,Entorno01_V001,housing,1,3
V121,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário da rede geral de esgoto ou rede pluvial – Não existe calçada,Permanent private households with bathrooms or toilets and sanitary sewage from the general sewage network or rainwater network - There is no sidewalk,housing_units,Entorno01_V001,housing,5,21
V122,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário de fossa séptica – Existe calçada,Permanent private households that had a bathroom or toilet and septic tank sewage - There is a sidewalk,housing_units,Entorno01_V001,housing,7,15
V123,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário de fossa séptica – Não existe calçada,Permanent private households that had a bathroom or sanitary and septic tank sewage - There is no sidewalk,housing_units,Entorno01_V001,housing,10,125
V124,Domicílios particulares permanentes que não tinham banheiro ou sanitário – Existe calçada,Permanent private households that did not have a bathroom or toilet - There is a sidewalk,housing_units,Entorno01_V001,housing,0,0
V125,Domicílios particulares permanentes que não tinham banheiro ou sanitário – Não existe calçada,Permanent private households that did not have a bathroom or toilet - There is no sidewalk,housing_units,Entorno01_V001,housing,0,23
V126,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário da rede geral de esgoto ou rede pluvial – Existe meio-fio/guia,Permanent private households that had bathrooms or sanitary facilities and sanitary sewage from the general sewage network or rainwater network - There is a curb / guide,housing_units,Entorno01_V001,housing,6,16
V127,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário da rede geral de esgoto ou rede pluvial – Não existe meio-fio/guia,Permanent private households that had a bathroom or sanitary sewer system and sewage from the general sewage network or rainwater network - There is no curb / guide,housing_units,Entorno01_V001,housing,0,8
V128,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário de fossa séptica – Existe meio-fio/guia,Permanent private households that had a bathroom or toilet and a septic tank sewer - There is a curb / guide,housing_units,Entorno01_V001,housing,15,45
V129,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário de fossa séptica – Não existe meio-fio/guia,Permanent private households that had a bathroom or toilet and a septic tank sewer - There is no curb / guide,housing_units,Entorno01_V001,housing,2,95
V130,Domicílios particulares permanentes que não tinham banheiro ou sanitário – Existe meio-fio/guia,Permanent private households that did not have a bathroom or toilet - There is a curb / guide,housing_units,Entorno01_V001,housing,0,4
V131,Domicílios particulares permanentes que não tinham banheiro ou sanitário – Não existe meio-fio/guia,Permanent private households that did not have a bathroom or toilet - There is no curb / guide,housing_units,Entorno01_V001,housing,0,19
V132,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário da rede geral de esgoto ou rede pluvial – Existe bueiro/boca-de-lobo,Permanent private households with bathrooms or toilets and sanitary sewage from the general sewage network or rainwater network - There is a manhole / mouth-of-wolf,housing_units,Entorno01_V001,housing,0,0
V133,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário da rede geral de esgoto ou rede pluvial – Não existe bueiro/boca-de-lobo,Permanent private homes that had a bathroom or sanitary sewer and sewage from the general sewer network or rainwater network - There is no manhole / mouth-of-wolf,housing_units,Entorno01_V001,housing,6,24
V134,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário de fossa séptica – Existe bueiro/boca-de-lobo,Permanent private households that had a bathroom or sanitary and septic tank sewage - There is manhole / mouth-of-wolf,housing_units,Entorno01_V001,housing,9,2
V135,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário de fossa séptica – Não existe bueiro/boca-de-lobo,Permanent private households that had a bathroom or sanitary and septic tank sewage - There is no manhole / mouth-of-wolf,housing_units,Entorno01_V001,housing,8,138
V136,Domicílios particulares permanentes que não tinham banheiro ou sanitário – Existe bueiro/boca-de-lobo,Permanent private households that did not have a bathroom or toilet - There is a manhole / mouth-of-wolf,housing_units,Entorno01_V001,housing,0,0
V137,Domicílios particulares permanentes que não tinham banheiro ou sanitário – Não existe bueiro/boca-de-lobo,Permanent private households that did not have a bathroom or toilet - There is no manhole / mouth-watering,housing_units,Entorno01_V001,housing,0,23
V138,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário da rede geral de esgoto ou rede pluvial – Existe rampa para cadeirante,Permanent private households that had a bathroom or sanitary and sewage from the general sewage system or rainwater system - There is a ramp for a wheelchair,housing_units,Entorno01_V001,housing,0,9
V139,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário da rede geral de esgoto ou rede pluvial – Não existe rampa para cadeirante,Permanent private households with bathrooms or toilets and sanitary sewage from the general sewage system or rainwater system - There is no wheelchair ramp,housing_units,Entorno01_V001,housing,6,15
V140,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário de fossa séptica – Existe rampa para cadeirante,Permanent private households that had a bathroom or toilet and septic tank sewage - There is a wheelchair ramp,housing_units,Entorno01_V001,housing,0,18
V141,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário de fossa séptica – Não existe rampa para cadeirante,Permanent private households with bathrooms or toilets and septic tank sewage - There is no wheelchair ramp,housing_units,Entorno01_V001,housing,17,122
V142,Domicílios particulares permanentes que não tinham banheiro ou sanitário – Existe rampa para cadeirante,Permanent private households that did not have a bathroom or toilet - There is a wheelchair ramp,housing_units,Entorno01_V001,housing,0,0
V143,Domicílios particulares permanentes que não tinham banheiro ou sanitário – Não existe rampa para cadeirante,Permanent private households that did not have a bathroom or toilet - There is no wheelchair ramp,housing_units,Entorno01_V001,housing,0,23
V144,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário da rede geral de esgoto ou rede pluvial – Existe arborização,Private permanent households with bathrooms or toilets and sewage from the general sewage network or rainwater network - There is afforestation,housing_units,Entorno01_V001,housing,0,6
V145,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário da rede geral de esgoto ou rede pluvial – Não existe arborização,Permanent private households with bathrooms or toilets and sanitary sewage from the general sewage network or rainwater network - There is no afforestation,housing_units,Entorno01_V001,housing,6,18
V146,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário de fossa séptica – Existe arborização,Permanent private households that had a bathroom or sanitary and septic tank sewage - There is afforestation,housing_units,Entorno01_V001,housing,6,22
V147,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário de fossa séptica – Não existe arborização,Permanent private households that had a bathroom or sanitary and septic tank sewage - There is no afforestation,housing_units,Entorno01_V001,housing,11,118
V148,Domicílios particulares permanentes que não tinham banheiro ou sanitário – Existe arborização,Permanent private households that did not have a bathroom or toilet - There is afforestation,housing_units,Entorno01_V001,housing,0,6
V149,Domicílios particulares permanentes que não tinham banheiro ou sanitário – Não existe arborização,Permanent private households that did not have a bathroom or toilet - There is no afforestation,housing_units,Entorno01_V001,housing,0,17
V150,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário da rede geral de esgoto ou rede pluvial – Existe esgoto a céu aberto,Permanent private households that had a toilet or sewage system and sewage from the general sewage network or rainwater network - There is open sewage,housing_units,Entorno01_V001,housing,0,3
V151,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário da rede geral de esgoto ou rede pluvial – Não existe esgoto a céu aberto,Permanent private households with bathrooms or toilets and sanitary sewage from the general sewage network or rainwater network - There is no open sewage,housing_units,Entorno01_V001,housing,6,21
V152,Domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário de fossa séptica – Existe esgoto a céu aberto,Permanent private households that had a toilet or sewage system and septic tank sewage - There is open sewage,housing_units,Entorno01_V001,housing,1,59
