Sequential,Short,Name,DENOMINATORS,Tablename,unit,subsection,Column heading description in profile,AGG,order,Table descr
G81,Age_psns_att_edu_inst_20_24_P,Age of Persons attending an educational institution 20 24 years Persons,Tot_P_P,G01,people,age_gender,Persons,,81,Selected Person Characteristics by Sex
G82,Age_psns_att_edu_inst_25_ov_M,Age of Persons attending an educational institution 25 years and over Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,82,Selected Person Characteristics by Sex
G83,Age_psns_att_edu_inst_25_ov_F,Age of Persons attending an educational institution 25 years and over Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,83,Selected Person Characteristics by Sex
G84,Age_psns_att_edu_inst_25_ov_P,Age of Persons attending an educational institution 25 years and over Persons,Tot_P_P,G01,people,age_gender,Persons,,84,Selected Person Characteristics by Sex
G85,High_yr_schl_comp_Yr_12_eq_M,Highest year of school completed Year 12 or equivalent Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,85,Selected Person Characteristics by Sex
G86,High_yr_schl_comp_Yr_12_eq_F,Highest year of school completed Year 12 or equivalent Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,86,Selected Person Characteristics by Sex
G87,High_yr_schl_comp_Yr_12_eq_P,Highest year of school completed Year 12 or equivalent Persons,Tot_P_P,G01,people,age_gender,Persons,,87,Selected Person Characteristics by Sex
G88,High_yr_schl_comp_Yr_11_eq_M,Highest year of school completed Year 11 or equivalent Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,88,Selected Person Characteristics by Sex
G89,High_yr_schl_comp_Yr_11_eq_F,Highest year of school completed Year 11 or equivalent Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,89,Selected Person Characteristics by Sex
G90,High_yr_schl_comp_Yr_11_eq_P,Highest year of school completed Year 11 or equivalent Persons,Tot_P_P,G01,people,age_gender,Persons,,90,Selected Person Characteristics by Sex
G91,High_yr_schl_comp_Yr_10_eq_M,Highest year of school completed Year 10 or equivalent Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,91,Selected Person Characteristics by Sex
G92,High_yr_schl_comp_Yr_10_eq_F,Highest year of school completed Year 10 or equivalent Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,92,Selected Person Characteristics by Sex
G93,High_yr_schl_comp_Yr_10_eq_P,Highest year of school completed Year 10 or equivalent Persons,Tot_P_P,G01,people,age_gender,Persons,,93,Selected Person Characteristics by Sex
G94,High_yr_schl_comp_Yr_9_eq_M,Highest year of school completed Year 9 or equivalent Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,94,Selected Person Characteristics by Sex
G95,High_yr_schl_comp_Yr_9_eq_F,Highest year of school completed Year 9 or equivalent Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,95,Selected Person Characteristics by Sex
G96,High_yr_schl_comp_Yr_9_eq_P,Highest year of school completed Year 9 or equivalent Persons,Tot_P_P,G01,people,age_gender,Persons,,96,Selected Person Characteristics by Sex
G97,High_yr_schl_comp_Yr_8_belw_M,Highest year of school completed Year 8 or below Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,97,Selected Person Characteristics by Sex
G98,High_yr_schl_comp_Yr_8_belw_F,Highest year of school completed Year 8 or below Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,98,Selected Person Characteristics by Sex
G99,High_yr_schl_comp_Yr_8_belw_P,Highest year of school completed Year 8 or below Persons,Tot_P_P,G01,people,age_gender,Persons,,99,Selected Person Characteristics by Sex
G100,High_yr_schl_comp_D_n_g_sch_M,Highest year of school completed Did not go to school Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,100,Selected Person Characteristics by Sex
G101,High_yr_schl_comp_D_n_g_sch_F,Highest year of school completed Did not go to school Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,101,Selected Person Characteristics by Sex
G102,High_yr_schl_comp_D_n_g_sch_P,Highest year of school completed Did not go to school Persons,Tot_P_P,G01,people,age_gender,Persons,,102,Selected Person Characteristics by Sex
G103,Count_psns_occ_priv_dwgs_M,Count of Persons in occupied private dwellings Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,103,Selected Person Characteristics by Sex
G104,Count_psns_occ_priv_dwgs_F,Count of Persons in occupied private dwellings Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,104,Selected Person Characteristics by Sex
G105,Count_psns_occ_priv_dwgs_P,Count of Persons in occupied private dwellings Persons,Tot_P_P,G01,people,age_gender,Persons,,105,Selected Person Characteristics by Sex
G106,Count_Persons_other_dwgs_M,Count of Persons in other dwellings Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,106,Selected Person Characteristics by Sex
G107,Count_Persons_other_dwgs_F,Count of Persons in other dwellings Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,107,Selected Person Characteristics by Sex
G108,Count_Persons_other_dwgs_P,Count of Persons in other dwellings Persons,Tot_P_P,G01,people,age_gender,Persons,,108,Selected Person Characteristics by Sex
G117,Count_home_Census_Nt_0_14_yr,Counted at home on Census Night Age 0 14 years,,G03,people,age_gender,0-14 years,,117,Place of Usual Residence on Census Night by Age
G118,Count_hom_Census_Nt_15_24_yr,Counted at home on Census Night Age 15 24 years,,G03,people,age_gender,15-24 years,,118,Place of Usual Residence on Census Night by Age
G119,Count_hom_Census_Nt_25_34_yr,Counted at home on Census Night Age 25 34 years,,G03,people,age_gender,25-34 years,,119,Place of Usual Residence on Census Night by Age
G120,Count_hom_Census_Nt_35_44_yr,Counted at home on Census Night Age 35 44 years,,G03,people,age_gender,35-44 years,,120,Place of Usual Residence on Census Night by Age
G121,Count_hom_Census_Nt_45_54_yr,Counted at home on Census Night Age 45 54 years,,G03,people,age_gender,45-54 years,,121,Place of Usual Residence on Census Night by Age
G122,Count_hom_Census_Nt_55_64_yr,Counted at home on Census Night Age 55 64 years,,G03,people,age_gender,55-64 years,,122,Place of Usual Residence on Census Night by Age
G123,Count_hom_Census_Nt_65_74_yr,Counted at home on Census Night Age 65 74 years,,G03,people,age_gender,65-74 years,,123,Place of Usual Residence on Census Night by Age
G124,Count_hom_Census_Nt_75_84_yr,Counted at home on Census Night Age 75 84 years,,G03,people,age_gender,75-84 years,,124,Place of Usual Residence on Census Night by Age
G125,Count_hom_Census_Nt_85ov,Counted at home on Census Night Age 85 years and over,,G03,people,age_gender,85 years and over,,125,Place of Usual Residence on Census Night by Age
G126,Counted_home_Census_Night_Tot,Counted at home on Census Night Total,,G03,people,age_gender,Total,,126,Place of Usual Residence on Census Night by Age
G127,VisSame_SA2_0_14_yr,Visitor from Same Statistical Area Level 2 SA2 Age 0 14 years,,G03,people,age_gender,0-14 years,,127,Place of Usual Residence on Census Night by Age
G128,VisSame_SA2_15_24_yr,Visitor from Same Statistical Area Level 2 SA2 Age 15 24 years,,G03,people,age_gender,15-24 years,,128,Place of Usual Residence on Census Night by Age
G129,VisSame_SA2_25_34_yr,Visitor from Same Statistical Area Level 2 SA2 Age 25 34 years,,G03,people,age_gender,25-34 years,,129,Place of Usual Residence on Census Night by Age
G130,VisSame_SA2_35_44_yr,Visitor from Same Statistical Area Level 2 SA2 Age 35 44 years,,G03,people,age_gender,35-44 years,,130,Place of Usual Residence on Census Night by Age
G131,VisSame_SA2_45_54_yr,Visitor from Same Statistical Area Level 2 SA2 Age 45 54 years,,G03,people,age_gender,45-54 years,,131,Place of Usual Residence on Census Night by Age
G132,VisSame_SA2_55_64_yr,Visitor from Same Statistical Area Level 2 SA2 Age 55 64 years,,G03,people,age_gender,55-64 years,,132,Place of Usual Residence on Census Night by Age
G133,VisSame_SA2_65_74_yr,Visitor from Same Statistical Area Level 2 SA2 Age 65 74 years,,G03,people,age_gender,65-74 years,,133,Place of Usual Residence on Census Night by Age
G134,VisSame_SA2_75_84_yr,Visitor from Same Statistical Area Level 2 SA2 Age 75 84 years,,G03,people,age_gender,75-84 years,,134,Place of Usual Residence on Census Night by Age
G135,VisSame_SA2_85ov,Visitor from Same Statistical Area Level 2 SA2 Age 85 years and over,,G03,people,age_gender,85 years and over,,135,Place of Usual Residence on Census Night by Age
G136,VisSame_SA2_Total,Visitor from Same Statistical Area Level 2 SA2 Total,,G03,people,age_gender,Total,,136,Place of Usual Residence on Census Night by Age
G137,VisDiff_SA2_NSW_0_14_yr,Visitor from Different SA2 in New South Wales Age 0 14 years,,G03,people,age_gender,0-14 years,,137,Place of Usual Residence on Census Night by Age
G138,VisDiff_SA2_NSW_15_24_yr,Visitor from Different SA2 in New South Wales Age 15 24 years,,G03,people,age_gender,15-24 years,,138,Place of Usual Residence on Census Night by Age
G139,VisDiff_SA2_NSW_25_34_yr,Visitor from Different SA2 in New South Wales Age 25 34 years,,G03,people,age_gender,25-34 years,,139,Place of Usual Residence on Census Night by Age
G140,VisDiff_SA2_NSW_35_44_yr,Visitor from Different SA2 in New South Wales Age 35 44 years,,G03,people,age_gender,35-44 years,,140,Place of Usual Residence on Census Night by Age
G141,VisDiff_SA2_NSW_45_54_yr,Visitor from Different SA2 in New South Wales Age 45 54 years,,G03,people,age_gender,45-54 years,,141,Place of Usual Residence on Census Night by Age
G142,VisDiff_SA2_NSW_55_64_yr,Visitor from Different SA2 in New South Wales Age 55 64 years,,G03,people,age_gender,55-64 years,,142,Place of Usual Residence on Census Night by Age
G143,VisDiff_SA2_NSW_65_74_yr,Visitor from Different SA2 in New South Wales Age 65 74 years,,G03,people,age_gender,65-74 years,,143,Place of Usual Residence on Census Night by Age
G144,VisDiff_SA2_NSW_75_84_yr,Visitor from Different SA2 in New South Wales Age 75 84 years,,G03,people,age_gender,75-84 years,,144,Place of Usual Residence on Census Night by Age
G145,VisDiff_SA2_NSW_85ov,Visitor from Different SA2 in New South Wales Age 85 years and over,,G03,people,age_gender,85 years and over,,145,Place of Usual Residence on Census Night by Age
G146,VisDiff_SA2_NSW_Total,Visitor from Different SA2 in New South Wales Total,,G03,people,age_gender,Total,,146,Place of Usual Residence on Census Night by Age
G147,VisDiff_SA2_VIC_0_14_yr,Visitor from Different SA2 in Victoria Age 0 14 years,,G03,people,age_gender,0-14 years,,147,Place of Usual Residence on Census Night by Age
G148,VisDiff_SA2_VIC_15_24_yr,Visitor from Different SA2 in Victoria Age 15 24 years,,G03,people,age_gender,15-24 years,,148,Place of Usual Residence on Census Night by Age
G149,VisDiff_SA2_VIC_25_34_yr,Visitor from Different SA2 in Victoria Age 25 34 years,,G03,people,age_gender,25-34 years,,149,Place of Usual Residence on Census Night by Age
G150,VisDiff_SA2_VIC_35_44_yr,Visitor from Different SA2 in Victoria Age 35 44 years,,G03,people,age_gender,35-44 years,,150,Place of Usual Residence on Census Night by Age
G151,VisDiff_SA2_VIC_45_54_yr,Visitor from Different SA2 in Victoria Age 45 54 years,,G03,people,age_gender,45-54 years,,151,Place of Usual Residence on Census Night by Age
G152,VisDiff_SA2_VIC_55_64_yr,Visitor from Different SA2 in Victoria Age 55 64 years,,G03,people,age_gender,55-64 years,,152,Place of Usual Residence on Census Night by Age
G153,VisDiff_SA2_VIC_65_74_yr,Visitor from Different SA2 in Victoria Age 65 74 years,,G03,people,age_gender,65-74 years,,153,Place of Usual Residence on Census Night by Age
G154,VisDiff_SA2_VIC_75_84_yr,Visitor from Different SA2 in Victoria Age 75 84 years,,G03,people,age_gender,75-84 years,,154,Place of Usual Residence on Census Night by Age
G155,VisDiff_SA2_VIC_85ov,Visitor from Different SA2 in Victoria Age 85 years and over,,G03,people,age_gender,85 years and over,,155,Place of Usual Residence on Census Night by Age
G156,VisDiff_SA2_VIC_Total,Visitor from Different SA2 in Victoria Total,,G03,people,age_gender,Total,,156,Place of Usual Residence on Census Night by Age
G157,VisDiff_SA2_QLD_0_14_yr,Visitor from Different SA2 in Queensland Age 0 14 years,,G03,people,age_gender,0-14 years,,157,Place of Usual Residence on Census Night by Age
G158,VisDiff_SA2_QLD_15_24_yr,Visitor from Different SA2 in Queensland Age 15 24 years,,G03,people,age_gender,15-24 years,,158,Place of Usual Residence on Census Night by Age
G159,VisDiff_SA2_QLD_25_34_yr,Visitor from Different SA2 in Queensland Age 25 34 years,,G03,people,age_gender,25-34 years,,159,Place of Usual Residence on Census Night by Age
G160,VisDiff_SA2_QLD_35_44_yr,Visitor from Different SA2 in Queensland Age 35 44 years,,G03,people,age_gender,35-44 years,,160,Place of Usual Residence on Census Night by Age
G161,VisDiff_SA2_QLD_45_54_yr,Visitor from Different SA2 in Queensland Age 45 54 years,,G03,people,age_gender,45-54 years,,161,Place of Usual Residence on Census Night by Age
G162,VisDiff_SA2_QLD_55_64_yr,Visitor from Different SA2 in Queensland Age 55 64 years,,G03,people,age_gender,55-64 years,,162,Place of Usual Residence on Census Night by Age
G163,VisDiff_SA2_QLD_65_74_yr,Visitor from Different SA2 in Queensland Age 65 74 years,,G03,people,age_gender,65-74 years,,163,Place of Usual Residence on Census Night by Age
G164,VisDiff_SA2_QLD_75_84_yr,Visitor from Different SA2 in Queensland Age 75 84 years,,G03,people,age_gender,75-84 years,,164,Place of Usual Residence on Census Night by Age
G165,VisDiff_SA2_QLD_85ov,Visitor from Different SA2 in Queensland Age 85 years and over,,G03,people,age_gender,85 years and over,,165,Place of Usual Residence on Census Night by Age
G166,VisDiff_SA2_QLD_Total,Visitor from Different SA2 in Queensland Total,,G03,people,age_gender,Total,,166,Place of Usual Residence on Census Night by Age
G167,VisDiff_SA2_SA_0_14_yr,Visitor from Different SA2 in South Australia Age 0 14 years,,G03,people,age_gender,0-14 years,,167,Place of Usual Residence on Census Night by Age
G168,VisDiff_SA2_SA_15_24_yr,Visitor from Different SA2 in South Australia Age 15 24 years,,G03,people,age_gender,15-24 years,,168,Place of Usual Residence on Census Night by Age
G169,VisDiff_SA2_SA_25_34_yr,Visitor from Different SA2 in South Australia Age 25 34 years,,G03,people,age_gender,25-34 years,,169,Place of Usual Residence on Census Night by Age
G170,VisDiff_SA2_SA_35_44_yr,Visitor from Different SA2 in South Australia Age 35 44 years,,G03,people,age_gender,35-44 years,,170,Place of Usual Residence on Census Night by Age
G171,VisDiff_SA2_SA_45_54_yr,Visitor from Different SA2 in South Australia Age 45 54 years,,G03,people,age_gender,45-54 years,,171,Place of Usual Residence on Census Night by Age
G172,VisDiff_SA2_SA_55_64_yr,Visitor from Different SA2 in South Australia Age 55 64 years,,G03,people,age_gender,55-64 years,,172,Place of Usual Residence on Census Night by Age
G173,VisDiff_SA2_SA_65_74_yr,Visitor from Different SA2 in South Australia Age 65 74 years,,G03,people,age_gender,65-74 years,,173,Place of Usual Residence on Census Night by Age
G174,VisDiff_SA2_SA_75_84_yr,Visitor from Different SA2 in South Australia Age 75 84 years,,G03,people,age_gender,75-84 years,,174,Place of Usual Residence on Census Night by Age
G175,VisDiff_SA2_SA_85ov,Visitor from Different SA2 in South Australia Age 85 years and over,,G03,people,age_gender,85 years and over,,175,Place of Usual Residence on Census Night by Age
