Sequential,Short,Name,DENOMINATORS,Tablename,unit,subsection,Column heading description in profile,AGG,order,Table descr
B21,B01_Age_35_44_yr_P,Age groups 35-44 years (Persons),B01_Tot_P_P,B01,people,age_gender,Persons,,21,Selected Person Characteristics
B22,B01_Age_45_54_yr_M,Age groups 45-54 years (Males),B01_Tot_P_M,B01,people,age_gender,Males,,22,Selected Person Characteristics
B23,B01_Age_45_54_yr_F,Age groups 45-54 years (Females),B01_Tot_P_F,B01,people,age_gender,Females,,23,Selected Person Characteristics
B24,B01_Age_45_54_yr_P,Age groups 45-54 years (Persons),B01_Tot_P_P,B01,people,age_gender,Persons,,24,Selected Person Characteristics
B25,B01_Age_55_64_yr_M,Age groups 55-64 years (Males),B01_Tot_P_M,B01,people,age_gender,Males,,25,Selected Person Characteristics
B26,B01_Age_55_64_yr_F,Age groups 55-64 years (Females),B01_Tot_P_F,B01,people,age_gender,Females,,26,Selected Person Characteristics
B27,B01_Age_55_64_yr_P,Age groups 55-64 years (Persons),B01_Tot_P_P,B01,people,age_gender,Persons,,27,Selected Person Characteristics
B28,B01_Age_65_74_yr_M,Age groups 65-74 years (Males),B01_Tot_P_M,B01,people,age_gender,Males,,28,Selected Person Characteristics
B29,B01_Age_65_74_yr_F,Age groups 65-74 years (Females),B01_Tot_P_F,B01,people,age_gender,Females,,29,Selected Person Characteristics
B30,B01_Age_65_74_yr_P,Age groups 65-74 years (Persons),B01_Tot_P_P,B01,people,age_gender,Persons,,30,Selected Person Characteristics
B31,B01_Age_75_84_yr_M,Age groups 75-84 years (Males),B01_Tot_P_M,B01,people,age_gender,Males,,31,Selected Person Characteristics
B32,B01_Age_75_84_yr_F,Age groups 75-84 years (Females),B01_Tot_P_F,B01,people,age_gender,Females,,32,Selected Person Characteristics
B33,B01_Age_75_84_yr_P,Age groups 75-84 years (Persons),B01_Tot_P_P,B01,people,age_gender,Persons,,33,Selected Person Characteristics
B34,B01_Age_85ov_M,Age groups 85 years and over (Males),B01_Tot_P_M,B01,people,age_gender,Males,,34,Selected Person Characteristics
B35,B01_Age_85ov_F,Age groups 85 years and over (Females),B01_Tot_P_F,B01,people,age_gender,Females,,35,Selected Person Characteristics
B36,B01_Age_85ov_P,Age groups 85 years and over (Persons),B01_Tot_P_P,B01,people,age_gender,Persons,,36,Selected Person Characteristics
B37,B01_Counted_Census_Night_home_M,Counted on Census Night At home (Males),B01_Tot_P_M,B01,people,housing,Males,,37,Selected Person Characteristics
B38,B01_Counted_Census_Night_home_F,Counted on Census Night At home (Females),B01_Tot_P_F,B01,people,housing,Females,,38,Selected Person Characteristics
B39,B01_Counted_Census_Night_home_P,Counted on Census Night At home (Persons),B01_Tot_P_P,B01,people,housing,Persons,,39,Selected Person Characteristics
B40,B01_Count_Census_Nt_Ewhere_Aust_M,Counted on Census Night Elsewhere in Australia (Males),B01_Tot_P_M,B01,people,housing,Males,,40,Selected Person Characteristics
B41,B01_Count_Census_Nt_Ewhere_Aust_F,Counted on Census Night Elsewhere in Australia (Females),B01_Tot_P_F,B01,people,housing,Females,,41,Selected Person Characteristics
B42,B01_Count_Census_Nt_Ewhere_Aust_P,Counted on Census Night Elsewhere in Australia (Persons),B01_Tot_P_P,B01,people,housing,Persons,,42,Selected Person Characteristics
B43,B01_Indigenous_psns_Aboriginal_M,Indigenous Persons Aboriginal (Males),B01_Tot_P_M,B01,people,race_ethnicity|age_gender,Males,,43,Selected Person Characteristics
B44,B01_Indigenous_psns_Aboriginal_F,Indigenous Persons Aboriginal (Females),B01_Tot_P_F,B01,people,race_ethnicity|age_gender,Females,,44,Selected Person Characteristics
B45,B01_Indigenous_psns_Aboriginal_P,Indigenous Persons Aboriginal (Persons),B01_Tot_P_P,B01,people,race_ethnicity|age_gender,Persons,,45,Selected Person Characteristics
B46,B01_Indig_psns_Torres_Strait_Is_M,Indigenous Persons Torres Strait Islander (Males),B01_Tot_P_M,B01,people,race_ethnicity|age_gender,Males,,46,Selected Person Characteristics
B47,B01_Indig_psns_Torres_Strait_Is_F,Indigenous Persons Torres Strait Islander (Females),B01_Tot_P_F,B01,people,race_ethnicity|age_gender,Females,,47,Selected Person Characteristics
B48,B01_Indig_psns_Torres_Strait_Is_P,Indigenous Persons Torres Strait Islander (Persons),B01_Tot_P_P,B01,people,race_ethnicity|age_gender,Persons,,48,Selected Person Characteristics
B49,B01_Indig_Bth_Abor_Torres_St_Is_M,Indigenous Persons Both Aboriginal and Torres Strait Islander (Males),B01_Tot_P_M,B01,people,race_ethnicity|age_gender,Males,,49,Selected Person Characteristics
B50,B01_Indig_Bth_Abor_Torres_St_Is_F,Indigenous Persons Both Aboriginal and Torres Strait Islander (Females),B01_Tot_P_F,B01,people,race_ethnicity|age_gender,Females,,50,Selected Person Characteristics
B51,B01_Indig_Bth_Abor_Torres_St_Is_P,Indigenous Persons Both Aboriginal and Torres Strait Islander (Persons),B01_Tot_P_P,B01,people,race_ethnicity|age_gender,Persons,,51,Selected Person Characteristics
B52,B01_Indigenous_P_Tot_M,Indigenous Persons Total (Males),B01_Tot_P_M,B01,people,race_ethnicity|age_gender,Males,,52,Selected Person Characteristics
B53,B01_Indigenous_P_Tot_F,Indigenous Persons Total (Females),B01_Tot_P_F,B01,people,race_ethnicity|age_gender,Females,,53,Selected Person Characteristics
B54,B01_Indigenous_P_Tot_P,Indigenous Persons Total (Persons),B01_Tot_P_P,B01,people,race_ethnicity|age_gender,Persons,,54,Selected Person Characteristics
B55,B01_Birthplace_Australia_M,Birthplace Australia (Males),B01_Tot_P_M,B01,people,nationality|age_gender,Males,,55,Selected Person Characteristics
B56,B01_Birthplace_Australia_F,Birthplace Australia (Females),B01_Tot_P_F,B01,people,nationality|age_gender,Females,,56,Selected Person Characteristics
B57,B01_Birthplace_Australia_P,Birthplace Australia (Persons),B01_Tot_P_P,B01,people,nationality|age_gender,Persons,,57,Selected Person Characteristics
B58,B01_Birthplace_Elsewhere_M,Birthplace Elsewhere (Males),B01_Tot_P_M,B01,people,nationality|age_gender,Males,,58,Selected Person Characteristics
B59,B01_Birthplace_Elsewhere_F,Birthplace Elsewhere (Females),B01_Tot_P_F,B01,people,nationality|age_gender,Females,,59,Selected Person Characteristics
B60,B01_Birthplace_Elsewhere_P,Birthplace Elsewhere (Persons),B01_Tot_P_P,B01,people,nationality|age_gender,Persons,,60,Selected Person Characteristics
B61,B01_Lang_spoken_home_Eng_only_M,Language spoken at home English only (Males),B01_Tot_P_M,B01,people,language|age_gender,Males,,61,Selected Person Characteristics
B62,B01_Lang_spoken_home_Eng_only_F,Language spoken at home English only (Females),B01_Tot_P_F,B01,people,language|age_gender,Females,,62,Selected Person Characteristics
B63,B01_Lang_spoken_home_Eng_only_P,Language spoken at home English only (Persons),B01_Tot_P_P,B01,people,language|age_gender,Persons,,63,Selected Person Characteristics
B64,B01_Lang_spoken_home_Oth_Lang_M,Language spoken at home Other Language (Males),B01_Tot_P_M,B01,people,language|age_gender,Males,,64,Selected Person Characteristics
B65,B01_Lang_spoken_home_Oth_Lang_F,Language spoken at home Other Language (Females),B01_Tot_P_F,B01,people,language|age_gender,Females,,65,Selected Person Characteristics
B66,B01_Lang_spoken_home_Oth_Lang_P,Language spoken at home Other Language (Persons),B01_Tot_P_P,B01,people,language|age_gender,Persons,,66,Selected Person Characteristics
B67,B01_Australian_citizen_M,Australian citizen (Males),B01_Tot_P_M,B01,people,nationality|age_gender,Males,,67,Selected Person Characteristics
B68,B01_Australian_citizen_F,Australian citizen (Females),B01_Tot_P_F,B01,people,nationality|age_gender,Females,,68,Selected Person Characteristics
B69,B01_Australian_citizen_P,Australian citizen (Persons),B01_Tot_P_P,B01,people,nationality|age_gender,Persons,,69,Selected Person Characteristics
B70,B01_Age_psns_att_educ_inst_0_4_M,Age of Persons attending an educational institution 0-4 years (Males),B01_Tot_P_M,B01,people,education|age_gender,Males,,70,Selected Person Characteristics
B71,B01_Age_psns_att_educ_inst_0_4_F,Age of Persons attending an educational institution 0-4 years (Females),B01_Tot_P_F,B01,people,education|age_gender,Females,,71,Selected Person Characteristics
B72,B01_Age_psns_att_educ_inst_0_4_P,Age of Persons attending an educational institution 0-4 years (Persons),B01_Tot_P_P,B01,people,education|age_gender,Persons,,72,Selected Person Characteristics
B73,B01_Age_psns_att_educ_inst_5_14_M,Age of Persons attending an educational institution 5-14 years (Males),B01_Tot_P_M,B01,people,education|age_gender,Males,,73,Selected Person Characteristics
B74,B01_Age_psns_att_educ_inst_5_14_F,Age of Persons attending an educational institution 5-14 years (Females),B01_Tot_P_F,B01,people,education|age_gender,Females,,74,Selected Person Characteristics
B75,B01_Age_psns_att_educ_inst_5_14_P,Age of Persons attending an educational institution 5-14 years (Persons),B01_Tot_P_P,B01,people,education|age_gender,Persons,,75,Selected Person Characteristics
B76,B01_Age_psns_att_edu_inst_15_19_M,Age of Persons attending an educational institution 15-19 years (Males),B01_Tot_P_M,B01,people,education|age_gender,Males,,76,Selected Person Characteristics
B77,B01_Age_psns_att_edu_inst_15_19_F,Age of Persons attending an educational institution 15-19 years (Females),B01_Tot_P_F,B01,people,education|age_gender,Females,,77,Selected Person Characteristics
B78,B01_Age_psns_att_edu_inst_15_19_P,Age of Persons attending an educational institution 15-19 years (Persons),B01_Tot_P_P,B01,people,education|age_gender,Persons,,78,Selected Person Characteristics
B79,B01_Age_psns_att_edu_inst_20_24_M,Age of Persons attending an educational institution 20-24 years (Males),B01_Tot_P_M,B01,people,education|age_gender,Males,,79,Selected Person Characteristics
B80,B01_Age_psns_att_edu_inst_20_24_F,Age of Persons attending an educational institution 20-24 years (Females),B01_Tot_P_F,B01,people,education|age_gender,Females,,80,Selected Person Characteristics
B81,B01_Age_psns_att_edu_inst_20_24_P,Age of Persons attending an educational institution 20-24 years (Persons),B01_Tot_P_P,B01,people,education|age_gender,Persons,,81,Selected Person Characteristics
B82,B01_Age_psns_att_edu_inst_25_ov_M,Age of Persons attending an educational institution 25 years and over (Males),B01_Tot_P_M,B01,people,education|age_gender,Males,,82,Selected Person Characteristics
B83,B01_Age_psns_att_edu_inst_25_ov_F,Age of Persons attending an educational institution 25 years and over (Females),B01_Tot_P_F,B01,people,education|age_gender,Females,,83,Selected Person Characteristics
B84,B01_Age_psns_att_edu_inst_25_ov_P,Age of Persons attending an educational institution 25 years and over (Persons),B01_Tot_P_P,B01,people,education|age_gender,Persons,,84,Selected Person Characteristics
B85,B01_High_yr_schl_comp_Yr_12_eq_M,Highest year of school completed Year 12 or equivalent (Males),B01_Tot_P_M,B01,people,education|age_gender,Males,,85,Selected Person Characteristics
B86,B01_High_yr_schl_comp_Yr_12_eq_F,Highest year of school completed Year 12 or equivalent (Females),B01_Tot_P_F,B01,people,education|age_gender,Females,,86,Selected Person Characteristics
B87,B01_High_yr_schl_comp_Yr_12_eq_P,Highest year of school completed Year 12 or equivalent (Persons),B01_Tot_P_P,B01,people,education|age_gender,Persons,,87,Selected Person Characteristics
B88,B01_High_yr_schl_comp_Yr_11_eq_M,Highest year of school completed Year 11 or equivalent (Males),B01_Tot_P_M,B01,people,education|age_gender,Males,,88,Selected Person Characteristics
B89,B01_High_yr_schl_comp_Yr_11_eq_F,Highest year of school completed Year 11 or equivalent (Females),B01_Tot_P_F,B01,people,education|age_gender,Females,,89,Selected Person Characteristics
B90,B01_High_yr_schl_comp_Yr_11_eq_P,Highest year of school completed Year 11 or equivalent (Persons),B01_Tot_P_P,B01,people,education|age_gender,Persons,,90,Selected Person Characteristics
B91,B01_High_yr_schl_comp_Yr_10_eq_M,Highest year of school completed Year 10 or equivalent (Males),B01_Tot_P_M,B01,people,education|age_gender,Males,,91,Selected Person Characteristics
B92,B01_High_yr_schl_comp_Yr_10_eq_F,Highest year of school completed Year 10 or equivalent (Females),B01_Tot_P_F,B01,people,education|age_gender,Females,,92,Selected Person Characteristics
B93,B01_High_yr_schl_comp_Yr_10_eq_P,Highest year of school completed Year 10 or equivalent (Persons),B01_Tot_P_P,B01,people,education|age_gender,Persons,,93,Selected Person Characteristics
B94,B01_High_yr_schl_comp_Yr_9_eq_M,Highest year of school completed Year 9 or equivalent (Males),B01_Tot_P_M,B01,people,education|age_gender,Males,,94,Selected Person Characteristics
B95,B01_High_yr_schl_comp_Yr_9_eq_F,Highest year of school completed Year 9 or equivalent (Females),B01_Tot_P_F,B01,people,education|age_gender,Females,,95,Selected Person Characteristics
B96,B01_High_yr_schl_comp_Yr_9_eq_P,Highest year of school completed Year 9 or equivalent (Persons),B01_Tot_P_P,B01,people,education|age_gender,Persons,,96,Selected Person Characteristics
B97,B01_High_yr_schl_comp_Yr_8_belw_M,Highest year of school completed Year 8 or below (Males),B01_Tot_P_M,B01,people,education|age_gender,Males,,97,Selected Person Characteristics
B98,B01_High_yr_schl_comp_Yr_8_belw_F,Highest year of school completed Year 8 or below (Females),B01_Tot_P_F,B01,people,education|age_gender,Females,,98,Selected Person Characteristics
B99,B01_High_yr_schl_comp_Yr_8_belw_P,Highest year of school completed Year 8 or below (Persons),B01_Tot_P_P,B01,people,education|age_gender,Persons,,99,Selected Person Characteristics
B100,B01_High_yr_schl_comp_D_n_g_sch_M,Highest year of school completed Did not go to school (Males),B01_Tot_P_M,B01,people,education|age_gender,Males,,100,Selected Person Characteristics
B101,B01_High_yr_schl_comp_D_n_g_sch_F,Highest year of school completed Did not go to school (Females),B01_Tot_P_F,B01,people,education|age_gender,Females,,101,Selected Person Characteristics
B102,B01_High_yr_schl_comp_D_n_g_sch_P,Highest year of school completed Did not go to school (Persons),B01_Tot_P_P,B01,people,education|age_gender,Persons,,102,Selected Person Characteristics
B103,B01_Count_psns_occ_priv_dwgs_M,Count of Persons in occupied private dwellings (Males),B01_Tot_P_M,B01,people,housing|age_gender,Males,,103,Selected Person Characteristics
B104,B01_Count_psns_occ_priv_dwgs_F,Count of Persons in occupied private dwellings (Females),B01_Tot_P_F,B01,people,housing|age_gender,Females,,104,Selected Person Characteristics
B105,B01_Count_psns_occ_priv_dwgs_P,Count of Persons in occupied private dwellings (Persons),B01_Tot_P_P,B01,people,housing|age_gender,Persons,,105,Selected Person Characteristics
B106,B01_Count_Persons_other_dwgs_M,Count of Persons in other dwellings (Males),B01_Tot_P_M,B01,people,housing|age_gender,Males,,106,Selected Person Characteristics
B107,B01_Count_Persons_other_dwgs_F,Count of Persons in other dwellings (Females),B01_Tot_P_F,B01,people,housing|age_gender,Females,,107,Selected Person Characteristics
B108,B01_Count_Persons_other_dwgs_P,Count of Persons in other dwellings (Persons),B01_Tot_P_P,B01,people,housing|age_gender,Persons,,108,Selected Person Characteristics
B109,B02_Median_age_persons,Median age of (Persons),,B02,people,age_gender,Median age of persons,median,109,Selected Medians and Averages
B110,B02_Median_mortgage_repay_monthly,Median mortgage repayment monthly,,B02,money,housing,Median mortgage repayment ($/monthly),median,110,Selected Medians and Averages
B111,B02_Median_Tot_prsnl_inc_weekly,Median total personal income weekly,,B02,money,housing,Median total personal income ($/weekly),median,111,Selected Medians and Averages
B112,B02_Median_rent_weekly_,Median rent weekly,,B02,money,housing,Median rent ($/weekly),median,112,Selected Medians and Averages
B113,B02_Median_Tot_fam_inc_weekly,Median total family income weekly,,B02,money,housing,Median total family income ($/weekly),median,113,Selected Medians and Averages
B114,B02_Average_num_psns_per_bedroom,Average number of Persons per bedroom,,B02,people,housing,Average number of persons per bedroom,average,114,Selected Medians and Averages
B115,B02_Median_Tot_hhd_inc_weekly,Median total household income weekly,,B02,money,income,Median total household income ($/weekly),median,115,Selected Medians and Averages
B116,B02_Average_household_size,Average household size,,B02,people,housing,Average household size,average,116,Selected Medians and Averages
B256,B03_Total_Total,Visitors Total,B01_Tot_P_P,B03,people,age_gender,Total,,256,Place of Usual Residence on Census Night
B255,B03_Total_85ov,Visitors Age 85 years and over,B03_Total_Total,B03,people,age_gender,85 years and over,,255,Place of Usual Residence on Census Night
B254,B03_Total_75_84_yr,Visitors Age 75-84 years,B03_Total_Total,B03,people,age_gender,75-84 years,,254,Place of Usual Residence on Census Night
B253,B03_Total_65_74_yr,Visitors Age 65-74 years,B03_Total_Total,B03,people,age_gender,65-74 years,,253,Place of Usual Residence on Census Night
B252,B03_Total_55_64_yr,Visitors Age 55-64 years,B03_Total_Total,B03,people,age_gender,55-64 years,,252,Place of Usual Residence on Census Night
B251,B03_Total_45_54_yr,Visitors Age 45-54 years,B03_Total_Total,B03,people,age_gender,45-54 years,,251,Place of Usual Residence on Census Night
B250,B03_Total_35_44_yr,Visitors Age 35-44 years,B03_Total_Total,B03,people,age_gender,35-44 years,,250,Place of Usual Residence on Census Night
B249,B03_Total_25_34_yr,Visitors Age 25-34 years,B03_Total_Total,B03,people,age_gender,25-34 years,,249,Place of Usual Residence on Census Night
B248,B03_Total_15_24_yr,Visitors Age 15-24 years,B03_Total_Total,B03,people,age_gender,15-24 years,,248,Place of Usual Residence on Census Night
B247,B03_Total_0_14_yr,Visitors Age 0-14 years,B03_Total_Total,B03,people,age_gender,0-14 years,,247,Place of Usual Residence on Census Night
B246,B03_Vis_Tot_Visitrs_Total,Visitor from Total visitors Total,B03_Total_Total,B03,people,age_gender,Total,,246,Place of Usual Residence on Census Night
B245,B03_Vis_Tot_Visitrs_85ov,Visitor from Total visitors Age 85 years and over,B03_Vis_Tot_Visitrs_Total,B03,people,age_gender,85 years and over,,245,Place of Usual Residence on Census Night
B244,B03_Vis_Tot_Visitrs_75_84_yr,Visitor from Total visitors Age 75-84 years,B03_Vis_Tot_Visitrs_Total,B03,people,age_gender,75-84 years,,244,Place of Usual Residence on Census Night
B243,B03_Vis_Tot_Visitrs_65_74_yr,Visitor from Total visitors Age 65-74 years,B03_Vis_Tot_Visitrs_Total,B03,people,age_gender,65-74 years,,243,Place of Usual Residence on Census Night
B242,B03_Vis_Tot_Visitrs_55_64_yr,Visitor from Total visitors Age 55-64 years,B03_Vis_Tot_Visitrs_Total,B03,people,age_gender,55-64 years,,242,Place of Usual Residence on Census Night
B241,B03_Vis_Tot_Visitrs_45_54_yr,Visitor from Total visitors Age 45-54 years,B03_Vis_Tot_Visitrs_Total,B03,people,age_gender,45-54 years,,241,Place of Usual Residence on Census Night
B240,B03_Vis_Tot_Visitrs_35_44_yr,Visitor from Total visitors Age 35-44 years,B03_Vis_Tot_Visitrs_Total,B03,people,age_gender,35-44 years,,240,Place of Usual Residence on Census Night
B239,B03_Vis_Tot_Visitrs_25_34_yr,Visitor from Total visitors Age 25-34 years,B03_Vis_Tot_Visitrs_Total,B03,people,age_gender,25-34 years,,239,Place of Usual Residence on Census Night
B238,B03_Vis_Tot_Visitrs_15_24_yr,Visitor from Total visitors Age 15-24 years,B03_Vis_Tot_Visitrs_Total,B03,people,age_gender,15-24 years,,238,Place of Usual Residence on Census Night
B237,B03_Vis_Tot_Visitrs_0_14_yr,Visitor from Total visitors Age 0-14 years,B03_Vis_Tot_Visitrs_Total,B03,people,age_gender,0-14 years,,237,Place of Usual Residence on Census Night
B236,B03_VisDiff_SA2_Tot_Total,Visitor from Different SA2 in Total Total,B03_Vis_Tot_Visitrs_Total,B03,people,age_gender,Total,,236,Place of Usual Residence on Census Night
B235,B03_VisDiff_SA2_Tot_85ov,Visitor from Different SA2 in Total Age 85 years and over,B03_VisDiff_SA2_Tot_Total,B03,people,age_gender,85 years and over,,235,Place of Usual Residence on Census Night
B234,B03_VisDiff_SA2_Tot_75_84_yr,Visitor from Different SA2 in Total Age 75-84 years,B03_VisDiff_SA2_Tot_Total,B03,people,age_gender,75-84 years,,234,Place of Usual Residence on Census Night
B233,B03_VisDiff_SA2_Tot_65_74_yr,Visitor from Different SA2 in Total Age 65-74 years,B03_VisDiff_SA2_Tot_Total,B03,people,age_gender,65-74 years,,233,Place of Usual Residence on Census Night
B232,B03_VisDiff_SA2_Tot_55_64_yr,Visitor from Different SA2 in Total Age 55-64 years,B03_VisDiff_SA2_Tot_Total,B03,people,age_gender,55-64 years,,232,Place of Usual Residence on Census Night
B231,B03_VisDiff_SA2_Tot_45_54_yr,Visitor from Different SA2 in Total Age 45-54 years,B03_VisDiff_SA2_Tot_Total,B03,people,age_gender,45-54 years,,231,Place of Usual Residence on Census Night
B230,B03_VisDiff_SA2_Tot_35_44_yr,Visitor from Different SA2 in Total Age 35-44 years,B03_VisDiff_SA2_Tot_Total,B03,people,age_gender,35-44 years,,230,Place of Usual Residence on Census Night
B229,B03_VisDiff_SA2_Tot_25_34_yr,Visitor from Different SA2 in Total Age 25-34 years,B03_VisDiff_SA2_Tot_Total,B03,people,age_gender,25-34 years,,229,Place of Usual Residence on Census Night
B228,B03_VisDiff_SA2_Tot_15_24_yr,Visitor from Different SA2 in Total Age 15-24 years,B03_VisDiff_SA2_Tot_Total,B03,people,age_gender,15-24 years,,228,Place of Usual Residence on Census Night
B227,B03_VisDiff_SA2_Tot_0_14_yr,Visitor from Different SA2 in Total Age 0-14 years,B03_VisDiff_SA2_Tot_Total,B03,people,age_gender,0-14 years,,227,Place of Usual Residence on Census Night
B226,B03_VisDiff_SA2_OT_Total,Visitor from Different SA2 in Other Territories Total,B03_Vis_Tot_Visitrs_Total,B03,people,age_gender,Total,,226,Place of Usual Residence on Census Night
B225,B03_VisDiff_SA2_OT_85ov,Visitor from Different SA2 in Other Territories Age 85 years and over,B03_VisDiff_SA2_OT_Total,B03,people,age_gender,85 years and over,,225,Place of Usual Residence on Census Night
B224,B03_VisDiff_SA2_OT_75_84_yr,Visitor from Different SA2 in Other Territories Age 75-84 years,B03_VisDiff_SA2_OT_Total,B03,people,age_gender,75-84 years,,224,Place of Usual Residence on Census Night
B223,B03_VisDiff_SA2_OT_65_74_yr,Visitor from Different SA2 in Other Territories Age 65-74 years,B03_VisDiff_SA2_OT_Total,B03,people,age_gender,65-74 years,,223,Place of Usual Residence on Census Night
B222,B03_VisDiff_SA2_OT_55_64_yr,Visitor from Different SA2 in Other Territories Age 55-64 years,B03_VisDiff_SA2_OT_Total,B03,people,age_gender,55-64 years,,222,Place of Usual Residence on Census Night
B221,B03_VisDiff_SA2_OT_45_54_yr,Visitor from Different SA2 in Other Territories Age 45-54 years,B03_VisDiff_SA2_OT_Total,B03,people,age_gender,45-54 years,,221,Place of Usual Residence on Census Night
B220,B03_VisDiff_SA2_OT_35_44_yr,Visitor from Different SA2 in Other Territories Age 35-44 years,B03_VisDiff_SA2_OT_Total,B03,people,age_gender,35-44 years,,220,Place of Usual Residence on Census Night
B219,B03_VisDiff_SA2_OT_25_34_yr,Visitor from Different SA2 in Other Territories Age 25-34 years,B03_VisDiff_SA2_OT_Total,B03,people,age_gender,25-34 years,,219,Place of Usual Residence on Census Night
B218,B03_VisDiff_SA2_OT_15_24_yr,Visitor from Different SA2 in Other Territories Age 15-24 years,B03_VisDiff_SA2_OT_Total,B03,people,age_gender,15-24 years,,218,Place of Usual Residence on Census Night
B217,B03_VisDiff_SA2_OT_0_14_yr,Visitor from Different SA2 in Other Territories Age 0-14 years,B03_VisDiff_SA2_OT_Total,B03,people,age_gender,0-14 years,,217,Place of Usual Residence on Census Night
B216,B03_VisDiff_SA2_ACT_Total,Visitor from Different SA2 in Australian Capital Territory Total,B03_Vis_Tot_Visitrs_Total,B03,people,age_gender,Total,,216,Place of Usual Residence on Census Night
B215,B03_VisDiff_SA2_ACT_85ov,Visitor from Different SA2 in Australian Capital Territory Age 85 years and over,B03_VisDiff_SA2_ACT_Total,B03,people,age_gender,85 years and over,,215,Place of Usual Residence on Census Night
B214,B03_VisDiff_SA2_ACT_75_84_yr,Visitor from Different SA2 in Australian Capital Territory Age 75-84 years,B03_VisDiff_SA2_ACT_Total,B03,people,age_gender,75-84 years,,214,Place of Usual Residence on Census Night
B213,B03_VisDiff_SA2_ACT_65_74_yr,Visitor from Different SA2 in Australian Capital Territory Age 65-74 years,B03_VisDiff_SA2_ACT_Total,B03,people,age_gender,65-74 years,,213,Place of Usual Residence on Census Night
B212,B03_VisDiff_SA2_ACT_55_64_yr,Visitor from Different SA2 in Australian Capital Territory Age 55-64 years,B03_VisDiff_SA2_ACT_Total,B03,people,age_gender,55-64 years,,212,Place of Usual Residence on Census Night
B211,B03_VisDiff_SA2_ACT_45_54_yr,Visitor from Different SA2 in Australian Capital Territory Age 45-54 years,B03_VisDiff_SA2_ACT_Total,B03,people,age_gender,45-54 years,,211,Place of Usual Residence on Census Night
B210,B03_VisDiff_SA2_ACT_35_44_yr,Visitor from Different SA2 in Australian Capital Territory Age 35-44 years,B03_VisDiff_SA2_ACT_Total,B03,people,age_gender,35-44 years,,210,Place of Usual Residence on Census Night
B209,B03_VisDiff_SA2_ACT_25_34_yr,Visitor from Different SA2 in Australian Capital Territory Age 25-34 years,B03_VisDiff_SA2_ACT_Total,B03,people,age_gender,25-34 years,,209,Place of Usual Residence on Census Night
B208,B03_VisDiff_SA2_ACT_15_24_yr,Visitor from Different SA2 in Australian Capital Territory Age 15-24 years,B03_VisDiff_SA2_ACT_Total,B03,people,age_gender,15-24 years,,208,Place of Usual Residence on Census Night
