VAR_CODE	VAR_LIB	VAR_LIB_LONG	UNITS	DENOMINATORS
P12_FSAL2554	Salariés 25-54 ans Femmes en 2012 (princ)	Nombre de femmes salariées de 25 à 54 ans	people	P12_FSAL15P
P12_FSAL5564	Salariés 55-64 ans Femmes en 2012 (princ)	Nombre de femmes salariées de 55 à 64 ans	people	P12_FSAL15P
P12_FSAL1564_TP	Salariés 15-64 ans Femmes TP en 2012 (princ)	Nombre de femmes salariées de 15 à 64 ans à temps partiel	people	P12_FSAL1564
P12_FSAL1524_TP	Salariés 15-24 ans Femmes TP en 2012 (princ)	Nombre de femmes salariées de 15 à 24 ans à temps partiel	people	P12_FSAL1524
P12_FSAL2554_TP	Salariés 25-54 ans Femmes TP en 2012 (princ)	Nombre de femmes salariées de 25 à 54 ans à temps partiel	people	P12_FSAL2554
P12_FSAL5564_TP	Salariés 55-64 ans Femmes TP en 2012 (princ)	Nombre de femmes salariées de 55 à 64 ans à temps partiel	people	P12_FSAL5564
P12_ACTOCC15P_ILT1	Actif occ 15 ans ou plus travaille commune résidence en 2012 (princ)	Nombre d'actifs occupés de 15 ans ou plus qui travaillent dans la commune de résidence	people	P12_ACTOCC15P
P12_ACTOCC15P_ILT2P	Actif occ 15 ans ou plus travaille autre commune que commune résidence en 2012 (princ)	Nombre d'actifs occupés de 15 ans ou plus qui travaillent dans une autre commune que la commune de résidence	people	P12_ACTOCC15P
P12_ACTOCC15P_ILT2	Actif occ 15 ans ou plus travaille autre commune même dépt résidence en 2012 (princ)	Nombre d'actifs occupés de 15 ans ou plus qui travaillent dans une autre commune située dans le département de résidence	people	P12_ACTOCC15P
P12_ACTOCC15P_ILT3	Actif occ 15 ans ou plus travaille autre dépt même région résidence en 2012 (princ)	Nombre d'actifs occupés de 15 ans ou plus qui travaillent dans une autre commune située dans un autre département de la région de résidence	people	P12_ACTOCC15P
P12_ACTOCC15P_ILT4	Actif occ 15 ans ou plus travaille autre région en métropole en 2012 (princ)	Nombre d'actifs occupés de 15 ans ou plus qui travaillent dans dans une autre commune située dans une autre région en France métropolitaine	people	P12_ACTOCC15P
P12_ACTOCC15P_ILT5	Actif occ 15 ans ou plus travaille autre région hors métropole en 2012 (princ)	Nombre d'actifs occupés de 15 ans ou plus qui travaillent dans dans une autre commune située dans une autre région hors de France métropolitaine (Département d'outre-mer, Collectivité d'outre-mer ou à l'étranger)	people	P12_ACTOCC15P
P12_ACTOCC15P_ILT45D	Actif occ15 ans ou plus DOM travaille autre région en 2012 (princ)	Nombre d'actifs occupés de 15 ans ou plus dans les DOM qui travaillent dans une autre région	people	P12_ACTOCC15P
P12_ACTOCC15P_PASTRANS	Actif occ 15 ans ou plus pas de transport pour travail en 2012 (princ)	Nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler	people	P12_ACTOCC15P
P12_ACTOCC15P_MARCHE	Actif occ 15 ans ou plus marche à pied pour travail en 2012 (princ)	Nombre d'actifs occupés de 15 ans ou plus qui vont travailler principalement à pied	people	P12_ACTOCC15P
P12_ACTOCC15P_2ROUES	Actif occ 15 ans ou plus deux roues en 2012 (princ)	Nombre d'actifs occupés de 15 ans ou plus qui utilisent principalement un deux roues pour aller travailler	people	P12_ACTOCC15P
P12_ACTOCC15P_VOITURE	Actif occ 15 ans ou plus voiture en 2012 (princ)	Nombre d'actifs occupés de 15 ans ou plus qui utilisent principalement une voiture pour aller travailler	people	P12_ACTOCC15P
P12_ACTOCC15P_COMMUN	Actif occ 15 ans ou plus transport en commun en 2012 (princ)	Nombre d'actifs occupés de 15 ans ou plus qui utilisent principalement les transports en commun pour aller travailler	people	P12_ACTOCC15P
