VAR_CODE	VAR_LIB	VAR_LIB_LONG	UNITS	DENOMINATORS	DESCRIPTION	INSEE_DEFINITION_URL
P12_NSCOL15P_DIPL0	Pop 15 ans ou plus non scol. Sans diplôme en 2012 (princ)	Nombre de personnes non scolarisées de 15 ans ou plus titulaires d'aucun diplôme	people	P12_NSCOL15P, P12_NSCOL15P_SUP		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_NSCOL15P_CEP	Pop 15 ans ou plus non scol. CEP en 2012 (princ)	Nombre de personnes non scolarisées de 15 ans ou plus titulaires du certificat d'études primaires	people	P12_NSCOL15P, P12_NSCOL15P_SUP		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_NSCOL15P_BEPC	Pop 15 ans ou plus non scol. BEPC, brevet collèges en 2012 (princ)	Nombre de personnes non scolarisées de 15 ans ou plus titulaires du BEPC, brevet des collèges	people	P12_NSCOL15P, P12_NSCOL15P_SUP		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_NSCOL15P_CAPBEP	Pop 15 ans ou plus non scol. CAP-BEP en 2012 (princ)	Nombre de personnes non scolarisées de 15 ans ou plus titulaires d'un CAP ou d'un BEP	people	P12_NSCOL15P, P12_NSCOL15P_SUP		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_NSCOL15P_BAC	Pop 15 ans ou plus non scol. BAC-BP en 2012 (princ)	Nombre de personnes non scolarisées de 15 ans ou plus titulaires d'un baccalauréat ou d'un brevet professionnel	people	P12_NSCOL15P, P12_NSCOL15P_SUP		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_NSCOL15P_BACP2	Pop 15 ans ou plus non scol. Enseignement sup court en 2012 (princ)	Nombre de personnes non scolarisées de 15 ans ou plus titulaires d'un diplôme de l'enseignement supérieur court	people	P12_NSCOL15P, P12_NSCOL15P_SUP		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_NSCOL15P_SUP	Pop 15 ans ou plus non scol. Enseignement sup long en 2012 (princ)	Nombre de personnes non scolarisées de 15 ans ou plus titulaires d'un diplôme de l'enseignement supérieur long	people	P12_NSCOL15P, P12_NSCOL15P_SUP		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_HNSCOL15P	Hommes 15 ans ou plus non scolarisés en 2012 (princ)	Nombre d'hommes non scolarisés de 15 ans ou plus	people	P12_NSCOL15P		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_HNSCOL15P_DIPL0	Hommes 15 ans ou plus non scol. Sans diplôme en 2012 (princ)	Nombre d'hommes non scolarisés de 15 ans ou plus titulaires d'aucun diplôme	people	P12_NSCOL15P_DIPL0		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_HNSCOL15P_CEP	Hommes 15 ans ou plus non scol. CEP en 2012 (princ)	Nombre d'hommes non scolarisés de 15 ans ou plus titulaires du certificat d'études primaires	people	P12_NSCOL15P_CEP		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_HNSCOL15P_BEPC	Hommes 15 ans ou plus non scol. BEPC, brevet collèges en 2012 (princ)	Nombre d'hommes non scolarisés de 15 ans ou plus titulaires du BEPC, brevet des collèges	people	P12_NSCOL15P_BEPC		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_HNSCOL15P_CAPBEP	Hommes 15 ans ou plus non scol. CAP-BEP en 2012 (princ)	Nombre d'hommes non scolarisés de 15 ans ou plus titulaires d'un CAP ou d'un BEP	people	P12_NSCOL15P_CAPBEP		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_HNSCOL15P_BAC	Hommes 15 ans ou plus non scol. BAC-BP en 2012 (princ)	Nombre d'hommes non scolarisés de 15 ans ou plus titulaires d'un baccalauréat ou d'un brevet professionnel	people	P12_NSCOL15P_BAC		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_HNSCOL15P_BACP2	Hommes 15 ans ou plus non scol. Enseignement sup court en 2012 (princ)	Nombre d'hommes non scolarisés de 15 ans ou plus titulaires d'un diplôme de l'enseignement supérieur court	people	P12_NSCOL15P_BACP2		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_HNSCOL15P_SUP	Hommes 15 ans ou plus non scol. Enseignement sup long en 2012 (princ)	Nombre d'hommes non scolarisés de 15 ans ou plus titulaires d'un diplôme de l'enseignement supérieur long	people	P12_NSCOL15P_SUP		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_FNSCOL15P	Femmes 15 ans ou plus non scolarisées en 2012 (princ)	Nombre de femmes non scolarisées de 15 ans ou plus	people	P12_NSCOL15P		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_FNSCOL15P_DIPL0	Femmes 15 ans ou plus non scol. Sans diplôme en 2012 (princ)	Nombre de femmes non scolarisées de 15 ans ou plus titulaires d'aucun diplôme	people	P12_NSCOL15P_DIPL0		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_FNSCOL15P_CEP	Femmes 15 ans ou plus non scol. CEP en 2012 (princ)	Nombre de femmes non scolarisées de 15 ans ou plus titulaires du certificat d'études primaires	people	P12_NSCOL15P_CEP		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_FNSCOL15P_BEPC	Femmes 15 ans ou plus non scol. BEPC, brevet collèges en 2012 (princ)	Nombre de femmes non scolarisées de 15 ans ou plus titulaires du BEPC, brevet des collèges	people	P12_NSCOL15P_BEPC		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_FNSCOL15P_CAPBEP	Femmes 15 ans ou plus non scol. CAP-BEP en 2012 (princ)	Nombre de femmes non scolarisées de 15 ans ou plus titulaires d'un CAP ou d'un BEP	people	P12_NSCOL15P_CAPBEP		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_FNSCOL15P_BAC	Femmes 15 ans ou plus non scol. BAC-BP en 2012 (princ)	Nombre de femmes non scolarisées de 15 ans ou plus titulaires d'un baccalauréat ou d'un brevet professionnel	people	P12_NSCOL15P_BAC		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_FNSCOL15P_BACP2	Femmes 15 ans ou plus non scol. Enseignement sup court en 2012 (princ)	Nombre de femmes non scolarisées de 15 ans ou plus titulaires d'un diplôme de l'enseignement supérieur court	people	P12_NSCOL15P_BACP2		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_FNSCOL15P_SUP	Femmes 15 ans ou plus non scol. Enseignement sup long en 2012 (princ)	Nombre de femmes non scolarisées de 15 ans ou plus titulaires d'un diplôme de l'enseignement supérieur long	people	P12_NSCOL15P_SUP		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
